year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,0.0,58.0,0.0,0.0
2020,3,12,0.0,66.0,0.0,0.0
2020,3,13,0.0,70.0,0.0,0.0
2020,3,14,0.0,70.0,0.0,0.0
2020,3,15,0.0,70.0,0.0,0.0
2020,3,16,0.0,72.0,0.0,0.0
2020,3,17,0.0,74.0,0.0,0.0
2020,3,18,0.0,75.0,0.0,0.0
2020,3,19,0.0,79.0,0.0,0.0
2020,3,20,0.0,85.0,0.0,0.0
2020,3,21,0.0,88.0,0.0,0.0
2020,3,22,0.0,90.0,0.0,0.0
2020,3,23,2.0,90.0,0.0,0.0
2020,3,24,2.0,90.0,0.0,0.0
2020,3,25,6.0,102.0,0.0,0.0
2020,3,26,6.0,116.0,0.0,0.0
2020,3,27,6.0,123.0,0.0,0.0
2020,3,28,6.0,124.0,0.0,0.0
2020,3,29,7.0,132.0,0.0,0.0
2020,3,30,7.0,132.0,0.0,0.0
2020,3,31,8.0,137.0,0.0,0.0
2020,4,1,8.0,137.0,0.0,0.0
2020,4,2,9.0,160.0,0.0,0.0
2020,4,3,11.0,180.0,0.0,0.0
2020,4,4,11.0,188.0,0.0,0.0
2020,4,5,11.0,199.0,0.0,0.0
2020,4,6,11.0,233.0,0.0,0.0
2020,4,7,11.0,249.0,0.0,0.0
2020,4,8,12.0,260.0,0.0,0.0
2020,4,9,14.0,278.0,0.0,0.0
2020,4,10,14.0,313.0,3.0,0.0
2020,4,11,22.0,313.0,3.0,0.0
2020,4,12,22.0,313.0,3.0,0.0
2020,4,13,22.0,391.0,4.0,0.0
2020,4,14,22.0,410.0,5.0,0.0
2020,4,15,22.0,433.0,5.0,0.0
2020,4,16,22.0,447.0,5.0,0.0
2020,4,17,22.0,468.0,5.0,0.0
2020,4,18,22.0,483.0,6.0,0.0
2020,4,19,22.0,494.0,6.0,0.0
2020,4,20,22.0,494.0,9.0,0.0
2020,4,21,22.0,494.0,9.0,0.0
2020,4,22,22.0,501.0,10.0,0.0
2020,4,23,22.0,506.0,14.0,0.0
2020,4,24,22.0,517.0,14.0,0.0
2020,4,25,22.0,526.0,14.0,0.0
2020,4,26,22.0,540.0,14.0,0.0
2020,4,27,23.0,580.0,14.0,0.0
2020,4,28,26.0,598.0,14.0,0.0
2020,4,29,26.0,613.0,14.0,0.0
2020,4,30,26.0,639.0,14.0,0.0
2020,5,1,26.0,643.0,14.0,0.0
2020,5,2,26.0,643.0,14.0,0.0
2020,5,3,26.0,643.0,14.0,0.0
2020,5,4,26.0,643.0,14.0,0.0
2020,5,5,26.0,643.0,15.0,0.0
2020,5,6,26.0,643.0,15.0,0.0
2020,5,7,26.0,714.0,15.0,0.0
2020,5,8,27.0,728.0,17.0,0.0
2020,5,9,27.0,749.0,17.0,0.0
2020,5,10,27.0,749.0,17.0,0.0
2020,5,11,27.0,760.0,21.0,0.0
2020,5,12,27.0,767.0,21.0,0.0
2020,5,13,27.0,776.0,21.0,0.0
2020,5,14,27.0,784.0,21.0,0.0
2020,5,15,27.0,797.0,21.0,0.0
2020,5,16,27.0,800.0,21.0,0.0
2020,5,17,27.0,800.0,21.0,0.0
2020,5,18,27.0,802.0,21.0,1.0
2020,5,19,27.0,804.0,21.0,1.0
2020,5,20,27.0,808.0,21.0,1.0
2020,5,21,27.0,812.0,21.0,1.0
2020,5,22,27.0,810.0,24.0,1.0
2020,5,23,27.0,813.0,24.0,1.0
2020,5,24,27.0,813.0,24.0,1.0
2020,5,25,27.0,824.0,24.0,1.0
2020,5,26,27.0,834.0,24.0,1.0
2020,5,27,27.0,839.0,24.0,1.0
2020,5,28,27.0,843.0,25.0,1.0
2020,5,29,27.0,845.0,25.0,1.0
2020,5,30,27.0,850.0,25.0,1.0
2020,5,31,27.0,850.0,25.0,1.0
2020,6,1,27.0,853.0,26.0,1.0
2020,6,2,27.0,857.0,26.0,1.0
2020,6,3,27.0,867.0,26.0,1.0
2020,6,4,27.0,875.0,26.0,1.0
2020,6,5,27.0,878.0,26.0,1.0
2020,6,6,27.0,882.0,26.0,1.0
2020,6,7,27.0,882.0,26.0,1.0
2020,6,8,27.0,888.0,26.0,1.0
2020,6,9,27.0,889.0,26.0,1.0
2020,6,10,27.0,892.0,26.0,1.0
2020,6,11,27.0,899.0,26.0,1.0
2020,6,12,27.0,907.0,26.0,1.0
2020,6,13,27.0,910.0,26.0,1.0
2020,6,14,27.0,910.0,26.0,1.0
2020,6,15,27.0,917.0,26.0,1.0
2020,6,16,27.0,922.0,26.0,1.0
2020,6,17,27.0,928.0,26.0,1.0
2020,6,18,27.0,933.0,26.0,1.0
2020,6,19,27.0,937.0,26.0,1.0
2020,6,20,27.0,941.0,26.0,1.0
2020,6,21,27.0,941.0,26.0,1.0
2020,6,22,27.0,941.0,26.0,1.0
2020,6,23,27.0,946.0,26.0,1.0
2020,6,24,27.0,950.0,26.0,1.0
2020,6,25,27.0,959.0,26.0,1.0
2020,6,26,27.0,965.0,26.0,1.0
2020,6,27,27.0,971.0,26.0,1.0
2020,6,28,27.0,971.0,26.0,1.0
2020,6,29,27.0,974.0,26.0,1.0
2020,6,30,27.0,981.0,26.0,1.0
2020,7,1,27.0,991.0,26.0,1.0
2020,7,2,27.0,999.0,26.0,1.0
2020,7,3,27.0,1002.0,26.0,1.0
2020,7,4,27.0,1002.0,26.0,1.0
2020,7,5,27.0,1002.0,26.0,1.0
2020,7,6,27.0,1015.0,26.0,1.0
2020,7,7,27.0,1020.0,26.0,1.0
2020,7,8,27.0,1027.0,26.0,1.0
2020,7,9,27.0,1038.0,26.0,1.0
2020,7,10,28.0,1055.0,26.0,1.0
2020,7,11,29.0,1065.0,26.0,1.0
2020,7,12,29.0,1065.0,26.0,1.0
2020,7,13,29.0,1086.0,25.0,1.0
2020,7,14,29.0,1104.0,25.0,1.0
2020,7,15,29.0,1140.0,25.0,1.0
2020,7,16,30.0,1178.0,25.0,1.0
2020,7,17,30.0,1201.0,25.0,1.0
2020,7,18,30.0,1201.0,25.0,1.0
2020,7,19,30.0,1201.0,25.0,1.0
2020,7,20,30.0,1287.0,25.0,1.0
