year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,104,274,0,0
2020,3,12,7,735,0,0
2020,3,13,3,94,0,0
2020,3,14,7,0,0,0
2020,3,15,0,0,0,0
2020,3,16,2,0,0,0
2020,3,17,2,0,0,0
2020,3,18,5,0,3,14
2020,3,19,4,0,0,0
2020,3,20,5,0,0,2
2020,3,21,2,0,5,0
2020,3,22,2,0,0,0
2020,3,23,2,679,0,1
2020,3,24,3,113,1,0
2020,3,25,6,92,27,1
2020,3,26,3,217,0,0
2020,3,27,3,72,6,0
2020,3,28,4,0,0,1
2020,3,29,3,0,0,0
2020,3,30,3,184,0,0
2020,3,31,6,394,5,0
2020,4,1,5,0,0,0
2020,4,2,5,63,0,0
2020,4,3,12,0,1,0
2020,4,4,18,0,0,0
2020,4,5,11,0,0,1
2020,4,6,10,319,4,1
2020,4,7,21,59,0,0
2020,4,8,20,172,0,0
2020,4,9,21,0,1,0
2020,4,10,14,523,10,1
2020,4,11,4,0,0,0
2020,4,12,2,0,0,0
2020,4,13,9,211,0,1
2020,4,14,10,49,0,1
2020,4,15,12,534,3,0
2020,4,16,14,224,0,0
2020,4,17,10,0,0,0
2020,4,18,17,0,0,0
2020,4,19,10,167,0,1
2020,4,20,5,360,0,2
2020,4,21,16,0,0,0
2020,4,22,19,498,0,2
2020,4,23,12,0,0,0
2020,4,24,21,239,0,1
2020,4,25,1,216,0,0
2020,4,26,1,0,0,0
2020,4,27,1,402,0,0
2020,4,28,5,137,0,1
2020,4,29,4,9,1,0
2020,4,30,2,291,8,1
2020,5,1,3,76,0,0
2020,5,2,0,0,0,1
2020,5,3,1,60,0,1
2020,5,4,0,0,0,0
2020,5,5,6,348,0,0
2020,5,6,0,35,24,0
2020,5,7,0,20,225,0
2020,5,8,-7,92,4,0
2020,5,9,0,69,11,0
2020,5,10,3,106,11,0
2020,5,11,0,304,2,0
2020,5,12,1,55,17,0
2020,5,13,1,0,8,0
2020,5,14,5,281,11,0
2020,5,15,2,0,2,0
2020,5,16,0,123,10,0
2020,5,17,1,67,4,0
2020,5,18,2,213,9,0
2020,5,19,0,0,10,0
2020,5,20,0,192,5,0
2020,5,21,0,83,3,0
2020,5,22,0,74,6,0
2020,5,23,0,0,5,0
2020,5,24,0,0,0,0
2020,5,25,1,201,0,0
2020,5,26,0,36,2,0
2020,5,27,0,57,6,0
2020,5,28,0,101,3,0
2020,5,29,0,50,0,0
2020,5,30,0,0,2,0
2020,5,31,0,0,1,0
2020,6,1,1,172,1,0
2020,6,2,0,69,0,0
2020,6,3,1,73,1,0
2020,6,4,0,0,2,0
2020,6,5,0,183,2,0
2020,6,6,0,0,1,0
2020,6,7,0,0,0,0
2020,6,8,2,234,0,0
2020,6,9,0,143,2,0
2020,6,10,0,117,0,0
2020,6,11,2,111,0,0
2020,6,12,0,99,1,0
2020,6,13,0,0,1,0
2020,6,14,0,0,0,0
2020,6,15,3,204,0,0
2020,6,16,0,0,1,0
2020,6,17,2,148,2,0
2020,6,18,3,0,0,0
2020,6,19,0,227,1,0
2020,6,20,0,0,-1,0
2020,6,21,0,0,0,0
2020,6,22,2,190,0,0
2020,6,23,0,240,1,0
2020,6,24,0,0,3,0
2020,6,25,0,183,0,0
2020,6,26,0,82,1,0
2020,6,27,0,0,1,0
2020,6,28,0,0,1,0
2020,6,29,0,175,0,0
2020,6,30,1,0,1,0
2020,7,1,1,239,0,0
2020,7,2,0,0,0,0
2020,7,3,0,340,0,0
2020,7,4,0,0,0,0
2020,7,5,0,0,2,0
2020,7,6,0,214,0,0
2020,7,7,1,145,0,0
2020,7,8,0,135,0,0
2020,7,9,2,120,1,0
2020,7,10,0,0,0,0
2020,7,11,0,164,1,0
2020,7,12,0,0,1,0
2020,7,13,2,473,0,0
2020,7,14,2,37,0,0
2020,7,15,4,146,0,0
2020,7,16,2,0,2,0
2020,7,17,31,148,1,0
2020,7,18,19,377,0,0
2020,7,19,25,0,3,0
2020,7,20,27,883,0,0
