year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,25,0,0,0
2020,3,12,2,0,0,0
2020,3,13,2,0,0,0
2020,3,14,2,0,0,0
2020,3,15,0,0,0,0
2020,3,16,0,0,0,0
2020,3,17,0,0,0,0
2020,3,18,2,0,9,0
2020,3,19,3,0,0,0
2020,3,20,5,0,3,0
2020,3,21,1,0,2,0
2020,3,22,2,0,1,0
2020,3,23,3,31,0,0
2020,3,24,1,8,0,0
2020,3,25,5,61,2,0
2020,3,26,3,8,1,0
2020,3,27,6,61,0,0
2020,3,28,64,38,1,1
2020,3,29,34,30,0,0
2020,3,30,0,125,0,0
2020,3,31,4,165,0,0
2020,4,1,11,0,4,0
2020,4,2,6,185,3,0
2020,4,3,11,76,5,0
2020,4,4,27,40,0,0
2020,4,5,19,48,1,0
2020,4,6,15,421,0,0
2020,4,7,31,0,0,0
2020,4,8,33,203,0,0
2020,4,9,25,0,3,0
2020,4,10,33,191,2,1
2020,4,11,36,52,1,2
2020,4,12,44,0,1,0
2020,4,13,19,586,0,0
2020,4,14,16,118,6,1
2020,4,15,35,241,0,0
2020,4,16,14,318,6,1
2020,4,17,70,280,3,0
2020,4,18,34,22,13,1
2020,4,19,18,103,4,1
2020,4,20,22,392,6,0
2020,4,21,21,258,0,0
2020,4,22,21,223,3,3
2020,4,23,24,362,2,5
2020,4,24,19,233,13,2
2020,4,25,10,149,2,1
2020,4,26,8,135,0,0
2020,4,27,7,349,1,4
2020,4,28,8,124,3,0
2020,4,29,5,117,1,0
2020,4,30,4,388,1,1
2020,5,1,6,233,2,1
2020,5,2,7,0,0,0
2020,5,3,5,0,0,1
2020,5,4,0,0,6,0
2020,5,5,7,0,25,1
2020,5,6,2,0,43,1
2020,5,7,5,934,74,5
2020,5,8,34,4574,170,5
2020,5,9,3,408,25,1
2020,5,10,1,0,19,1
2020,5,11,3,503,36,0
2020,5,12,2,0,39,0
2020,5,13,3,4011,28,0
2020,5,14,0,-4838,34,0
2020,5,15,2,306,23,2
2020,5,16,8,257,22,0
2020,5,17,0,244,1,0
2020,5,18,2,182,12,0
2020,5,19,0,95,51,0
2020,5,20,1,105,24,0
2020,5,21,3,190,9,2
2020,5,22,0,241,6,0
2020,5,23,0,156,10,0
2020,5,24,0,130,3,0
2020,5,25,0,106,9,0
2020,5,26,0,79,6,0
2020,5,27,1,65,7,0
2020,5,28,1,162,10,1
2020,5,29,0,144,7,0
2020,5,30,1,119,1,0
2020,5,31,2,141,2,0
2020,6,1,0,126,8,0
2020,6,2,-3,67,9,0
2020,6,3,1,48,1,0
2020,6,4,0,147,13,0
2020,6,5,-3,149,1,0
2020,6,6,0,133,0,0
2020,6,7,3,136,0,0
2020,6,8,0,164,2,0
2020,6,9,3,85,2,0
2020,6,10,2,70,0,0
2020,6,11,3,178,3,0
2020,6,12,3,155,0,0
2020,6,13,1,164,0,0
2020,6,14,0,166,0,0
2020,6,15,0,240,0,0
2020,6,16,0,0,4,0
2020,6,17,1,54,3,0
2020,6,18,2,128,0,0
2020,6,19,0,123,2,0
2020,6,20,2,101,0,0
2020,6,21,0,108,1,0
2020,6,22,2,87,5,0
2020,6,23,3,57,2,0
2020,6,24,4,42,2,0
2020,6,25,4,181,2,0
2020,6,26,4,126,0,0
2020,6,27,5,175,1,0
2020,6,28,3,149,0,0
2020,6,29,0,0,0,0
2020,6,30,11,240,3,0
2020,7,1,7,68,2,0
2020,7,2,11,193,1,0
2020,7,3,9,167,14,0
2020,7,4,16,162,3,0
2020,7,5,7,212,2,0
2020,7,6,9,187,2,0
2020,7,7,11,91,4,1
2020,7,8,10,112,0,0
2020,7,9,22,219,7,0
2020,7,10,12,389,4,0
2020,7,11,14,248,4,0
2020,7,12,31,358,7,0
2020,7,13,18,231,9,0
2020,7,14,25,269,17,0
2020,7,15,29,297,12,0
2020,7,16,32,487,8,0
2020,7,17,0,0,0,0
2020,7,18,53,1107,28,0
2020,7,19,24,481,9,0
2020,7,20,18,328,10,0
