year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,2,149,0,0
2020,3,12,0,4,0,0
2020,3,13,0,8,0,0
2020,3,14,0,0,0,0
2020,3,15,0,0,0,0
2020,3,16,0,5,0,0
2020,3,17,0,1,0,0
2020,3,18,1,14,1,0
2020,3,19,0,0,0,0
2020,3,20,0,0,0,0
2020,3,21,0,0,0,0
2020,3,22,0,0,0,0
2020,3,23,0,27,0,0
2020,3,24,0,7,0,0
2020,3,25,0,4,0,0
2020,3,26,0,4,0,0
2020,3,27,1,11,0,0
2020,3,28,0,0,1,0
2020,3,29,0,0,0,0
2020,3,30,0,16,0,0
2020,3,31,5,17,0,0
2020,4,1,0,0,0,0
2020,4,2,2,45,0,0
2020,4,3,0,38,1,1
2020,4,4,1,0,0,0
2020,4,5,0,0,0,0
2020,4,6,2,57,1,0
2020,4,7,9,11,0,0
2020,4,8,2,32,0,0
2020,4,9,1,35,0,0
2020,4,10,2,60,0,0
2020,4,11,2,0,0,0
2020,4,12,0,0,0,1
2020,4,13,7,86,0,0
2020,4,14,2,22,0,0
2020,4,15,1,27,0,0
2020,4,16,1,28,0,0
2020,4,17,0,0,0,0
2020,4,18,3,0,1,1
2020,4,19,1,0,3,0
2020,4,20,1,136,1,0
2020,4,21,1,49,0,0
2020,4,22,0,45,7,0
2020,4,23,0,23,0,0
2020,4,24,0,41,4,0
2020,4,25,0,0,0,0
2020,4,26,0,0,4,0
2020,4,27,0,22,0,0
2020,4,28,0,19,0,0
2020,4,29,0,0,0,0
2020,4,30,0,52,1,0
2020,5,1,0,21,0,0
2020,5,2,0,0,2,0
2020,5,3,1,0,4,0
2020,5,4,0,0,0,0
2020,5,5,0,0,1,0
2020,5,6,0,0,0,0
2020,5,7,0,109,0,0
2020,5,8,0,13,6,0
2020,5,9,0,0,0,0
2020,5,10,0,0,0,0
2020,5,11,0,38,0,0
2020,5,12,0,8,1,0
2020,5,13,3,21,0,0
2020,5,14,17,88,1,0
2020,5,15,2,48,1,0
2020,5,16,0,0,0,0
2020,5,17,1,159,2,0
2020,5,18,2,95,0,0
2020,5,19,1,73,1,0
2020,5,20,0,13,0,0
2020,5,21,1,15,1,1
2020,5,22,3,28,0,0
2020,5,23,1,7,0,0
2020,5,24,1,81,0,0
2020,5,25,1,3,0,0
2020,5,26,0,44,0,0
2020,5,27,0,23,2,0
2020,5,28,1,64,2,0
2020,5,29,0,28,1,0
2020,5,30,0,0,0,0
2020,5,31,0,0,0,0
2020,6,1,0,134,2,0
2020,6,2,0,54,2,0
2020,6,3,0,54,1,0
2020,6,4,0,57,0,0
2020,6,5,0,16,5,0
2020,6,6,0,0,0,0
2020,6,7,0,0,0,0
2020,6,8,0,73,6,0
2020,6,9,0,15,1,0
2020,6,10,0,10,1,0
2020,6,11,0,10,1,0
2020,6,12,0,13,0,0
2020,6,13,0,0,0,0
2020,6,14,0,0,0,0
2020,6,15,0,17,3,0
2020,6,16,0,5,1,0
2020,6,17,0,12,0,0
2020,6,18,0,9,0,0
2020,6,19,0,5,1,0
2020,6,20,0,0,0,0
2020,6,21,0,0,0,0
2020,6,22,0,14,0,0
2020,6,23,0,3,0,0
2020,6,24,0,3,1,0
2020,6,25,0,3,1,0
2020,6,26,0,5,1,0
2020,6,27,0,0,0,0
2020,6,28,0,0,0,0
2020,6,29,0,19,0,0
2020,6,30,0,8,0,0
2020,7,1,0,4,0,1
2020,7,2,0,5,0,0
2020,7,3,0,7,0,0
2020,7,4,0,0,0,0
2020,7,5,0,0,0,0
2020,7,6,0,9,0,0
2020,7,7,0,7,0,0
2020,7,8,0,9,0,0
2020,7,9,0,3,0,0
2020,7,10,0,6,0,0
2020,7,11,0,0,0,0
2020,7,12,0,0,0,0
2020,7,13,0,15,0,0
2020,7,14,0,4,0,0
2020,7,15,0,11,0,0
2020,7,16,0,11,0,0
2020,7,17,0,3,0,0
2020,7,18,0,0,0,0
2020,7,19,0,0,0,0
2020,7,20,1,24,0,0
