year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,0,71,0,0
2020,3,12,0,2,0,0
2020,3,13,0,1,0,0
2020,3,14,0,0,0,0
2020,3,15,0,0,0,0
2020,3,16,0,5,0,0
2020,3,17,0,5,0,0
2020,3,18,1,8,0,0
2020,3,19,0,0,0,0
2020,3,20,0,5,0,0
2020,3,21,0,0,0,0
2020,3,22,0,1,0,0
2020,3,23,0,4,0,0
2020,3,24,0,12,0,0
2020,3,25,1,2,0,0
2020,3,26,4,3,0,0
2020,3,27,3,17,0,0
2020,3,28,3,8,0,0
2020,3,29,1,10,0,0
2020,3,30,2,6,0,0
2020,3,31,1,19,0,0
2020,4,1,6,0,0,0
2020,4,2,9,54,0,1
2020,4,3,9,39,0,0
2020,4,4,4,3,0,0
2020,4,5,7,35,0,1
2020,4,6,6,25,1,0
2020,4,7,0,43,0,0
2020,4,8,10,29,0,0
2020,4,9,5,48,2,0
2020,4,10,4,56,3,0
2020,4,11,10,4,0,0
2020,4,12,2,0,0,0
2020,4,13,4,195,1,0
2020,4,14,0,55,1,0
2020,4,15,8,100,0,0
2020,4,16,3,53,0,0
2020,4,17,1,37,0,0
2020,4,18,2,0,0,2
2020,4,19,6,0,15,0
2020,4,20,1,99,3,0
2020,4,21,5,45,0,0
2020,4,22,1,134,0,0
2020,4,23,0,45,0,1
2020,4,24,1,35,7,0
2020,4,25,0,0,0,0
2020,4,26,1,0,0,0
2020,4,27,0,149,30,1
2020,4,28,1,126,0,0
2020,4,29,0,0,1,1
2020,4,30,0,108,5,1
2020,5,1,0,75,0,0
2020,5,2,0,0,6,0
2020,5,3,0,0,0,0
2020,5,4,0,0,3,0
2020,5,5,0,0,0,0
2020,5,6,0,0,6,0
2020,5,7,0,193,0,0
2020,5,8,0,27,5,0
2020,5,9,0,35,4,0
2020,5,10,0,56,1,0
2020,5,11,0,15,1,0
2020,5,12,0,42,1,0
2020,5,13,0,39,2,0
2020,5,14,0,29,0,0
2020,5,15,0,90,1,0
2020,5,16,0,0,3,0
2020,5,17,0,0,0,0
2020,5,18,0,25,2,0
2020,5,19,0,25,0,0
2020,5,20,0,26,1,0
2020,5,21,0,29,0,0
2020,5,22,0,28,2,0
2020,5,23,0,28,1,0
2020,5,24,0,16,1,0
2020,5,25,0,2,0,0
2020,5,26,0,34,0,0
2020,5,27,0,35,0,0
2020,5,28,0,20,0,0
2020,5,29,0,31,0,0
2020,5,30,0,23,0,0
2020,5,31,0,12,1,0
2020,6,1,0,7,2,0
2020,6,2,0,37,0,0
2020,6,3,0,42,0,0
2020,6,4,0,39,0,0
2020,6,5,0,30,0,0
2020,6,6,0,35,1,0
2020,6,7,0,18,0,0
2020,6,8,0,0,0,0
2020,6,9,0,36,0,0
2020,6,10,0,44,0,0
2020,6,11,0,34,0,0
2020,6,12,0,27,0,0
2020,6,13,0,38,0,0
2020,6,14,0,10,0,0
2020,6,15,0,0,1,0
2020,6,16,0,34,0,0
2020,6,17,0,43,0,0
2020,6,18,0,27,0,0
2020,6,19,0,27,0,0
2020,6,20,0,43,0,0
2020,6,21,0,9,0,0
2020,6,22,0,1,0,0
2020,6,23,0,32,0,0
2020,6,24,0,36,0,0
2020,6,25,0,26,0,0
2020,6,26,0,33,0,0
2020,6,27,0,27,0,0
2020,6,28,0,6,0,0
2020,6,29,0,0,0,0
2020,6,30,0,25,0,0
2020,7,1,0,48,0,0
2020,7,2,0,16,0,0
2020,7,3,0,20,0,0
2020,7,4,0,29,0,0
2020,7,5,0,16,0,0
2020,7,6,0,2,0,0
2020,7,7,0,30,0,0
2020,7,8,0,29,0,0
2020,7,9,0,28,0,0
2020,7,10,0,23,0,0
2020,7,11,0,35,0,0
2020,7,12,1,10,0,0
2020,7,13,1,3,0,0
2020,7,14,0,40,0,0
2020,7,15,1,53,0,0
2020,7,16,0,32,0,0
2020,7,17,1,33,0,0
2020,7,18,0,53,0,0
2020,7,19,0,108,0,0
2020,7,20,0,0,0,0
