year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,3,492,0,0
2020,3,12,0,17,0,0
2020,3,13,0,13,0,0
2020,3,14,0,0,0,0
2020,3,15,0,0,0,0
2020,3,16,0,56,0,0
2020,3,17,1,5,0,0
2020,3,18,0,27,1,0
2020,3,19,1,16,1,0
2020,3,20,0,0,0,0
2020,3,21,0,11,0,0
2020,3,22,0,5,0,0
2020,3,23,1,47,0,0
2020,3,24,3,14,0,0
2020,3,25,0,44,0,0
2020,3,26,2,30,0,0
2020,3,27,1,66,0,0
2020,3,28,9,1,0,0
2020,3,29,1,9,0,0
2020,3,30,1,180,0,0
2020,3,31,20,36,0,0
2020,4,1,9,0,3,0
2020,4,2,10,129,0,0
2020,4,3,4,386,0,0
2020,4,4,1,10,0,0
2020,4,5,42,1,1,0
2020,4,6,4,820,0,0
2020,4,7,23,303,1,0
2020,4,8,25,388,0,0
2020,4,9,26,767,0,0
2020,4,10,37,236,0,0
2020,4,11,108,28,0,0
2020,4,12,30,0,0,0
2020,4,13,11,914,0,0
2020,4,14,30,144,25,0
2020,4,15,30,472,13,6
2020,4,16,26,443,7,0
2020,4,17,17,304,14,3
2020,4,18,24,28,0,1
2020,4,19,16,5,0,0
2020,4,20,8,816,21,3
2020,4,21,15,48,0,0
2020,4,22,21,156,1,0
2020,4,23,12,223,4,0
2020,4,24,12,273,44,2
2020,4,25,11,20,2,0
2020,4,26,11,17,10,0
2020,4,27,9,611,13,1
2020,4,28,4,110,9,0
2020,4,29,20,15,0,1
2020,4,30,3,518,0,0
2020,5,1,3,146,0,0
2020,5,2,3,0,1,0
2020,5,3,0,0,2,5
2020,5,4,0,0,0,0
2020,5,5,2,0,111,0
2020,5,6,1,0,0,0
2020,5,7,1,620,0,0
2020,5,8,-1,226,159,2
2020,5,9,2,183,8,0
2020,5,10,1,106,17,0
2020,5,11,0,0,0,0
2020,5,12,1,878,9,0
2020,5,13,1,554,17,0
2020,5,14,1,152,16,1
2020,5,15,0,182,12,0
2020,5,16,0,184,16,0
2020,5,17,0,-1042,5,0
2020,5,18,1,54,7,0
2020,5,19,0,22,3,0
2020,5,20,0,59,17,0
2020,5,21,0,72,3,0
2020,5,22,0,65,13,0
2020,5,23,0,49,6,0
2020,5,24,4,55,1,0
2020,5,25,4,30,3,0
2020,5,26,6,37,0,0
2020,5,27,2,124,11,0
2020,5,28,8,97,7,0
2020,5,29,21,169,2,1
2020,5,30,26,168,3,0
2020,5,31,17,190,1,0
2020,6,1,12,176,5,0
2020,6,2,16,157,1,1
2020,6,3,6,272,2,0
2020,6,4,6,284,4,0
2020,6,5,6,262,1,0
2020,6,6,5,175,8,0
2020,6,7,2,282,0,0
2020,6,8,3,75,1,0
2020,6,9,3,68,3,0
2020,6,10,3,167,5,0
2020,6,11,2,89,21,1
2020,6,12,2,50,11,0
2020,6,13,9,140,24,0
2020,6,14,1,95,31,0
2020,6,15,3,65,5,0
2020,6,16,1,54,10,0
2020,6,17,1,99,7,0
2020,6,18,3,101,4,0
2020,6,19,3,75,13,0
2020,6,20,5,107,5,0
2020,6,21,0,95,3,0
2020,6,22,0,43,0,0
2020,6,23,0,54,-1,5
2020,6,24,3,127,3,0
2020,6,25,1,50,2,0
2020,6,26,2,199,1,0
2020,6,27,0,0,6,0
2020,6,28,1,171,3,0
2020,6,29,0,217,1,0
2020,6,30,1,72,1,0
2020,7,1,4,152,1,0
2020,7,2,4,82,1,0
2020,7,3,4,88,1,0
2020,7,4,4,98,3,0
2020,7,5,6,123,1,0
2020,7,6,9,0,0,0
2020,7,7,1,43,7,0
2020,7,8,7,181,0,0
2020,7,9,13,187,2,0
2020,7,10,4,320,0,0
2020,7,11,6,139,1,0
2020,7,12,9,0,1,0
2020,7,13,5,161,4,0
2020,7,14,2,97,5,0
2020,7,15,4,226,6,0
2020,7,16,9,206,4,0
2020,7,17,16,220,11,0
2020,7,18,19,167,6,0
2020,7,19,24,174,9,0
2020,7,20,32,231,1,0
