year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,1,93,0,0
2020,3,12,0,7,0,0
2020,3,13,0,7,0,0
2020,3,14,1,0,0,0
2020,3,15,0,0,0,0
2020,3,16,0,9,0,0
2020,3,17,0,1,0,0
2020,3,18,0,10,0,0
2020,3,19,0,5,0,0
2020,3,20,0,0,0,0
2020,3,21,0,0,0,0
2020,3,22,0,0,0,0
2020,3,23,0,25,0,0
2020,3,24,0,7,0,0
2020,3,25,0,3,0,0
2020,3,26,0,10,0,0
2020,3,27,0,5,0,0
2020,3,28,0,0,0,0
2020,3,29,0,0,0,0
2020,3,30,0,21,0,0
2020,3,31,2,1,0,0
2020,4,1,2,0,1,0
2020,4,2,2,34,0,0
2020,4,3,1,26,0,0
2020,4,4,5,0,0,0
2020,4,5,2,0,0,0
2020,4,6,0,64,0,0
2020,4,7,8,18,0,0
2020,4,8,5,66,0,0
2020,4,9,4,70,1,0
2020,4,10,3,59,1,0
2020,4,11,1,0,0,0
2020,4,12,1,0,0,0
2020,4,13,0,160,0,0
2020,4,14,1,5,0,0
2020,4,15,1,80,0,0
2020,4,16,9,138,0,0
2020,4,17,3,0,0,0
2020,4,18,8,0,0,0
2020,4,19,2,151,0,0
2020,4,20,2,56,11,0
2020,4,21,0,99,0,0
2020,4,22,1,8,1,0
2020,4,23,0,78,2,0
2020,4,24,1,104,2,0
2020,4,25,2,71,0,0
2020,4,26,1,94,0,0
2020,4,27,0,49,0,0
2020,4,28,1,30,0,0
2020,4,29,2,0,0,0
2020,4,30,1,148,0,0
2020,5,1,1,32,0,0
2020,5,2,1,0,0,0
2020,5,3,3,0,0,0
2020,5,4,0,0,0,0
2020,5,5,1,227,15,0
2020,5,6,0,23,0,0
2020,5,7,0,56,0,0
2020,5,8,2,87,9,0
2020,5,9,0,106,2,0
2020,5,10,0,52,0,0
2020,5,11,0,59,5,0
2020,5,12,0,108,2,0
2020,5,13,0,146,5,0
2020,5,14,0,94,1,0
2020,5,15,0,25,3,0
2020,5,16,0,220,2,0
2020,5,17,0,-220,3,0
2020,5,18,0,343,0,0
2020,5,19,0,168,0,0
2020,5,20,0,117,2,0
2020,5,21,0,138,1,0
2020,5,22,0,89,0,0
2020,5,23,0,126,1,0
2020,5,24,0,32,1,0
2020,5,25,0,43,0,0
2020,5,26,0,144,1,0
2020,5,27,0,82,2,0
2020,5,28,0,77,0,0
2020,5,29,0,94,0,0
2020,5,30,0,151,1,0
2020,5,31,0,21,0,0
2020,6,1,0,37,0,0
2020,6,2,0,99,0,0
2020,6,3,0,73,0,0
2020,6,4,0,104,1,0
2020,6,5,0,106,0,0
2020,6,6,0,113,2,0
2020,6,7,0,20,0,0
2020,6,8,0,29,0,0
2020,6,9,0,126,0,0
2020,6,10,0,73,0,0
2020,6,11,0,121,0,0
2020,6,12,0,101,1,0
2020,6,13,0,100,0,0
2020,6,14,0,9,0,0
2020,6,15,0,36,0,0
2020,6,16,0,100,0,0
2020,6,17,0,84,0,0
2020,6,18,1,91,0,0
2020,6,19,0,87,1,0
2020,6,20,0,115,0,0
2020,6,21,0,15,0,0
2020,6,22,0,62,0,0
2020,6,23,0,96,0,0
2020,6,24,0,79,0,0
2020,6,25,0,87,0,0
2020,6,26,0,92,0,0
2020,6,27,0,86,0,0
2020,6,28,0,20,0,0
2020,6,29,0,36,0,0
2020,6,30,0,144,1,0
2020,7,1,0,103,0,0
2020,7,2,0,94,0,0
2020,7,3,0,115,0,0
2020,7,4,0,99,0,0
2020,7,5,0,23,0,0
2020,7,6,0,48,0,0
2020,7,7,0,95,0,0
2020,7,8,0,107,1,0
2020,7,9,0,121,0,0
2020,7,10,1,100,0,0
2020,7,11,0,76,0,0
2020,7,12,0,24,0,0
2020,7,13,0,93,0,0
2020,7,14,1,136,0,0
2020,7,15,0,92,0,0
2020,7,16,0,113,0,0
2020,7,17,0,136,0,0
2020,7,18,0,88,0,0
2020,7,19,0,32,0,0
2020,7,20,0,47,0,0
