year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,2,201,0,0
2020,3,12,0,4,0,0
2020,3,13,0,22,0,0
2020,3,14,0,0,0,0
2020,3,15,0,0,0,0
2020,3,16,0,22,0,0
2020,3,17,0,21,0,0
2020,3,18,1,0,1,0
2020,3,19,0,2,0,0
2020,3,20,0,7,0,0
2020,3,21,0,0,0,0
2020,3,22,2,2,0,0
2020,3,23,3,23,0,0
2020,3,24,4,13,0,0
2020,3,25,1,8,0,0
2020,3,26,3,49,0,0
2020,3,27,0,38,0,0
2020,3,28,0,8,0,0
2020,3,29,5,8,0,0
2020,3,30,0,201,0,0
2020,3,31,2,88,1,0
2020,4,1,-1,0,0,0
2020,4,2,0,89,0,0
2020,4,3,17,21,0,0
2020,4,4,4,6,0,1
2020,4,5,7,9,0,0
2020,4,6,1,124,0,0
2020,4,7,0,22,1,0
2020,4,8,18,58,0,0
2020,4,9,7,64,2,0
2020,4,10,6,72,0,0
2020,4,11,9,3,0,0
2020,4,12,14,0,0,0
2020,4,13,7,257,0,0
2020,4,14,15,77,1,0
2020,4,15,1,107,6,0
2020,4,16,4,101,4,0
2020,4,17,4,165,0,1
2020,4,18,1,0,0,0
2020,4,19,2,0,0,1
2020,4,20,0,227,8,0
2020,4,21,1,24,0,0
2020,4,22,3,54,0,2
2020,4,23,3,37,0,0
2020,4,24,0,38,0,2
2020,4,25,0,0,12,0
2020,4,26,0,0,21,0
2020,4,27,0,90,0,0
2020,4,28,0,0,8,0
2020,4,29,0,0,0,0
2020,4,30,0,38,0,0
2020,5,1,3,4,5,-1
2020,5,2,1,0,9,0
2020,5,3,0,0,0,0
2020,5,4,0,0,2,0
2020,5,5,0,0,14,0
2020,5,6,0,0,11,0
2020,5,7,0,94,0,0
2020,5,8,0,906,8,0
2020,5,9,0,0,0,0
2020,5,10,0,78,8,0
2020,5,11,0,8,1,0
2020,5,12,0,36,4,0
2020,5,13,0,52,4,0
2020,5,14,0,-588,1,1
2020,5,15,0,28,1,0
2020,5,16,0,21,1,0
2020,5,17,0,20,0,0
2020,5,18,0,6,1,0
2020,5,19,0,18,1,0
2020,5,20,0,32,1,0
2020,5,21,0,23,0,0
2020,5,22,0,35,1,0
2020,5,23,0,19,0,0
2020,5,24,0,3,0,0
2020,5,25,0,192,1,0
2020,5,26,0,35,1,0
2020,5,27,0,44,0,0
2020,5,28,0,30,1,0
2020,5,29,0,61,0,0
2020,5,30,0,43,0,0
2020,5,31,0,10,0,0
2020,6,1,1,4,0,0
2020,6,2,0,38,0,0
2020,6,3,0,77,0,0
2020,6,4,0,37,0,0
2020,6,5,0,61,1,0
2020,6,6,0,47,0,0
2020,6,7,0,12,0,0
2020,6,8,1,5,0,0
2020,6,9,1,60,0,0
2020,6,10,0,114,0,0
2020,6,11,0,30,0,0
2020,6,12,0,126,0,0
2020,6,13,0,8,1,0
2020,6,14,0,8,0,0
2020,6,15,1,22,0,0
2020,6,16,0,58,0,0
2020,6,17,1,159,0,0
2020,6,18,0,42,0,0
2020,6,19,0,120,1,0
2020,6,20,1,60,0,0
2020,6,21,0,51,0,0
2020,6,22,0,18,0,0
2020,6,23,0,92,0,0
2020,6,24,0,67,0,0
2020,6,25,0,58,1,0
2020,6,26,0,67,1,0
2020,6,27,0,71,0,0
2020,6,28,0,6,0,0
2020,6,29,0,3,0,0
2020,6,30,0,92,1,0
2020,7,1,1,42,0,0
2020,7,2,3,36,0,0
2020,7,3,0,47,0,0
2020,7,4,0,72,0,0
2020,7,5,0,1,0,0
2020,7,6,0,4,0,0
2020,7,7,3,94,0,0
2020,7,8,-3,48,1,0
2020,7,9,2,80,0,0
2020,7,10,0,100,0,0
2020,7,11,0,61,0,0
2020,7,12,0,17,0,0
2020,7,13,0,4,0,0
2020,7,14,3,105,1,0
2020,7,15,1,75,2,0
2020,7,16,2,79,0,0
2020,7,17,4,310,0,0
2020,7,18,1,323,0,0
2020,7,19,4,260,0,0
2020,7,20,3,172,3,0
