year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,1,81,0,0
2020,3,12,0,22,0,0
2020,3,13,2,12,0,0
2020,3,14,2,0,0,0
2020,3,15,0,0,0,0
2020,3,16,1,0,0,0
2020,3,17,4,0,0,0
2020,3,18,0,46,0,0
2020,3,19,0,12,0,0
2020,3,20,1,0,0,0
2020,3,21,0,1,0,0
2020,3,22,0,0,0,1
2020,3,23,0,28,0,0
2020,3,24,2,7,0,0
2020,3,25,0,22,0,0
2020,3,26,1,9,0,0
2020,3,27,0,0,0,0
2020,3,28,1,0,0,0
2020,3,29,3,3,0,0
2020,3,30,0,10,0,0
2020,3,31,1,36,0,0
2020,4,1,1,0,0,0
2020,4,2,0,253,0,0
2020,4,3,4,318,0,0
2020,4,4,1,6,1,0
2020,4,5,1,0,0,0
2020,4,6,0,495,0,0
2020,4,7,3,19,0,0
2020,4,8,0,43,1,0
2020,4,9,4,43,2,0
2020,4,10,2,24,1,0
2020,4,11,44,5,0,1
2020,4,12,11,0,0,0
2020,4,13,1,222,0,0
2020,4,14,6,70,0,0
2020,4,15,10,79,0,2
2020,4,16,2,58,0,0
2020,4,17,5,35,0,0
2020,4,18,6,11,0,0
2020,4,19,2,3,9,1
2020,4,20,2,130,0,0
2020,4,21,7,60,0,0
2020,4,22,0,127,0,4
2020,4,23,7,90,0,0
2020,4,24,2,54,0,0
2020,4,25,0,6,0,0
2020,4,26,1,8,1,0
2020,4,27,5,141,0,0
2020,4,28,0,7,0,2
2020,4,29,0,0,0,4
2020,4,30,0,0,0,0
2020,5,1,0,0,0,0
2020,5,2,0,0,0,0
2020,5,3,0,0,21,1
2020,5,4,0,0,0,0
2020,5,5,0,0,0,0
2020,5,6,1,0,11,0
2020,5,7,0,315,0,2
2020,5,8,0,19,8,0
2020,5,9,0,108,9,0
2020,5,10,0,18,2,0
2020,5,11,0,8,2,0
2020,5,12,0,55,3,0
2020,5,13,0,33,5,0
2020,5,14,0,36,6,0
2020,5,15,0,49,0,0
2020,5,16,0,31,11,0
2020,5,17,0,16,1,0
2020,5,18,0,24,2,0
2020,5,19,1,41,5,0
2020,5,20,0,19,3,1
2020,5,21,0,28,0,0
2020,5,22,1,0,1,0
2020,5,23,0,42,1,0
2020,5,24,0,11,2,0
2020,5,25,0,13,4,0
2020,5,26,0,51,3,0
2020,5,27,0,25,1,0
2020,5,28,0,37,0,0
2020,5,29,0,34,1,0
2020,5,30,0,23,1,0
2020,5,31,0,23,0,0
2020,6,1,0,7,3,0
2020,6,2,0,51,1,0
2020,6,3,0,33,0,0
2020,6,4,0,50,0,0
2020,6,5,2,49,0,0
2020,6,6,0,59,1,0
2020,6,7,0,38,0,0
2020,6,8,0,31,2,0
2020,6,9,0,103,1,0
2020,6,10,0,82,0,0
2020,6,11,0,74,0,0
2020,6,12,0,53,0,0
2020,6,13,0,51,1,0
2020,6,14,0,13,0,0
2020,6,15,0,4,1,0
2020,6,16,0,67,1,0
2020,6,17,0,52,1,0
2020,6,18,0,42,0,0
2020,6,19,0,32,0,0
2020,6,20,0,48,0,0
2020,6,21,0,23,0,0
2020,6,22,0,11,0,0
2020,6,23,0,0,0,0
2020,6,24,1,90,0,0
2020,6,25,0,46,0,0
2020,6,26,0,57,1,0
2020,6,27,0,76,0,0
2020,6,28,0,24,0,0
2020,6,29,0,13,0,0
2020,6,30,1,111,0,0
2020,7,1,0,67,0,0
2020,7,2,0,43,0,0
2020,7,3,1,91,0,0
2020,7,4,0,15,2,0
2020,7,5,1,27,0,0
2020,7,6,0,11,0,0
2020,7,7,0,76,0,0
2020,7,8,0,183,0,0
2020,7,9,0,44,0,0
2020,7,10,0,88,0,0
2020,7,11,0,44,0,0
2020,7,12,0,14,1,0
2020,7,13,1,54,0,0
2020,7,14,0,82,0,0
2020,7,15,5,436,2,0
2020,7,16,3,123,0,0
2020,7,17,2,0,0,0
2020,7,18,1,258,0,0
2020,7,19,0,135,0,0
2020,7,20,0,96,0,0
