year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,1,290,0,0
2020,3,12,0,86,0,0
2020,3,13,0,47,0,0
2020,3,14,0,0,0,0
2020,3,15,0,0,0,0
2020,3,16,0,40,0,0
2020,3,17,0,39,0,0
2020,3,18,0,19,1,0
2020,3,19,0,31,0,0
2020,3,20,1,17,0,0
2020,3,21,0,10,0,0
2020,3,22,1,30,0,0
2020,3,23,0,22,0,0
2020,3,24,0,25,0,0
2020,3,25,0,31,0,0
2020,3,26,1,35,0,0
2020,3,27,0,26,0,0
2020,3,28,0,64,0,0
2020,3,29,2,19,0,0
2020,3,30,0,70,0,0
2020,3,31,0,59,0,0
2020,4,1,0,0,0,0
2020,4,2,0,63,0,0
2020,4,3,2,0,0,0
2020,4,4,5,17,0,0
2020,4,5,3,13,0,0
2020,4,6,0,295,0,0
2020,4,7,3,32,0,0
2020,4,8,4,106,0,0
2020,4,9,2,152,2,0
2020,4,10,0,76,0,0
2020,4,11,6,40,0,0
2020,4,12,25,0,0,0
2020,4,13,1,337,0,0
2020,4,14,9,185,0,0
2020,4,15,1,58,0,0
2020,4,16,51,399,0,0
2020,4,17,6,0,5,0
2020,4,18,5,31,3,0
2020,4,19,3,246,0,0
2020,4,20,5,0,1,0
2020,4,21,1,573,0,0
2020,4,22,1,200,1,0
2020,4,23,3,117,1,1
2020,4,24,0,339,0,0
2020,4,25,1,6,0,0
2020,4,26,2,0,1,0
2020,4,27,0,311,1,0
2020,4,28,4,54,4,0
2020,4,29,4,0,0,0
2020,4,30,2,349,9,1
2020,5,1,1,62,0,0
2020,5,2,5,16,0,0
2020,5,3,1,25,6,0
2020,5,4,0,0,0,0
2020,5,5,0,371,2,0
2020,5,6,0,0,0,0
2020,5,7,0,155,1,0
2020,5,8,3,158,23,0
2020,5,9,0,0,13,0
2020,5,10,0,0,8,0
2020,5,11,0,256,3,0
2020,5,12,0,49,4,0
2020,5,13,0,130,3,0
2020,5,14,0,69,15,0
2020,5,15,0,70,4,0
2020,5,16,0,0,2,0
2020,5,17,0,0,0,0
2020,5,18,1,137,1,0
2020,5,19,0,56,3,0
2020,5,20,0,86,4,0
2020,5,21,0,57,17,0
2020,5,22,1,40,3,0
2020,5,23,0,0,1,0
2020,5,24,0,0,1,0
2020,5,25,0,83,2,1
2020,5,26,0,15,1,0
2020,5,27,0,47,1,0
2020,5,28,0,44,4,0
2020,5,29,0,22,0,0
2020,5,30,0,0,0,0
2020,5,31,0,0,2,0
2020,6,1,1,72,5,0
2020,6,2,-1,32,0,0
2020,6,3,0,49,0,0
2020,6,4,0,44,4,0
2020,6,5,1,32,0,0
2020,6,6,0,0,0,0
2020,6,7,0,0,1,0
2020,6,8,0,128,0,0
2020,6,9,0,33,1,0
2020,6,10,0,31,0,0
2020,6,11,0,32,0,0
2020,6,12,0,33,1,0
2020,6,13,0,0,0,0
2020,6,14,0,0,0,0
2020,6,15,0,67,0,0
2020,6,16,0,24,0,0
2020,6,17,0,31,0,0
2020,6,18,0,33,0,0
2020,6,19,0,20,0,0
2020,6,20,0,0,0,0
2020,6,21,0,0,0,0
2020,6,22,0,70,0,0
2020,6,23,0,19,0,0
2020,6,24,0,26,0,0
2020,6,25,0,39,0,0
2020,6,26,0,22,0,0
2020,6,27,0,0,0,0
2020,6,28,0,0,0,0
2020,6,29,0,58,0,0
2020,6,30,0,22,0,0
2020,7,1,1,0,0,0
2020,7,2,0,56,0,0
2020,7,3,0,27,0,0
2020,7,4,0,0,0,0
2020,7,5,0,0,0,0
2020,7,6,0,65,1,0
2020,7,7,2,53,-1,0
2020,7,8,0,51,0,0
2020,7,9,0,52,0,0
2020,7,10,2,50,0,0
2020,7,11,3,0,1,0
2020,7,12,2,0,0,0
2020,7,13,1,215,0,0
2020,7,14,3,84,1,0
2020,7,15,2,48,0,0
2020,7,16,8,108,0,0
2020,7,17,6,173,0,0
2020,7,18,7,0,3,0
2020,7,19,2,0,0,0
2020,7,20,2,478,5,0
