year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,118,1069,0,0
2020,3,12,10,181,0,0
2020,3,13,8,72,0,0
2020,3,14,6,0,0,0
2020,3,15,6,0,0,0
2020,3,16,4,140,0,0
2020,3,17,0,53,0,0
2020,3,18,2,72,69,6
2020,3,19,3,65,0,0
2020,3,20,1,0,0,0
2020,3,21,1,0,12,0
2020,3,22,3,0,2,0
2020,3,23,0,123,7,0
2020,3,24,1,19,3,0
2020,3,25,4,27,5,1
2020,3,26,1,108,0,0
2020,3,27,1,47,16,0
2020,3,28,3,0,7,0
2020,3,29,4,0,0,0
2020,3,30,1,100,0,0
2020,3,31,0,20,3,0
2020,4,1,5,0,6,0
2020,4,2,3,122,0,1
2020,4,3,5,78,0,0
2020,4,4,3,0,0,0
2020,4,5,1,0,0,0
2020,4,6,0,149,11,1
2020,4,7,4,31,2,0
2020,4,8,10,12,2,0
2020,4,9,18,0,0,1
2020,4,10,13,202,3,1
2020,4,11,16,146,10,0
2020,4,12,12,0,0,0
2020,4,13,5,421,3,0
2020,4,14,7,40,0,1
2020,4,15,23,176,0,1
2020,4,16,34,152,2,1
2020,4,17,34,110,8,0
2020,4,18,37,33,0,2
2020,4,19,27,219,0,2
2020,4,20,17,258,0,0
2020,4,21,22,309,0,0
2020,4,22,22,249,17,4
2020,4,23,45,309,7,3
2020,4,24,22,250,1,0
2020,4,25,39,0,5,0
2020,4,26,14,0,1,0
2020,4,27,35,787,0,1
2020,4,28,38,163,0,0
2020,4,29,38,0,7,0
2020,4,30,41,580,0,1
2020,5,1,23,162,39,2
2020,5,2,33,0,0,0
2020,5,3,24,0,0,4
2020,5,4,0,0,6,3
2020,5,5,44,0,32,7
2020,5,6,23,0,0,0
2020,5,7,14,773,16,2
2020,5,8,0,186,92,2
2020,5,9,6,306,30,1
2020,5,10,11,357,20,3
2020,5,11,9,269,15,5
2020,5,12,12,215,13,6
2020,5,13,13,246,30,6
2020,5,14,4,284,17,2
2020,5,15,6,248,9,2
2020,5,16,10,245,32,1
2020,5,17,7,302,29,1
2020,5,18,8,285,12,1
2020,5,19,1,115,19,1
2020,5,20,3,187,22,1
2020,5,21,1,363,28,0
2020,5,22,5,213,17,1
2020,5,23,6,205,24,0
2020,5,24,9,219,15,1
2020,5,25,15,213,8,2
2020,5,26,3,212,2,2
2020,5,27,9,189,19,1
2020,5,28,5,296,8,1
2020,5,29,7,347,7,1
2020,5,30,3,299,13,0
2020,5,31,4,372,16,0
2020,6,1,6,421,11,0
2020,6,2,5,172,2,1
2020,6,3,3,121,9,0
2020,6,4,3,217,10,1
2020,6,5,3,290,18,2
2020,6,6,4,206,14,0
2020,6,7,8,286,6,0
2020,6,8,4,311,12,0
2020,6,9,4,278,7,1
2020,6,10,7,154,18,0
2020,6,11,5,177,15,0
2020,6,12,7,233,10,0
2020,6,13,10,287,12,0
2020,6,14,9,237,7,0
2020,6,15,7,316,6,0
2020,6,16,6,169,3,0
2020,6,17,2,146,11,1
2020,6,18,6,280,7,0
2020,6,19,5,305,11,1
2020,6,20,3,228,13,1
2020,6,21,3,225,5,0
2020,6,22,2,144,4,1
2020,6,23,2,124,1,0
2020,6,24,1,154,9,2
2020,6,25,10,206,8,1
2020,6,26,6,218,4,0
2020,6,27,5,277,12,0
2020,6,28,1,144,4,1
2020,6,29,17,197,6,0
2020,6,30,11,196,0,0
2020,7,1,13,201,7,0
2020,7,2,4,270,11,1
2020,7,3,8,218,5,1
2020,7,4,0,266,3,0
2020,7,5,1,272,8,0
2020,7,6,1,172,5,0
2020,7,7,0,143,5,0
2020,7,8,1,86,8,0
2020,7,9,4,186,14,0
2020,7,10,1,230,6,0
2020,7,11,6,310,0,0
2020,7,12,1,188,4,0
2020,7,13,4,156,2,0
2020,7,14,2,122,0,1
2020,7,15,8,155,4,0
2020,7,16,13,347,3,0
2020,7,17,6,455,2,0
2020,7,18,3,272,8,0
2020,7,19,13,274,7,0
2020,7,20,9,247,2,0
