year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,35,443,0,0
2020,3,12,8,97,0,0
2020,3,13,13,41,0,0
2020,3,14,4,0,0,0
2020,3,15,2,0,0,0
2020,3,16,19,293,0,0
2020,3,17,4,77,0,0
2020,3,18,5,69,0,3
2020,3,19,1,88,1,1
2020,3,20,9,12,0,0
2020,3,21,6,6,1,0
2020,3,22,4,1,0,1
2020,3,23,2,391,0,0
2020,3,24,3,89,3,0
2020,3,25,1,248,0,0
2020,3,26,2,176,0,0
2020,3,27,4,90,0,0
2020,3,28,3,21,13,3
2020,3,29,7,4,0,2
2020,3,30,4,253,0,0
2020,3,31,11,63,0,1
2020,4,1,14,0,0,0
2020,4,2,6,148,0,0
2020,4,3,5,181,33,0
2020,4,4,10,14,1,0
2020,4,5,13,0,0,0
2020,4,6,6,249,1,1
2020,4,7,15,97,0,0
2020,4,8,0,176,0,0
2020,4,9,57,169,5,0
2020,4,10,43,195,1,0
2020,4,11,42,139,0,1
2020,4,12,17,0,0,0
2020,4,13,9,420,0,1
2020,4,14,19,153,2,1
2020,4,15,20,237,0,0
2020,4,16,30,211,2,2
2020,4,17,27,209,0,0
2020,4,18,22,10,2,0
2020,4,19,11,210,0,0
2020,4,20,11,330,0,0
2020,4,21,22,104,0,0
2020,4,22,17,258,0,0
2020,4,23,18,241,2,0
2020,4,24,24,250,1,0
2020,4,25,14,178,4,0
2020,4,26,8,190,5,0
2020,4,27,2,91,3,0
2020,4,28,7,141,0,0
2020,4,29,6,13,1,0
2020,4,30,3,405,0,0
2020,5,1,5,140,2,1
2020,5,2,4,270,3,0
2020,5,3,13,161,4,0
2020,5,4,0,0,0,0
2020,5,5,6,242,6,0
2020,5,6,3,64,3,1
2020,5,7,3,158,1,0
2020,5,8,2,138,354,13
2020,5,9,7,196,9,0
2020,5,10,0,241,23,2
2020,5,11,5,88,14,0
2020,5,12,1,110,12,0
2020,5,13,0,194,9,1
2020,5,14,3,170,18,2
2020,5,15,1,147,9,0
2020,5,16,0,132,11,1
2020,5,17,1,130,6,0
2020,5,18,1,65,6,0
2020,5,19,-1,65,10,0
2020,5,20,0,120,13,0
2020,5,21,0,126,7,0
2020,5,22,0,99,4,0
2020,5,23,0,77,0,2
2020,5,24,0,74,4,0
2020,5,25,0,32,4,0
2020,5,26,0,2,2,0
2020,5,27,0,133,3,0
2020,5,28,0,87,4,0
2020,5,29,0,63,3,1
2020,5,30,0,62,1,1
2020,5,31,0,61,0,0
2020,6,1,0,25,4,0
2020,6,2,0,53,2,0
2020,6,3,0,87,4,0
2020,6,4,0,75,5,0
2020,6,5,0,64,6,0
2020,6,6,0,66,5,0
2020,6,7,0,62,0,0
2020,6,8,0,28,0,0
2020,6,9,0,52,0,1
2020,6,10,0,76,0,0
2020,6,11,0,55,1,0
2020,6,12,0,63,0,0
2020,6,13,0,48,0,0
2020,6,14,0,50,0,0
2020,6,15,0,18,0,0
2020,6,16,0,24,0,0
2020,6,17,0,49,0,0
2020,6,18,0,1642,0,0
2020,6,19,0,80,0,0
2020,6,20,1,141,0,0
2020,6,21,0,29,0,0
2020,6,22,2,15,0,0
2020,6,23,0,88,0,0
2020,6,24,1,158,0,0
2020,6,25,1,171,0,0
2020,6,26,0,136,1,0
2020,6,27,1,154,0,0
2020,6,28,0,34,0,0
2020,6,29,0,24,0,0
2020,6,30,0,162,-2,2
2020,7,1,1,90,3,0
2020,7,2,2,109,1,0
2020,7,3,1,149,0,0
2020,7,4,0,157,0,0
2020,7,5,1,99,0,0
2020,7,6,2,132,0,0
2020,7,7,4,199,2,0
2020,7,8,1,297,1,0
2020,7,9,3,224,1,0
2020,7,10,2,239,2,0
2020,7,11,4,178,0,0
2020,7,12,5,87,0,0
2020,7,13,7,29,1,0
2020,7,14,1,346,6,0
2020,7,15,9,286,4,0
2020,7,16,12,351,1,0
2020,7,17,17,481,7,0
2020,7,18,24,334,9,0
2020,7,19,12,289,7,0
2020,7,20,21,156,6,0
