year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,0,302,0,0
2020,3,12,0,40,0,0
2020,3,13,0,47,0,0
2020,3,14,0,0,0,0
2020,3,15,0,0,0,0
2020,3,16,0,30,0,0
2020,3,17,1,17,0,0
2020,3,18,1,18,0,0
2020,3,19,1,10,0,0
2020,3,20,0,0,0,0
2020,3,21,0,0,0,0
2020,3,22,0,0,0,0
2020,3,23,2,112,0,0
2020,3,24,0,0,0,0
2020,3,25,4,80,0,0
2020,3,26,1,60,0,0
2020,3,27,1,54,0,0
2020,3,28,2,0,0,0
2020,3,29,3,0,0,0
2020,3,30,4,151,0,0
2020,3,31,4,107,0,0
2020,4,1,0,0,0,1
2020,4,2,2,238,0,1
2020,4,3,28,117,1,0
2020,4,4,5,0,0,0
2020,4,5,5,0,0,0
2020,4,6,7,423,0,0
2020,4,7,6,121,0,0
2020,4,8,0,0,3,0
2020,4,9,4,213,0,0
2020,4,10,1,81,3,1
2020,4,11,9,0,1,0
2020,4,12,18,0,1,0
2020,4,13,1,280,1,0
2020,4,14,6,218,0,0
2020,4,15,3,164,0,2
2020,4,16,4,0,0,0
2020,4,17,8,276,1,0
2020,4,18,4,0,3,0
2020,4,19,4,0,2,0
2020,4,20,4,184,0,1
2020,4,21,3,228,0,0
2020,4,22,5,116,2,0
2020,4,23,2,200,3,0
2020,4,24,4,144,3,0
2020,4,25,1,0,0,0
2020,4,26,3,0,0,0
2020,4,27,0,242,7,0
2020,4,28,1,200,0,0
2020,4,29,0,0,2,0
2020,4,30,1,150,2,1
2020,5,1,2,212,0,0
2020,5,2,0,0,3,0
2020,5,3,0,0,7,0
2020,5,4,0,0,16,1
2020,5,5,3,0,8,1
2020,5,6,0,0,2,0
2020,5,7,0,446,2,0
2020,5,8,0,-1455,5,0
2020,5,9,0,0,0,0
2020,5,10,0,0,0,0
2020,5,11,0,131,14,0
2020,5,12,0,51,1,0
2020,5,13,0,52,1,0
2020,5,14,0,85,4,0
2020,5,15,0,107,7,0
2020,5,16,0,-50,6,0
2020,5,17,0,0,19,0
2020,5,18,0,50,3,0
2020,5,19,0,94,0,0
2020,5,20,0,39,4,0
2020,5,21,0,42,2,0
2020,5,22,0,42,3,0
2020,5,23,0,0,3,0
2020,5,24,0,0,0,0
2020,5,25,0,65,0,0
2020,5,26,0,6,0,1
2020,5,27,0,34,2,0
2020,5,28,0,27,2,0
2020,5,29,0,27,2,0
2020,5,30,0,0,0,0
2020,5,31,0,0,0,0
2020,6,1,0,56,1,0
2020,6,2,0,7,1,0
2020,6,3,0,30,0,0
2020,6,4,0,25,2,0
2020,6,5,0,26,0,0
2020,6,6,0,0,0,0
2020,6,7,0,0,0,0
2020,6,8,0,94,0,0
2020,6,9,0,6,0,0
2020,6,10,0,62,0,0
2020,6,11,0,28,0,0
2020,6,12,0,43,0,0
2020,6,13,0,0,0,0
2020,6,14,0,0,0,0
2020,6,15,0,45,0,0
2020,6,16,0,3,0,0
2020,6,17,0,29,0,0
2020,6,18,0,25,0,0
2020,6,19,0,18,0,0
2020,6,20,2,0,0,0
2020,6,21,0,0,0,0
2020,6,22,0,38,0,0
2020,6,23,0,5,0,0
2020,6,24,0,24,0,0
2020,6,25,0,17,0,0
2020,6,26,2,26,1,0
2020,6,27,0,0,1,0
2020,6,28,1,0,0,0
2020,6,29,1,43,2,0
2020,6,30,0,5,0,0
2020,7,1,0,42,0,0
2020,7,2,2,41,0,0
2020,7,3,6,51,1,0
2020,7,4,1,0,0,0
2020,7,5,0,0,0,0
2020,7,6,3,114,0,0
2020,7,7,1,30,3,0
2020,7,8,1,60,0,0
2020,7,9,1,64,2,0
2020,7,10,7,29,2,0
2020,7,11,0,0,0,0
2020,7,12,3,0,2,0
2020,7,13,3,132,2,0
2020,7,14,2,8,1,0
2020,7,15,5,76,5,0
2020,7,16,2,77,4,0
2020,7,17,4,59,5,0
2020,7,18,5,0,4,0
2020,7,19,5,0,3,0
2020,7,20,1,245,1,0
