year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,7,134,0,0
2020,3,12,0,10,0,0
2020,3,13,0,2,0,0
2020,3,14,0,0,0,0
2020,3,15,0,0,0,0
2020,3,16,0,10,0,0
2020,3,17,0,6,0,0
2020,3,18,0,3,1,0
2020,3,19,0,6,1,0
2020,3,20,1,4,0,0
2020,3,21,0,1,1,0
2020,3,22,0,3,0,0
2020,3,23,0,2,0,0
2020,3,24,0,11,0,0
2020,3,25,0,1,0,0
2020,3,26,0,2,0,0
2020,3,27,0,4,0,0
2020,3,28,1,6,2,0
2020,3,29,0,6,0,0
2020,3,30,2,0,0,0
2020,3,31,2,17,0,0
2020,4,1,2,0,0,0
2020,4,2,1,20,0,0
2020,4,3,8,16,0,0
2020,4,4,8,0,0,0
2020,4,5,11,0,0,0
2020,4,6,2,120,0,0
2020,4,7,6,46,0,0
2020,4,8,15,42,0,0
2020,4,9,6,22,0,0
2020,4,10,20,68,0,0
2020,4,11,12,0,0,0
2020,4,12,9,0,0,0
2020,4,13,8,156,0,0
2020,4,14,10,60,0,1
2020,4,15,9,48,0,3
2020,4,16,6,77,0,0
2020,4,17,14,74,0,0
2020,4,18,13,0,0,0
2020,4,19,5,0,0,0
2020,4,20,2,138,9,0
2020,4,21,10,66,0,0
2020,4,22,9,63,2,1
2020,4,23,17,94,0,0
2020,4,24,6,86,0,0
2020,4,25,2,0,0,0
2020,4,26,5,0,0,0
2020,4,27,7,279,0,0
2020,4,28,9,93,6,0
2020,4,29,5,0,0,1
2020,4,30,1,141,0,0
2020,5,1,3,40,1,1
2020,5,2,6,0,0,6
2020,5,3,4,0,0,0
2020,5,4,0,0,0,0
2020,5,5,4,0,0,0
2020,5,6,3,0,23,0
2020,5,7,4,198,0,0
2020,5,8,0,0,81,3
2020,5,9,2,32,3,0
2020,5,10,1,30,2,0
2020,5,11,2,39,4,1
2020,5,12,3,78,14,2
2020,5,13,1,36,2,0
2020,5,14,0,36,7,1
2020,5,15,1,22,7,0
2020,5,16,1,0,4,1
2020,5,17,1,0,7,0
2020,5,18,0,53,5,1
2020,5,19,3,12,9,0
2020,5,20,0,30,4,0
2020,5,21,2,15,3,0
2020,5,22,2,21,3,2
2020,5,23,1,11,9,0
2020,5,24,0,22,0,0
2020,5,25,0,12,1,0
2020,5,26,1,12,0,0
2020,5,27,0,20,0,0
2020,5,28,1,11,4,0
2020,5,29,1,21,3,0
2020,5,30,0,25,1,1
2020,5,31,0,10,0,0
2020,6,1,0,4,2,0
2020,6,2,0,6,6,0
2020,6,3,0,13,6,1
2020,6,4,0,12,0,0
2020,6,5,1,12,3,1
2020,6,6,0,13,1,0
2020,6,7,0,8,0,0
2020,6,8,0,7,1,0
2020,6,9,0,2,1,0
2020,6,10,0,6,0,0
2020,6,11,0,9,0,0
2020,6,12,0,9,2,0
2020,6,13,0,6,0,0
2020,6,14,0,8,0,0
2020,6,15,0,7,0,0
2020,6,16,0,2,2,0
2020,6,17,0,6,1,0
2020,6,18,0,4,3,0
2020,6,19,0,3,0,0
2020,6,20,0,3,1,0
2020,6,21,0,6,0,0
2020,6,22,1,2,0,0
2020,6,23,0,2,1,0
2020,6,24,0,6,0,0
2020,6,25,0,2,1,0
2020,6,26,0,3,1,0
2020,6,27,0,11,0,0
2020,6,28,0,3,1,0
2020,6,29,0,6,4,0
2020,6,30,0,1,1,0
2020,7,1,0,6,0,0
2020,7,2,0,7,0,0
2020,7,3,0,4,0,0
2020,7,4,0,3,3,0
2020,7,5,0,7,1,0
2020,7,6,0,2,0,0
2020,7,7,0,3,4,0
2020,7,8,0,7,1,0
2020,7,9,0,6,1,0
2020,7,10,0,6,0,0
2020,7,11,0,2,0,0
2020,7,12,0,1,0,0
2020,7,13,0,5,0,0
2020,7,14,0,0,2,0
2020,7,15,0,4,0,0
2020,7,16,0,8,0,0
2020,7,17,1,7,0,0
2020,7,18,2,19,0,0
2020,7,19,0,3,1,0
2020,7,20,0,12,0,0
