year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,0,0,0,0
2020,3,12,0,0,0,0
2020,3,13,0,0,0,0
2020,3,14,0,0,0,0
2020,3,15,0,0,0,0
2020,3,16,0,0,0,0
2020,3,17,0,0,0,0
2020,3,18,0,0,0,0
2020,3,19,0,171,0,0
2020,3,20,0,0,0,0
2020,3,21,0,0,0,0
2020,3,22,0,0,0,0
2020,3,23,0,22,0,0
2020,3,24,0,3,0,0
2020,3,25,0,12,0,0
2020,3,26,1,7,0,0
2020,3,27,0,4,0,0
2020,3,28,0,0,0,0
2020,3,29,0,0,0,0
2020,3,30,0,44,0,0
2020,3,31,0,2,0,0
2020,4,1,1,0,0,0
2020,4,2,1,43,0,0
2020,4,3,0,38,0,0
2020,4,4,0,0,0,0
2020,4,5,0,0,0,0
2020,4,6,0,68,0,0
2020,4,7,0,35,0,0
2020,4,8,0,34,0,0
2020,4,9,0,0,0,0
2020,4,10,0,40,0,0
2020,4,11,1,0,0,0
2020,4,12,0,0,0,0
2020,4,13,0,91,0,0
2020,4,14,0,14,0,0
2020,4,15,0,71,0,0
2020,4,16,0,0,1,0
2020,4,17,2,33,0,0
2020,4,18,1,2,0,0
2020,4,19,1,0,0,0
2020,4,20,2,107,0,0
2020,4,21,0,11,0,0
2020,4,22,0,43,1,0
2020,4,23,0,122,0,0
2020,4,24,0,92,1,0
2020,4,25,0,0,0,0
2020,4,26,0,0,0,0
2020,4,27,0,67,1,0
2020,4,28,0,23,0,0
2020,4,29,0,0,0,0
2020,4,30,0,61,0,0
2020,5,1,0,27,0,0
2020,5,2,0,0,0,0
2020,5,3,0,0,0,0
2020,5,4,0,0,0,0
2020,5,5,0,0,0,0
2020,5,6,0,0,1,0
2020,5,7,0,91,0,0
2020,5,8,1,68,2,0
2020,5,9,0,0,0,0
2020,5,10,0,54,1,0
2020,5,11,0,13,0,0
2020,5,12,0,31,0,0
2020,5,13,0,-28,0,0
2020,5,14,-1,20,-1,0
2020,5,15,0,49,0,0
2020,5,16,0,14,0,0
2020,5,17,0,17,0,0
2020,5,18,0,0,0,0
2020,5,19,0,7,0,0
2020,5,20,0,30,1,0
2020,5,21,0,13,1,0
2020,5,22,0,19,0,0
2020,5,23,0,0,0,0
2020,5,24,0,0,0,0
2020,5,25,0,28,0,0
2020,5,26,0,26,1,0
2020,5,27,0,6,0,0
2020,5,28,0,107,0,0
2020,5,29,0,7,0,0
2020,5,30,0,0,0,0
2020,5,31,0,0,0,0
2020,6,1,0,12,0,0
2020,6,2,0,9,0,0
2020,6,3,0,38,0,0
2020,6,4,0,46,0,0
2020,6,5,0,0,0,0
2020,6,6,0,18,0,0
2020,6,7,0,16,0,0
2020,6,8,0,11,0,0
2020,6,9,0,0,0,0
2020,6,10,0,40,0,0
2020,6,11,0,108,0,0
2020,6,12,1,6,0,0
2020,6,13,0,0,0,0
2020,6,14,0,126,0,0
2020,6,15,0,16,0,0
2020,6,16,0,0,0,0
2020,6,17,0,36,0,0
2020,6,18,0,43,0,0
2020,6,19,0,29,0,0
2020,6,20,0,10,0,0
2020,6,21,0,29,0,0
2020,6,22,0,13,0,0
2020,6,23,0,29,0,0
2020,6,24,0,0,0,0
2020,6,25,0,13,0,0
2020,6,26,0,27,0,0
2020,6,27,0,27,0,0
2020,6,28,0,0,0,0
2020,6,29,0,2,0,0
2020,6,30,0,24,1,0
2020,7,1,1,24,0,0
2020,7,2,9,17,0,0
2020,7,3,0,26,0,0
2020,7,4,30,130,0,0
2020,7,5,34,0,0,0
2020,7,6,22,942,0,0
2020,7,7,3,511,0,0
2020,7,8,12,604,0,0
2020,7,9,0,0,0,0
2020,7,10,2,1207,0,0
2020,7,11,8,464,0,0
2020,7,12,13,437,0,0
2020,7,13,5,0,3,0
2020,7,14,5,201,16,0
2020,7,15,3,455,19,0
2020,7,16,4,418,25,0
2020,7,17,0,133,14,0
2020,7,18,2,111,1,0
2020,7,19,1,47,0,0
2020,7,20,5,0,12,0
