year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,43,0,0,0
2020,3,12,0,0,0,0
2020,3,13,3,0,0,0
2020,3,14,3,0,0,0
2020,3,15,5,0,0,0
2020,3,16,0,0,0,0
2020,3,17,1,0,0,0
2020,3,18,4,0,6,4
2020,3,19,5,0,0,0
2020,3,20,1,0,0,0
2020,3,21,3,0,6,0
2020,3,22,6,0,2,0
2020,3,23,1,0,3,0
2020,3,24,5,69,0,0
2020,3,25,4,5,0,0
2020,3,26,5,144,1,0
2020,3,27,6,58,0,0
2020,3,28,9,0,2,1
2020,3,29,3,0,0,0
2020,3,30,8,200,0,1
2020,3,31,5,138,7,0
2020,4,1,18,0,1,0
2020,4,2,15,340,0,0
2020,4,3,28,145,4,0
2020,4,4,16,0,0,0
2020,4,5,29,1,0,0
2020,4,6,35,699,0,0
2020,4,7,18,197,3,0
2020,4,8,48,207,2,0
2020,4,9,48,0,0,0
2020,4,10,50,397,7,0
2020,4,11,40,4,0,0
2020,4,12,13,0,0,1
2020,4,13,94,512,11,5
2020,4,14,22,190,0,2
2020,4,15,20,170,0,1
2020,4,16,59,206,0,1
2020,4,17,37,206,0,0
2020,4,18,44,23,13,0
2020,4,19,30,1,5,1
2020,4,20,18,0,15,2
2020,4,21,14,716,0,0
2020,4,22,25,0,23,4
2020,4,23,39,200,3,1
2020,4,24,32,247,6,0
2020,4,25,31,0,0,1
2020,4,26,16,0,0,1
2020,4,27,6,364,2,1
2020,4,28,10,97,28,2
2020,4,29,27,0,0,2
2020,4,30,26,335,18,1
2020,5,1,14,131,4,0
2020,5,2,18,0,5,1
2020,5,3,41,0,7,2
2020,5,4,0,0,1,5
2020,5,5,24,0,0,1
2020,5,6,7,0,3,2
2020,5,7,13,911,0,1
2020,5,8,5,0,457,3
2020,5,9,0,0,0,0
2020,5,10,0,0,0,0
2020,5,11,28,0,64,3
2020,5,12,15,0,23,7
2020,5,13,10,0,36,2
2020,5,14,33,0,40,3
2020,5,15,15,1018,1,1
2020,5,16,0,0,0,0
2020,5,17,0,0,0,0
2020,5,18,25,289,79,1
2020,5,19,8,97,16,4
2020,5,20,18,166,29,0
2020,5,21,13,198,2,1
2020,5,22,7,99,30,2
2020,5,23,0,0,0,0
2020,5,24,0,0,0,0
2020,5,25,11,204,26,2
2020,5,26,3,89,21,3
2020,5,27,5,152,22,2
2020,5,28,0,0,0,0
2020,5,29,18,221,46,4
2020,5,30,0,0,0,0
2020,5,31,0,0,0,0
2020,6,1,11,191,22,2
2020,6,2,3,337,21,2
2020,6,3,2,129,7,0
2020,6,4,6,107,21,1
2020,6,5,6,117,12,0
2020,6,6,0,0,0,0
2020,6,7,0,0,0,0
2020,6,8,10,274,18,0
2020,6,9,1,155,4,1
2020,6,10,0,162,9,1
2020,6,11,1,128,8,0
2020,6,12,3,83,11,0
2020,6,13,0,0,0,0
2020,6,14,0,0,0,0
2020,6,15,9,200,-30,1
2020,6,16,2,160,66,1
2020,6,17,7,139,6,2
2020,6,18,6,96,16,0
2020,6,19,2,102,-6,0
2020,6,20,0,0,0,0
2020,6,21,0,0,0,0
2020,6,22,5,207,11,0
2020,6,23,1,75,7,1
2020,6,24,4,94,0,0
2020,6,25,6,76,7,0
2020,6,26,7,69,1,2
2020,6,27,4,0,4,0
2020,6,28,9,0,9,0
2020,6,29,7,133,2,0
2020,6,30,31,71,32,0
2020,7,1,6,158,-12,0
2020,7,2,13,104,-5,0
2020,7,3,24,85,21,0
2020,7,4,20,0,20,0
2020,7,5,20,0,20,0
2020,7,6,11,359,-18,0
2020,7,7,9,180,18,0
2020,7,8,23,258,-4,0
2020,7,9,25,199,31,1
2020,7,10,32,127,21,0
2020,7,11,35,0,34,0
2020,7,12,23,0,24,0
2020,7,13,17,390,-4,0
2020,7,14,26,84,13,1
2020,7,15,40,263,25,0
2020,7,16,50,0,33,0
2020,7,17,43,475,4,0
2020,7,18,49,0,49,0
2020,7,19,30,0,30,0
2020,7,20,11,422,-24,0
