year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,12,157,0,0
2020,3,12,0,64,0,0
2020,3,13,0,8,0,0
2020,3,14,0,0,0,0
2020,3,15,0,0,0,0
2020,3,16,0,17,0,0
2020,3,17,0,10,0,0
2020,3,18,0,11,6,0
2020,3,19,0,3,5,0
2020,3,20,0,0,0,0
2020,3,21,0,2,0,0
2020,3,22,0,7,0,0
2020,3,23,0,2,0,0
2020,3,24,0,26,0,0
2020,3,25,0,6,0,0
2020,3,26,0,1,0,0
2020,3,27,1,18,0,0
2020,3,28,0,10,1,0
2020,3,29,1,11,0,0
2020,3,30,1,6,0,0
2020,3,31,2,30,0,0
2020,4,1,3,0,0,0
2020,4,2,1,28,0,0
2020,4,3,0,37,0,0
2020,4,4,3,28,0,0
2020,4,5,7,16,0,0
2020,4,6,3,67,0,0
2020,4,7,2,26,0,0
2020,4,8,1,55,0,0
2020,4,9,10,63,0,0
2020,4,10,5,72,0,0
2020,4,11,2,33,1,0
2020,4,12,6,0,1,0
2020,4,13,0,99,2,0
2020,4,14,0,22,0,0
2020,4,15,2,72,0,0
2020,4,16,0,32,2,1
2020,4,17,1,0,0,0
2020,4,18,1,45,0,0
2020,4,19,4,47,0,0
2020,4,20,1,36,4,1
2020,4,21,0,14,0,0
2020,4,22,1,49,6,0
2020,4,23,1,30,0,0
2020,4,24,0,34,0,0
2020,4,25,1,8,0,0
2020,4,26,1,42,0,0
2020,4,27,0,18,0,0
2020,4,28,0,6,0,1
2020,4,29,1,30,0,0
2020,4,30,0,41,0,0
2020,5,1,0,7,21,0
2020,5,2,0,15,0,0
2020,5,3,0,35,0,0
2020,5,4,0,0,0,0
2020,5,5,0,10,0,0
2020,5,6,0,14,0,0
2020,5,7,0,8,0,0
2020,5,8,0,-1,12,0
2020,5,9,0,0,0,0
2020,5,10,0,56,3,0
2020,5,11,0,1,1,0
2020,5,12,0,10,0,0
2020,5,13,0,10,1,0
2020,5,14,0,20,0,0
2020,5,15,0,26,0,0
2020,5,16,0,-26,0,0
2020,5,17,0,57,1,0
2020,5,18,0,3,0,0
2020,5,19,0,5,0,0
2020,5,20,0,14,1,0
2020,5,21,0,15,0,0
2020,5,22,0,14,1,0
2020,5,23,0,6,0,0
2020,5,24,0,11,0,0
2020,5,25,0,0,0,0
2020,5,26,0,4,1,0
2020,5,27,0,2,0,0
2020,5,28,0,15,0,0
2020,5,29,0,8,0,0
2020,5,30,0,7,0,0
2020,5,31,0,8,1,0
2020,6,1,0,5,0,0
2020,6,2,0,3,0,0
2020,6,3,0,11,0,0
2020,6,4,0,6,0,0
2020,6,5,0,6,0,0
2020,6,6,0,8,0,0
2020,6,7,0,13,0,0
2020,6,8,0,3,0,0
2020,6,9,0,0,0,0
2020,6,10,0,15,0,0
2020,6,11,0,10,0,0
2020,6,12,0,6,0,0
2020,6,13,0,5,0,0
2020,6,14,0,9,0,0
2020,6,15,0,0,0,0
2020,6,16,0,0,0,0
2020,6,17,0,12,0,0
2020,6,18,0,8,0,0
2020,6,19,0,4,0,0
2020,6,20,0,2,0,0
2020,6,21,0,7,0,0
2020,6,22,0,3,0,0
2020,6,23,0,6,0,0
2020,6,24,0,8,0,0
2020,6,25,0,3,0,0
2020,6,26,0,7,0,0
2020,6,27,0,5,0,0
2020,6,28,0,11,0,0
2020,6,29,0,2,0,0
2020,6,30,0,0,0,0
2020,7,1,0,6,0,0
2020,7,2,0,3,0,0
2020,7,3,0,5,0,0
2020,7,4,0,6,0,0
2020,7,5,0,5,0,0
2020,7,6,0,2,0,0
2020,7,7,0,0,0,0
2020,7,8,0,8,0,0
2020,7,9,0,0,0,0
2020,7,10,0,8,0,0
2020,7,11,0,1,0,0
2020,7,12,0,10,0,0
2020,7,13,1,3,0,0
2020,7,14,0,0,0,0
2020,7,15,0,23,0,0
2020,7,16,1,38,0,0
2020,7,17,0,14,0,0
2020,7,18,0,13,0,0
2020,7,19,0,14,0,0
2020,7,20,0,6,0,0
