year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,15,440,0,0
2020,3,12,2,104,0,0
2020,3,13,0,84,0,0
2020,3,14,0,0,0,0
2020,3,15,0,0,0,0
2020,3,16,0,113,0,0
2020,3,17,2,2,0,0
2020,3,18,1,27,6,0
2020,3,19,0,30,0,0
2020,3,20,1,6,0,0
2020,3,21,1,7,1,0
2020,3,22,1,2,0,0
2020,3,23,1,42,0,0
2020,3,24,2,73,0,0
2020,3,25,4,37,0,0
2020,3,26,2,29,1,0
2020,3,27,2,39,3,0
2020,3,28,3,0,2,0
2020,3,29,9,0,0,0
2020,3,30,8,45,0,0
2020,3,31,14,98,2,0
2020,4,1,3,0,1,0
2020,4,2,8,11,2,0
2020,4,3,12,209,0,0
2020,4,4,14,0,0,0
2020,4,5,6,7,0,0
2020,4,6,8,67,0,0
2020,4,7,20,211,0,0
2020,4,8,10,104,5,0
2020,4,9,10,80,6,1
2020,4,10,9,101,0,0
2020,4,11,13,0,4,0
2020,4,12,12,0,0,2
2020,4,13,12,257,0,0
2020,4,14,5,50,1,0
2020,4,15,5,87,3,0
2020,4,16,10,102,2,0
2020,4,17,10,101,14,0
2020,4,18,7,0,0,0
2020,4,19,9,0,17,0
2020,4,20,8,246,7,2
2020,4,21,5,72,0,0
2020,4,22,11,23,11,2
2020,4,23,7,491,5,0
2020,4,24,4,217,0,0
2020,4,25,4,0,44,0
2020,4,26,4,0,3,0
2020,4,27,15,280,0,1
2020,4,28,4,56,0,0
2020,4,29,3,0,16,1
2020,4,30,3,227,3,0
2020,5,1,4,166,0,1
2020,5,2,5,0,9,1
2020,5,3,3,0,8,0
2020,5,4,0,0,0,0
2020,5,5,7,0,9,1
2020,5,6,3,0,21,0
2020,5,7,6,795,6,0
2020,5,8,0,129,15,1
2020,5,9,0,0,0,0
2020,5,10,0,0,0,0
2020,5,11,5,346,20,0
2020,5,12,0,39,4,0
2020,5,13,4,309,18,0
2020,5,14,1,71,8,0
2020,5,15,1,253,6,0
2020,5,16,0,0,0,0
2020,5,17,0,0,0,0
2020,5,18,0,807,8,1
2020,5,19,0,17,6,0
2020,5,20,0,119,6,0
2020,5,21,0,107,1,0
2020,5,22,0,158,5,0
2020,5,23,0,0,0,0
2020,5,24,0,0,0,0
2020,5,25,0,147,3,1
2020,5,26,0,63,6,0
2020,5,27,0,70,4,1
2020,5,28,0,73,-1,0
2020,5,29,0,87,2,1
2020,5,30,0,0,0,0
2020,5,31,0,0,0,0
2020,6,1,0,152,2,0
2020,6,2,0,50,0,0
2020,6,3,0,122,6,0
2020,6,4,0,97,0,0
2020,6,5,0,81,1,1
2020,6,6,0,0,0,0
2020,6,7,0,0,0,0
2020,6,8,1,173,0,0
2020,6,9,0,36,2,0
2020,6,10,1,149,3,0
2020,6,11,0,71,0,0
2020,6,12,0,89,1,0
2020,6,13,0,0,0,0
2020,6,14,0,0,0,0
2020,6,15,0,176,0,0
2020,6,16,0,71,1,0
2020,6,17,3,55,1,0
2020,6,18,0,74,1,0
2020,6,19,0,89,0,0
2020,6,20,0,0,0,0
2020,6,21,0,0,0,0
2020,6,22,2,147,1,0
2020,6,23,0,88,0,0
2020,6,24,0,69,0,0
2020,6,25,0,96,0,0
2020,6,26,1,78,2,0
2020,6,27,0,0,0,0
2020,6,28,0,0,0,0
2020,6,29,9,178,1,0
2020,6,30,4,72,1,0
2020,7,1,2,200,0,0
2020,7,2,2,96,0,0
2020,7,3,3,158,1,0
2020,7,4,0,0,0,0
2020,7,5,0,0,0,0
2020,7,6,15,461,1,0
2020,7,7,3,72,4,0
2020,7,8,9,181,1,0
2020,7,9,2,168,3,0
2020,7,10,5,117,6,0
2020,7,11,0,0,0,0
2020,7,12,0,0,0,0
2020,7,13,27,445,4,0
2020,7,14,9,349,16,0
2020,7,15,12,388,3,0
2020,7,16,9,334,6,0
2020,7,17,13,346,4,0
2020,7,18,0,0,0,0
2020,7,19,0,0,0,0
2020,7,20,49,744,8,0
