year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,1,94,0,0
2020,3,12,0,6,0,0
2020,3,13,0,9,0,0
2020,3,14,0,0,0,0
2020,3,15,0,0,0,0
2020,3,16,0,20,0,0
2020,3,17,0,0,0,0
2020,3,18,0,9,1,0
2020,3,19,0,6,0,0
2020,3,20,0,4,0,0
2020,3,21,0,2,0,0
2020,3,22,0,0,0,0
2020,3,23,0,11,0,0
2020,3,24,0,1,0,0
2020,3,25,0,13,0,0
2020,3,26,1,5,0,0
2020,3,27,0,7,0,0
2020,3,28,0,0,0,0
2020,3,29,0,1,0,0
2020,3,30,4,20,0,0
2020,3,31,1,0,0,0
2020,4,1,0,0,0,0
2020,4,2,5,36,0,0
2020,4,3,1,104,0,0
2020,4,4,7,0,0,0
2020,4,5,3,0,0,0
2020,4,6,3,166,0,0
2020,4,7,1,44,0,0
2020,4,8,7,0,0,0
2020,4,9,2,0,0,0
2020,4,10,1,102,0,0
2020,4,11,9,0,0,0
2020,4,12,6,0,1,0
2020,4,13,2,156,3,0
2020,4,14,10,36,0,0
2020,4,15,1,140,1,0
2020,4,16,10,117,2,0
2020,4,17,4,94,0,0
2020,4,18,4,0,0,0
2020,4,19,0,0,0,0
2020,4,20,1,166,0,0
2020,4,21,0,18,0,0
2020,4,22,0,51,6,0
2020,4,23,0,53,9,0
2020,4,24,0,77,6,0
2020,4,25,1,0,2,0
2020,4,26,0,0,0,0
2020,4,27,1,146,1,0
2020,4,28,1,30,0,0
2020,4,29,1,0,0,0
2020,4,30,0,141,0,0
2020,5,1,0,25,18,0
2020,5,2,0,0,11,0
2020,5,3,0,0,0,0
2020,5,4,0,0,0,0
2020,5,5,0,0,4,0
2020,5,6,0,0,4,0
2020,5,7,0,256,3,0
2020,5,8,0,17,3,0
2020,5,9,0,0,4,1
2020,5,10,0,0,1,0
2020,5,11,0,114,0,0
2020,5,12,0,25,0,0
2020,5,13,0,49,1,0
2020,5,14,0,57,1,0
2020,5,15,0,47,0,0
2020,5,16,0,36,2,0
2020,5,17,0,0,1,0
2020,5,18,0,64,0,0
2020,5,19,0,13,0,0
2020,5,20,0,28,1,0
2020,5,21,0,26,0,0
2020,5,22,0,42,0,0
2020,5,23,0,135,0,0
2020,5,24,0,16,0,0
2020,5,25,0,8,0,0
2020,5,26,0,7,0,0
2020,5,27,0,18,1,0
2020,5,28,0,16,0,0
2020,5,29,0,16,0,0
2020,5,30,0,23,0,0
2020,5,31,0,21,0,0
2020,6,1,0,6,0,0
2020,6,2,0,2,0,0
2020,6,3,0,27,0,0
2020,6,4,0,33,0,0
2020,6,5,0,22,0,0
2020,6,6,0,30,0,0
2020,6,7,0,22,0,0
2020,6,8,0,22,0,0
2020,6,9,0,11,0,0
2020,6,10,0,17,0,0
2020,6,11,0,32,0,0
2020,6,12,0,85,0,0
2020,6,13,0,0,0,0
2020,6,14,0,38,0,0
2020,6,15,0,23,0,0
2020,6,16,0,19,0,0
2020,6,17,0,23,0,0
2020,6,18,0,16,0,0
2020,6,19,1,26,0,0
2020,6,20,0,24,0,0
2020,6,21,0,52,0,0
2020,6,22,0,12,0,0
2020,6,23,1,23,0,0
2020,6,24,0,25,0,0
2020,6,25,1,38,0,0
2020,6,26,0,51,0,0
2020,6,27,1,29,0,0
2020,6,28,0,30,1,0
2020,6,29,2,16,0,0
2020,6,30,0,53,0,0
2020,7,1,0,75,0,0
2020,7,2,1,42,2,0
2020,7,3,0,57,0,0
2020,7,4,2,26,0,0
2020,7,5,1,44,0,0
2020,7,6,0,23,0,0
2020,7,7,0,71,0,0
2020,7,8,0,162,1,0
2020,7,9,1,35,0,0
2020,7,10,1,124,1,0
2020,7,11,0,36,0,0
2020,7,12,4,98,2,0
2020,7,13,2,65,0,0
2020,7,14,2,43,1,0
2020,7,15,2,96,5,0
2020,7,16,2,50,0,0
2020,7,17,14,116,0,0
2020,7,18,3,87,0,0
2020,7,19,3,102,0,0
2020,7,20,0,29,4,0
