year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,3,231,0,0
2020,3,12,0,14,0,0
2020,3,13,0,10,0,0
2020,3,14,1,0,0,0
2020,3,15,0,0,0,0
2020,3,16,0,25,0,0
2020,3,17,0,4,0,0
2020,3,18,0,11,0,0
2020,3,19,0,11,0,0
2020,3,20,0,0,1,0
2020,3,21,0,0,0,0
2020,3,22,0,0,0,0
2020,3,23,0,30,0,0
2020,3,24,1,3,1,0
2020,3,25,0,0,0,0
2020,3,26,0,32,0,0
2020,3,27,1,25,0,0
2020,3,28,0,1,1,0
2020,3,29,2,0,0,0
2020,3,30,0,78,0,0
2020,3,31,0,31,0,0
2020,4,1,1,0,0,0
2020,4,2,0,90,0,0
2020,4,3,1,71,0,0
2020,4,4,1,2,0,0
2020,4,5,1,1,0,0
2020,4,6,2,66,0,0
2020,4,7,0,26,0,0
2020,4,8,5,21,0,0
2020,4,9,2,58,0,0
2020,4,10,7,51,0,0
2020,4,11,0,7,0,0
2020,4,12,1,0,0,0
2020,4,13,5,169,1,0
2020,4,14,1,38,0,0
2020,4,15,1,53,0,0
2020,4,16,9,60,0,0
2020,4,17,2,52,0,0
2020,4,18,0,2,0,0
2020,4,19,5,0,0,0
2020,4,20,0,128,2,0
2020,4,21,2,16,0,0
2020,4,22,2,51,0,0
2020,4,23,3,46,2,0
2020,4,24,7,34,0,0
2020,4,25,0,4,0,0
2020,4,26,0,1,9,0
2020,4,27,0,127,0,0
2020,4,28,0,23,0,0
2020,4,29,0,0,0,0
2020,4,30,0,95,0,0
2020,5,1,0,20,0,0
2020,5,2,3,0,6,0
2020,5,3,1,0,0,0
2020,5,4,0,0,5,0
2020,5,5,2,0,0,0
2020,5,6,1,0,4,0
2020,5,7,0,209,2,0
2020,5,8,1,27,3,0
2020,5,9,0,0,0,0
2020,5,10,0,0,0,0
2020,5,11,1,145,11,0
2020,5,12,0,17,2,0
2020,5,13,1,31,1,0
2020,5,14,0,38,0,0
2020,5,15,0,39,1,0
2020,5,16,0,0,0,0
2020,5,17,0,0,0,0
2020,5,18,0,109,2,0
2020,5,19,0,17,1,0
2020,5,20,0,42,0,0
2020,5,21,0,32,4,0
2020,5,22,0,28,1,0
2020,5,23,0,0,0,0
2020,5,24,0,37,0,0
2020,5,25,0,16,4,0
2020,5,26,0,5,1,0
2020,5,27,0,20,0,0
2020,5,28,0,32,1,0
2020,5,29,0,12,1,0
2020,5,30,0,27,2,0
2020,5,31,0,13,0,0
2020,6,1,0,13,0,0
2020,6,2,0,6,2,0
2020,6,3,0,33,0,0
2020,6,4,0,35,0,0
2020,6,5,0,17,0,0
2020,6,6,0,21,0,0
2020,6,7,0,26,0,0
2020,6,8,0,24,0,0
2020,6,9,0,12,0,0
2020,6,10,0,29,1,0
2020,6,11,0,27,0,0
2020,6,12,0,26,0,0
2020,6,13,0,12,1,0
2020,6,14,0,20,0,0
2020,6,15,0,6,2,0
2020,6,16,0,5,0,0
2020,6,17,0,19,0,0
2020,6,18,0,18,0,0
2020,6,19,1,25,0,0
2020,6,20,0,17,0,0
2020,6,21,0,22,0,0
2020,6,22,0,12,0,0
2020,6,23,0,2,0,0
2020,6,24,0,25,0,0
2020,6,25,0,22,0,0
2020,6,26,0,22,1,0
2020,6,27,0,17,0,0
2020,6,28,0,28,0,0
2020,6,29,0,9,0,0
2020,6,30,0,6,0,0
2020,7,1,0,22,0,0
2020,7,2,0,20,0,0
2020,7,3,0,22,0,0
2020,7,4,0,17,0,0
2020,7,5,0,16,0,0
2020,7,6,0,13,0,0
2020,7,7,0,2,0,0
2020,7,8,0,29,0,0
2020,7,9,0,23,0,0
2020,7,10,0,20,0,0
2020,7,11,0,18,0,0
2020,7,12,1,13,0,0
2020,7,13,1,1079,0,0
2020,7,14,0,76,0,0
2020,7,15,1,238,0,0
2020,7,16,1,94,0,0
2020,7,17,2,83,0,0
2020,7,18,1,0,0,0
2020,7,19,0,0,0,0
2020,7,20,0,151,1,0
