year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,8,102,0,0
2020,3,12,0,11,0,0
2020,3,13,0,18,0,0
2020,3,14,0,0,0,0
2020,3,15,0,0,0,0
2020,3,16,0,12,0,0
2020,3,17,0,10,0,0
2020,3,18,0,10,2,0
2020,3,19,0,13,0,0
2020,3,20,0,1,0,0
2020,3,21,0,7,0,0
2020,3,22,1,3,0,0
2020,3,23,0,18,1,0
2020,3,24,0,9,0,0
2020,3,25,0,11,0,0
2020,3,26,0,6,0,0
2020,3,27,0,22,0,0
2020,3,28,2,10,5,0
2020,3,29,0,0,0,0
2020,3,30,0,29,0,0
2020,3,31,0,22,0,0
2020,4,1,4,0,0,0
2020,4,2,4,41,0,0
2020,4,3,2,4,0,0
2020,4,4,3,5,0,0
2020,4,5,1,4,0,0
2020,4,6,1,6,0,0
2020,4,7,2,78,0,0
2020,4,8,2,30,0,0
2020,4,9,4,27,0,0
2020,4,10,3,14,0,0
2020,4,11,2,16,0,0
2020,4,12,2,0,0,0
2020,4,13,3,79,0,0
2020,4,14,3,23,0,0
2020,4,15,6,35,1,1
2020,4,16,1,57,0,0
2020,4,17,2,44,3,0
2020,4,18,4,0,0,0
2020,4,19,2,0,2,0
2020,4,20,2,142,0,0
2020,4,21,9,101,0,0
2020,4,22,2,51,0,0
2020,4,23,1,69,0,0
2020,4,24,0,33,0,0
2020,4,25,0,0,0,0
2020,4,26,0,0,0,0
2020,4,27,2,156,0,0
2020,4,28,2,68,0,0
2020,4,29,2,0,0,0
2020,4,30,0,111,0,0
2020,5,1,3,97,0,0
2020,5,2,1,0,24,0
2020,5,3,1,0,0,0
2020,5,4,0,0,0,1
2020,5,5,1,0,0,0
2020,5,6,0,0,0,0
2020,5,7,1,302,14,0
2020,5,8,0,128,10,0
2020,5,9,1,0,4,0
2020,5,10,0,0,1,0
2020,5,11,0,0,0,0
2020,5,12,0,0,1,0
2020,5,13,0,348,2,0
2020,5,14,0,0,4,0
2020,5,15,0,0,2,0
2020,5,16,0,0,1,0
2020,5,17,0,0,2,0
2020,5,18,0,0,0,0
2020,5,19,0,0,2,0
2020,5,20,1,371,0,0
2020,5,21,0,0,1,0
2020,5,22,0,0,0,0
2020,5,23,0,0,0,0
2020,5,24,0,0,0,0
2020,5,25,0,0,0,0
2020,5,26,0,0,2,0
2020,5,27,1,-209,0,0
2020,5,28,0,0,1,0
2020,5,29,0,0,1,0
2020,5,30,0,0,2,0
2020,5,31,0,0,0,0
2020,6,1,0,0,0,0
2020,6,2,0,0,0,0
2020,6,3,0,353,1,0
2020,6,4,0,0,0,0
2020,6,5,0,0,0,0
2020,6,6,0,0,0,0
2020,6,7,0,0,0,0
2020,6,8,0,0,0,0
2020,6,9,0,0,0,0
2020,6,10,0,342,0,0
2020,6,11,0,0,0,0
2020,6,12,0,0,0,0
2020,6,13,0,0,1,0
2020,6,14,0,0,0,0
2020,6,15,0,0,0,0
2020,6,16,0,0,0,0
2020,6,17,0,251,0,0
2020,6,18,0,0,0,0
2020,6,19,0,0,0,0
2020,6,20,0,0,0,0
2020,6,21,0,0,0,0
2020,6,22,0,0,0,0
2020,6,23,0,0,0,0
2020,6,24,0,269,0,0
2020,6,25,0,0,0,0
2020,6,26,0,0,0,0
2020,6,27,0,0,0,0
2020,6,28,0,0,0,0
2020,6,29,0,0,0,0
2020,6,30,0,0,0,0
2020,7,1,0,183,0,0
2020,7,2,0,0,0,0
2020,7,3,0,0,0,0
2020,7,4,1,0,0,0
2020,7,5,2,0,0,0
2020,7,6,1,0,0,0
2020,7,7,2,0,0,0
2020,7,8,2,440,0,0
2020,7,9,2,0,0,0
2020,7,10,5,0,0,0
2020,7,11,7,0,0,0
2020,7,12,5,0,0,0
2020,7,13,4,0,1,0
2020,7,14,3,0,0,0
2020,7,15,5,662,1,0
2020,7,16,7,0,6,0
2020,7,17,5,0,2,0
2020,7,18,8,0,3,0
2020,7,19,3,0,0,0
2020,7,20,2,0,2,0
