year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,11,0,0,0
2020,3,12,3,0,0,0
2020,3,13,0,0,0,0
2020,3,14,0,0,0,0
2020,3,15,0,0,0,0
2020,3,16,0,0,0,0
2020,3,17,6,0,0,0
2020,3,18,1,0,1,0
2020,3,19,0,647,0,0
2020,3,20,0,0,0,0
2020,3,21,5,0,1,0
2020,3,22,0,1,1,0
2020,3,23,0,138,0,0
2020,3,24,2,26,0,0
2020,3,25,1,33,0,0
2020,3,26,0,75,0,0
2020,3,27,0,57,4,0
2020,3,28,2,0,0,0
2020,3,29,0,0,0,0
2020,3,30,0,47,0,0
2020,3,31,0,37,3,0
2020,4,1,0,0,0,0
2020,4,2,0,78,0,0
2020,4,3,1,109,1,0
2020,4,4,0,0,0,0
2020,4,5,0,0,0,0
2020,4,6,0,97,0,0
2020,4,7,2,68,4,0
2020,4,8,3,49,2,0
2020,4,9,2,0,0,0
2020,4,10,2,125,7,0
2020,4,11,0,0,0,0
2020,4,12,1,0,0,0
2020,4,13,0,83,1,0
2020,4,14,3,117,0,0
2020,4,15,1,87,0,0
2020,4,16,1,36,4,0
2020,4,17,6,114,0,0
2020,4,18,3,0,0,0
2020,4,19,0,0,0,0
2020,4,20,0,83,0,0
2020,4,21,2,110,0,0
2020,4,22,3,66,3,0
2020,4,23,1,71,0,0
2020,4,24,3,137,0,0
2020,4,25,0,0,0,0
2020,4,26,4,0,0,0
2020,4,27,0,87,0,0
2020,4,28,6,197,0,0
2020,4,29,0,0,0,0
2020,4,30,0,128,0,0
2020,5,1,2,141,0,0
2020,5,2,0,0,0,0
2020,5,3,0,0,0,0
2020,5,4,0,0,0,0
2020,5,5,1,0,0,0
2020,5,6,0,0,0,0
2020,5,7,0,194,0,0
2020,5,8,4,107,14,0
2020,5,9,0,0,0,0
2020,5,10,0,51,1,0
2020,5,11,0,6,3,0
2020,5,12,0,131,0,0
2020,5,13,0,37,1,0
2020,5,14,0,35,0,0
2020,5,15,1,105,9,0
2020,5,16,0,0,0,0
2020,5,17,0,0,0,0
2020,5,18,0,52,4,0
2020,5,19,0,81,0,0
2020,5,20,0,31,3,0
2020,5,21,0,28,1,0
2020,5,22,0,92,1,0
2020,5,23,0,0,0,0
2020,5,24,0,0,0,0
2020,5,25,0,36,5,0
2020,5,26,0,55,0,0
2020,5,27,0,19,1,0
2020,5,28,0,17,0,0
2020,5,29,0,36,2,0
2020,5,30,0,17,0,0
2020,5,31,0,6,0,0
2020,6,1,0,0,2,0
2020,6,2,0,36,2,0
2020,6,3,0,46,0,0
2020,6,4,0,29,0,0
2020,6,5,0,43,0,0
2020,6,6,0,0,0,0
2020,6,7,0,0,0,0
2020,6,8,0,58,0,0
2020,6,9,0,36,0,0
2020,6,10,0,37,0,0
2020,6,11,0,42,0,0
2020,6,12,0,46,0,0
2020,6,13,0,0,0,0
2020,6,14,0,0,0,0
2020,6,15,0,42,0,0
2020,6,16,0,32,0,0
2020,6,17,0,30,0,0
2020,6,18,0,29,0,0
2020,6,19,1,25,0,0
2020,6,20,0,0,0,0
2020,6,21,0,0,0,0
2020,6,22,0,53,0,0
2020,6,23,0,35,0,0
2020,6,24,0,16,0,0
2020,6,25,0,27,0,0
2020,6,26,0,18,0,0
2020,6,27,0,0,0,0
2020,6,28,0,0,0,0
2020,6,29,0,53,1,0
2020,6,30,0,23,0,0
2020,7,1,0,51,0,0
2020,7,2,0,33,1,0
2020,7,3,0,34,0,0
2020,7,4,0,0,0,0
2020,7,5,0,0,0,0
2020,7,6,1,44,0,0
2020,7,7,0,39,0,0
2020,7,8,1,33,0,0
2020,7,9,0,42,0,0
2020,7,10,0,41,0,0
2020,7,11,1,32,0,0
2020,7,12,0,5,0,0
2020,7,13,0,15,0,0
2020,7,14,0,60,0,0
2020,7,15,2,54,0,0
2020,7,16,0,65,0,0
2020,7,17,0,94,0,0
2020,7,18,0,0,0,0
2020,7,19,0,0,0,0
2020,7,20,1,138,1,0
