year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,1,137,0,0
2020,3,12,0,1,0,0
2020,3,13,0,10,0,0
2020,3,14,0,0,0,0
2020,3,15,0,0,0,0
2020,3,16,0,5,0,0
2020,3,17,0,2,0,0
2020,3,18,0,8,1,0
2020,3,19,2,4,0,0
2020,3,20,5,8,0,0
2020,3,21,5,0,0,0
2020,3,22,4,0,0,0
2020,3,23,0,181,0,0
2020,3,24,1,387,0,0
2020,3,25,7,428,0,0
2020,3,26,0,218,0,0
2020,3,27,0,100,0,0
2020,3,28,2,0,0,0
2020,3,29,1,0,0,0
2020,3,30,0,137,0,0
2020,3,31,1,21,0,0
2020,4,1,0,0,0,0
2020,4,2,1,63,0,0
2020,4,3,1,29,5,0
2020,4,4,0,0,0,0
2020,4,5,0,0,0,0
2020,4,6,1,104,2,0
2020,4,7,0,19,0,0
2020,4,8,9,45,0,0
2020,4,9,0,128,2,0
2020,4,10,1,35,0,0
2020,4,11,0,0,0,0
2020,4,12,0,0,0,0
2020,4,13,1,91,0,0
2020,4,14,0,11,3,0
2020,4,15,7,67,0,0
2020,4,16,0,86,4,1
2020,4,17,4,74,0,0
2020,4,18,0,27,0,0
2020,4,19,0,0,1,0
2020,4,20,1,231,1,0
2020,4,21,5,34,0,0
2020,4,22,0,61,0,0
2020,4,23,0,158,7,0
2020,4,24,0,0,0,0
2020,4,25,0,0,0,0
2020,4,26,0,0,0,0
2020,4,27,0,129,1,0
2020,4,28,0,26,0,0
2020,4,29,0,0,1,0
2020,4,30,0,92,2,0
2020,5,1,0,18,1,0
2020,5,2,0,0,0,0
2020,5,3,0,0,1,0
2020,5,4,0,0,0,0
2020,5,5,0,0,1,0
2020,5,6,0,0,0,0
2020,5,7,0,174,0,0
2020,5,8,0,33,18,0
2020,5,9,0,33,0,0
2020,5,10,0,67,1,0
2020,5,11,0,17,2,0
2020,5,12,0,41,0,0
2020,5,13,0,50,1,0
2020,5,14,0,0,0,0
2020,5,15,0,54,1,0
2020,5,16,0,24,0,0
2020,5,17,0,9,0,0
2020,5,18,0,15,0,0
2020,5,19,0,36,0,0
2020,5,20,0,33,1,0
2020,5,21,0,15,0,0
2020,5,22,0,25,0,0
2020,5,23,0,27,0,0
2020,5,24,0,8,0,0
2020,5,25,0,11,0,0
2020,5,26,0,30,0,0
2020,5,27,0,31,1,0
2020,5,28,0,19,0,0
2020,5,29,0,36,0,0
2020,5,30,0,17,0,0
2020,5,31,0,8,0,0
2020,6,1,0,15,0,0
2020,6,2,0,47,0,0
2020,6,3,0,31,0,0
2020,6,4,0,46,0,0
2020,6,5,0,42,0,0
2020,6,6,0,33,0,0
2020,6,7,0,15,0,0
2020,6,8,0,14,0,0
2020,6,9,0,47,1,0
2020,6,10,0,31,0,0
2020,6,11,0,33,0,0
2020,6,12,0,22,0,0
2020,6,13,0,36,0,0
2020,6,14,0,9,0,0
2020,6,15,0,12,0,0
2020,6,16,0,41,0,0
2020,6,17,0,38,0,0
2020,6,18,0,31,0,0
2020,6,19,0,25,0,0
2020,6,20,0,27,0,0
2020,6,21,0,9,0,0
2020,6,22,0,22,0,0
2020,6,23,0,49,0,0
2020,6,24,0,28,0,0
2020,6,25,0,57,0,0
2020,6,26,0,24,0,0
2020,6,27,0,31,0,0
2020,6,28,0,4,0,0
2020,6,29,0,27,0,0
2020,6,30,0,49,0,0
2020,7,1,0,47,0,0
2020,7,2,0,47,0,0
2020,7,3,0,41,0,0
2020,7,4,0,21,0,0
2020,7,5,0,2,0,0
2020,7,6,0,39,0,0
2020,7,7,0,51,0,0
2020,7,8,0,88,0,0
2020,7,9,0,61,0,0
2020,7,10,0,33,0,0
2020,7,11,0,12,0,0
2020,7,12,0,6,0,0
2020,7,13,0,59,0,0
2020,7,14,0,67,0,0
2020,7,15,0,65,0,0
2020,7,16,0,67,0,0
2020,7,17,0,55,0,0
2020,7,18,0,31,0,0
2020,7,19,0,14,0,0
2020,7,20,0,40,0,0
