year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,3,190,0,0
2020,3,12,0,6,0,0
2020,3,13,0,2,0,0
2020,3,14,0,0,0,0
2020,3,15,0,0,0,0
2020,3,16,0,12,0,0
2020,3,17,0,7,0,0
2020,3,18,0,13,2,0
2020,3,19,0,8,0,0
2020,3,20,0,0,0,0
2020,3,21,0,0,0,0
2020,3,22,0,0,0,0
2020,3,23,0,25,0,0
2020,3,24,1,8,0,0
2020,3,25,0,0,0,0
2020,3,26,0,14,0,0
2020,3,27,2,18,0,0
2020,3,28,0,0,0,0
2020,3,29,2,0,0,0
2020,3,30,1,29,0,0
2020,3,31,0,24,0,0
2020,4,1,0,0,0,0
2020,4,2,0,43,0,0
2020,4,3,0,31,0,0
2020,4,4,0,0,0,0
2020,4,5,0,0,0,0
2020,4,6,6,50,0,0
2020,4,7,12,41,0,0
2020,4,8,5,67,1,0
2020,4,9,10,31,0,0
2020,4,10,7,61,0,0
2020,4,11,0,0,0,0
2020,4,12,17,0,0,0
2020,4,13,6,136,0,0
2020,4,14,4,40,0,0
2020,4,15,10,75,0,0
2020,4,16,0,94,3,1
2020,4,17,15,5,0,0
2020,4,18,0,0,0,0
2020,4,19,9,183,0,0
2020,4,20,11,79,5,2
2020,4,21,4,128,0,0
2020,4,22,5,163,0,0
2020,4,23,2,6,0,0
2020,4,24,1,126,0,1
2020,4,25,0,0,0,0
2020,4,26,0,0,0,0
2020,4,27,4,181,12,0
2020,4,28,4,22,1,0
2020,4,29,0,0,0,0
2020,4,30,1,195,0,0
2020,5,1,0,42,0,0
2020,5,2,0,56,0,0
2020,5,3,0,0,0,0
2020,5,4,0,0,0,0
2020,5,5,0,0,0,0
2020,5,6,0,101,0,0
2020,5,7,0,54,0,0
2020,5,8,0,37,58,1
2020,5,9,0,0,0,0
2020,5,10,0,80,10,0
2020,5,11,0,28,4,0
2020,5,12,0,24,10,1
2020,5,13,0,73,5,0
2020,5,14,0,35,4,0
2020,5,15,0,0,0,0
2020,5,16,0,50,9,0
2020,5,17,0,31,-1,0
2020,5,18,0,11,2,0
2020,5,19,0,17,2,0
2020,5,20,0,21,3,0
2020,5,21,0,22,1,0
2020,5,22,0,11,1,0
2020,5,23,0,0,0,0
2020,5,24,0,15,1,0
2020,5,25,0,5,1,0
2020,5,26,0,3,1,0
2020,5,27,0,7,0,0
2020,5,28,0,7,1,0
2020,5,29,0,4,0,0
2020,5,30,0,5,1,0
2020,5,31,0,11,0,0
2020,6,1,0,7,0,0
2020,6,2,0,2,0,0
2020,6,3,0,8,0,1
2020,6,4,0,15,0,0
2020,6,5,0,13,0,0
2020,6,6,0,0,0,0
2020,6,7,0,0,0,0
2020,6,8,0,0,0,0
2020,6,9,0,17,2,0
2020,6,10,0,5,0,0
2020,6,11,0,5,0,0
2020,6,12,0,5,0,0
2020,6,13,0,9,0,0
2020,6,14,0,8,0,0
2020,6,15,0,5,0,0
2020,6,16,0,4,0,0
2020,6,17,0,10,0,0
2020,6,18,0,7,0,0
2020,6,19,0,3,0,0
2020,6,20,0,0,0,0
2020,6,21,0,0,0,0
2020,6,22,0,14,0,0
2020,6,23,0,0,0,0
2020,6,24,0,3,0,0
2020,6,25,0,1,0,0
2020,6,26,0,8,0,0
2020,6,27,0,0,0,0
2020,6,28,0,3,0,0
2020,6,29,0,1,0,0
2020,6,30,0,3,0,0
2020,7,1,0,4,0,0
2020,7,2,0,5,0,0
2020,7,3,0,9,0,0
2020,7,4,0,0,0,0
2020,7,5,0,0,0,0
2020,7,6,0,10,0,0
2020,7,7,0,0,0,0
2020,7,8,2,15,0,0
2020,7,9,1,0,0,0
2020,7,10,0,35,0,0
2020,7,11,3,0,0,0
2020,7,12,0,0,0,0
2020,7,13,0,80,0,0
2020,7,14,0,149,2,0
2020,7,15,0,55,0,0
2020,7,16,1,33,0,0
2020,7,17,0,43,0,0
2020,7,18,0,0,1,0
2020,7,19,2,0,0,0
2020,7,20,2,198,0,0
