year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,80,0,0,0
2020,3,12,9,0,0,0
2020,3,13,3,0,0,0
2020,3,14,10,0,0,0
2020,3,15,4,0,0,0
2020,3,16,2,0,0,0
2020,3,17,4,0,0,0
2020,3,18,5,0,22,0
2020,3,19,2,0,0,1
2020,3,20,4,0,0,0
2020,3,21,2,0,4,0
2020,3,22,6,0,0,1
2020,3,23,3,0,1,0
2020,3,24,8,169,0,0
2020,3,25,7,81,10,0
2020,3,26,7,112,4,0
2020,3,27,20,139,0,0
2020,3,28,15,31,7,0
2020,3,29,17,21,0,0
2020,3,30,8,77,0,0
2020,3,31,28,0,22,0
2020,4,1,34,0,0,0
2020,4,2,33,519,1,0
2020,4,3,35,102,2,0
2020,4,4,41,41,7,0
2020,4,5,21,19,2,1
2020,4,6,20,440,1,0
2020,4,7,53,41,0,0
2020,4,8,43,0,33,3
2020,4,9,92,0,2,0
2020,4,10,80,341,3,0
2020,4,11,70,229,0,0
2020,4,12,45,0,6,0
2020,4,13,24,711,20,0
2020,4,14,59,67,5,1
2020,4,15,74,364,3,1
2020,4,16,52,399,20,0
2020,4,17,55,470,7,1
2020,4,18,88,10,38,1
2020,4,19,48,152,13,2
2020,4,20,84,403,0,1
2020,4,21,54,430,0,0
2020,4,22,31,430,13,4
2020,4,23,35,548,0,2
2020,4,24,31,549,0,6
2020,4,25,29,5,0,2
2020,4,26,16,37,6,0
2020,4,27,30,443,8,5
2020,4,28,32,419,14,4
2020,4,29,44,387,7,1
2020,4,30,28,779,270,4
2020,5,1,14,3527,4,3
2020,5,2,17,0,2,1
2020,5,3,10,0,18,4
2020,5,4,13,0,1,3
2020,5,5,7,0,0,0
2020,5,6,12,0,53,4
2020,5,7,8,2447,45,3
2020,5,8,10,2369,304,0
2020,5,9,16,0,12,0
2020,5,10,11,0,41,0
2020,5,11,1,0,37,2
2020,5,12,6,0,33,0
2020,5,13,12,577,75,1
2020,5,14,3,531,52,1
2020,5,15,3,516,28,3
2020,5,16,2,0,9,4
2020,5,17,-2,6706,16,0
2020,5,18,3,345,13,0
2020,5,19,3,0,0,0
2020,5,20,3,502,29,1
2020,5,21,3,1067,76,5
2020,5,22,1,0,0,0
2020,5,23,0,1013,50,2
2020,5,24,0,0,0,0
2020,5,25,0,441,31,0
2020,5,26,0,301,22,2
2020,5,27,1,432,23,0
2020,5,28,0,423,14,2
2020,5,29,0,0,0,0
2020,5,30,0,789,13,1
2020,5,31,1,205,13,0
2020,6,1,0,120,29,0
2020,6,2,0,370,8,1
2020,6,3,0,0,0,0
2020,6,4,0,417,8,0
2020,6,5,0,398,7,0
2020,6,6,1,812,11,0
2020,6,7,1,0,0,0
2020,6,8,-1,0,0,0
2020,6,9,1,366,7,0
2020,6,10,0,398,11,0
2020,6,11,1,386,9,1
2020,6,12,0,385,8,0
2020,6,13,0,368,5,0
2020,6,14,1,0,0,0
2020,6,15,-1,0,0,0
2020,6,16,4,631,7,1
2020,6,17,4,317,2,0
2020,6,18,4,396,3,0
2020,6,19,2,418,1,0
2020,6,20,6,612,0,0
2020,6,21,3,0,0,0
2020,6,22,-3,0,0,0
2020,6,23,3,375,3,0
2020,6,24,2,334,3,0
2020,6,25,1,440,6,0
2020,6,26,2,404,3,0
2020,6,27,2,453,3,0
2020,6,28,5,414,6,0
2020,6,29,7,0,0,0
2020,6,30,5,0,0,0
2020,7,1,10,1281,7,0
2020,7,2,8,475,2,0
2020,7,3,11,0,0,0
2020,7,4,17,0,0,0
2020,7,5,6,1313,9,0
2020,7,6,8,280,7,0
2020,7,7,12,653,12,0
2020,7,8,10,0,0,0
2020,7,9,30,752,8,0
2020,7,10,22,745,13,0
2020,7,11,28,643,14,0
2020,7,12,32,0,0,0
2020,7,13,18,0,29,0
2020,7,14,20,1496,0,0
2020,7,15,61,868,20,0
2020,7,16,0,1059,4,0
2020,7,17,119,2462,43,0
2020,7,18,0,0,0,0
2020,7,19,0,0,0,0
2020,7,20,224,2932,58,0
