year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,12,264,0,0
2020,3,12,6,176,0,0
2020,3,13,3,0,0,0
2020,3,14,7,0,0,0
2020,3,15,0,0,0,0
2020,3,16,0,144,0,0
2020,3,17,5,30,0,0
2020,3,18,1,32,4,0
2020,3,19,4,38,0,0
2020,3,20,3,0,2,0
2020,3,21,3,0,1,0
2020,3,22,6,0,3,1
2020,3,23,1,191,1,0
2020,3,24,7,23,0,0
2020,3,25,1,3,1,0
2020,3,26,7,132,1,0
2020,3,27,6,71,0,1
2020,3,28,6,0,2,1
2020,3,29,5,1,0,0
2020,3,30,1,144,0,0
2020,3,31,14,44,0,0
2020,4,1,3,0,5,1
2020,4,2,12,183,1,0
2020,4,3,18,71,2,0
2020,4,4,22,0,0,0
2020,4,5,21,3,0,0
2020,4,6,21,97,0,0
2020,4,7,14,129,0,0
2020,4,8,33,63,0,0
2020,4,9,29,95,2,1
2020,4,10,54,39,0,0
2020,4,11,20,243,0,0
2020,4,12,41,0,1,0
2020,4,13,28,199,0,0
2020,4,14,19,641,1,2
2020,4,15,46,579,1,0
2020,4,16,56,201,4,2
2020,4,17,40,0,0,0
2020,4,18,35,0,0,0
2020,4,19,32,782,0,0
2020,4,20,20,114,0,0
2020,4,21,19,387,0,0
2020,4,22,33,313,2,1
2020,4,23,39,198,0,4
2020,4,24,14,259,0,1
2020,4,25,19,221,0,0
2020,4,26,20,146,2,0
2020,4,27,17,112,6,0
2020,4,28,5,639,0,0
2020,4,29,15,0,7,0
2020,4,30,8,811,0,2
2020,5,1,6,232,3,0
2020,5,2,21,728,0,0
2020,5,3,10,161,2,8
2020,5,4,0,0,0,1
2020,5,5,13,304,6,1
2020,5,6,8,81,2,0
2020,5,7,13,132,11,1
2020,5,8,24,1938,441,13
2020,5,9,16,267,11,0
2020,5,10,5,256,23,1
2020,5,11,2,967,68,0
2020,5,12,1,443,26,1
2020,5,13,3,939,32,1
2020,5,14,4,642,17,1
2020,5,15,2,440,39,0
2020,5,16,5,82,12,1
2020,5,17,4,77,8,0
2020,5,18,3,770,13,0
2020,5,19,0,613,39,0
2020,5,20,5,445,10,0
2020,5,21,1,424,19,0
2020,5,22,1,342,11,0
2020,5,23,1,59,6,0
2020,5,24,0,37,4,0
2020,5,25,0,489,13,1
2020,5,26,1,406,5,0
2020,5,27,0,197,5,0
2020,5,28,2,867,7,0
2020,5,29,2,467,6,1
2020,5,30,-1,63,2,0
2020,5,31,0,49,-2,0
2020,6,1,0,198,8,0
2020,6,2,0,877,9,0
2020,6,3,2,418,4,1
2020,6,4,0,406,3,1
2020,6,5,1,550,6,1
2020,6,6,1,28,2,0
2020,6,7,0,79,0,0
2020,6,8,0,586,0,0
2020,6,9,1,695,8,0
2020,6,10,6,560,1,0
2020,6,11,3,530,7,0
2020,6,12,2,917,5,0
2020,6,13,0,35,2,0
2020,6,14,2,56,0,0
2020,6,15,0,545,4,1
2020,6,16,1,844,3,0
2020,6,17,1,285,1,0
2020,6,18,2,706,0,0
2020,6,19,2,836,-10,13
2020,6,20,4,42,0,0
2020,6,21,7,30,0,0
2020,6,22,4,874,0,0
2020,6,23,12,489,1,0
2020,6,24,9,794,4,0
2020,6,25,11,336,1,0
2020,6,26,16,614,3,0
2020,6,27,11,76,0,0
2020,6,28,8,97,1,0
2020,6,29,13,747,3,0
2020,6,30,10,597,4,0
2020,7,1,14,934,2,0
2020,7,2,19,493,9,0
2020,7,3,26,1431,7,0
2020,7,4,27,95,2,0
2020,7,5,21,124,6,0
2020,7,6,16,843,23,1
2020,7,7,27,1806,9,1
2020,7,8,48,1004,16,0
2020,7,9,22,793,9,0
2020,7,10,44,618,19,0
2020,7,11,35,265,23,0
2020,7,12,31,169,4,0
2020,7,13,26,766,16,0
2020,7,14,42,2814,26,0
2020,7,15,38,875,15,0
2020,7,16,49,948,17,0
2020,7,17,51,1920,31,0
2020,7,18,0,0,0,0
2020,7,19,86,262,55,0
2020,7,20,29,1251,45,2
