year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,1,88,0,0
2020,3,12,0,3,0,0
2020,3,13,0,8,0,0
2020,3,14,0,0,0,0
2020,3,15,1,0,0,0
2020,3,16,1,8,0,0
2020,3,17,1,17,0,0
2020,3,18,0,16,0,0
2020,3,19,0,4,0,0
2020,3,20,0,0,0,0
2020,3,21,0,0,0,0
2020,3,22,0,0,0,0
2020,3,23,1,24,1,0
2020,3,24,0,5,0,0
2020,3,25,0,3,0,0
2020,3,26,1,0,0,0
2020,3,27,0,20,0,0
2020,3,28,0,1,0,0
2020,3,29,0,0,0,0
2020,3,30,0,20,0,0
2020,3,31,1,15,1,0
2020,4,1,1,0,1,0
2020,4,2,0,27,0,0
2020,4,3,6,34,0,0
2020,4,4,3,0,0,0
2020,4,5,1,0,0,0
2020,4,6,0,41,0,0
2020,4,7,0,45,0,0
2020,4,8,6,30,0,0
2020,4,9,2,44,0,0
2020,4,10,8,34,0,0
2020,4,11,4,0,0,0
2020,4,12,0,0,0,0
2020,4,13,2,65,2,0
2020,4,14,11,47,0,0
2020,4,15,1,37,0,0
2020,4,16,5,79,3,1
2020,4,17,11,45,2,0
2020,4,18,2,0,0,0
2020,4,19,1,0,0,0
2020,4,20,1,16,3,0
2020,4,21,4,161,0,0
2020,4,22,12,34,0,0
2020,4,23,4,96,0,0
2020,4,24,1,74,0,0
2020,4,25,1,0,9,0
2020,4,26,0,0,0,0
2020,4,27,0,68,0,0
2020,4,28,0,37,0,0
2020,4,29,2,0,13,0
2020,4,30,0,43,0,0
2020,5,1,0,25,0,0
2020,5,2,0,0,0,0
2020,5,3,0,0,0,0
2020,5,4,0,0,0,0
2020,5,5,2,0,1,0
2020,5,6,0,0,0,0
2020,5,7,0,64,16,0
2020,5,8,-1,41,8,0
2020,5,9,0,25,5,0
2020,5,10,0,12,1,0
2020,5,11,0,6,1,0
2020,5,12,0,28,5,0
2020,5,13,0,0,4,0
2020,5,14,0,39,1,0
2020,5,15,1,27,0,0
2020,5,16,1,26,1,0
2020,5,17,0,14,0,0
2020,5,18,0,3,1,0
2020,5,19,0,24,2,0
2020,5,20,0,26,-1,0
2020,5,21,0,19,3,0
2020,5,22,0,18,0,0
2020,5,23,1,28,0,0
2020,5,24,0,4,4,0
2020,5,25,0,3,2,0
2020,5,26,0,22,0,0
2020,5,27,0,33,0,0
2020,5,28,0,28,0,0
2020,5,29,0,18,2,0
2020,5,30,0,30,0,0
2020,5,31,0,4,0,0
2020,6,1,0,3,0,0
2020,6,2,0,15,0,0
2020,6,3,0,22,1,0
2020,6,4,0,15,2,0
2020,6,5,0,20,0,0
2020,6,6,0,26,3,0
2020,6,7,0,10,0,0
2020,6,8,0,3,0,0
2020,6,9,0,8,0,0
2020,6,10,0,25,0,0
2020,6,11,0,21,0,0
2020,6,12,0,15,0,0
2020,6,13,0,38,1,0
2020,6,14,0,12,0,0
2020,6,15,0,2,0,0
2020,6,16,0,8,0,0
2020,6,17,0,34,0,0
2020,6,18,1,15,0,0
2020,6,19,0,24,0,0
2020,6,20,0,40,0,0
2020,6,21,0,2,0,0
2020,6,22,0,25,0,0
2020,6,23,0,5,0,0
2020,6,24,0,26,0,0
2020,6,25,0,15,0,0
2020,6,26,0,25,1,0
2020,6,27,0,30,0,0
2020,6,28,0,4,0,0
2020,6,29,0,1,0,0
2020,6,30,0,8,0,0
2020,7,1,2,26,0,0
2020,7,2,0,30,0,0
2020,7,3,0,62,0,0
2020,7,4,0,53,0,0
2020,7,5,0,3,0,0
2020,7,6,0,0,0,0
2020,7,7,0,39,0,0
2020,7,8,1,27,0,0
2020,7,9,0,33,0,0
2020,7,10,0,51,0,0
2020,7,11,0,58,1,0
2020,7,12,2,2,0,0
2020,7,13,0,5,0,0
2020,7,14,0,105,0,0
2020,7,15,1,179,1,0
2020,7,16,1,105,0,0
2020,7,17,1,46,2,0
2020,7,18,0,108,0,0
2020,7,19,1,11,0,0
2020,7,20,1,14,0,0
