year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,0,64,0,0
2020,3,12,0,12,0,0
2020,3,13,0,4,0,0
2020,3,14,0,0,0,0
2020,3,15,0,0,0,0
2020,3,16,0,2,0,0
2020,3,17,0,2,0,0
2020,3,18,0,2,0,0
2020,3,19,0,5,0,0
2020,3,20,0,0,0,0
2020,3,21,0,1,0,0
2020,3,22,0,3,0,0
2020,3,23,0,6,0,0
2020,3,24,0,4,0,0
2020,3,25,0,1,0,0
2020,3,26,0,3,0,0
2020,3,27,0,8,0,0
2020,3,28,0,4,0,0
2020,3,29,0,7,0,0
2020,3,30,0,2,0,0
2020,3,31,0,6,0,0
2020,4,1,0,0,0,0
2020,4,2,0,16,0,0
2020,4,3,0,6,0,0
2020,4,4,0,3,0,0
2020,4,5,0,2,0,0
2020,4,6,0,3,0,0
2020,4,7,0,4,0,0
2020,4,8,0,15,0,0
2020,4,9,1,6,0,0
2020,4,10,1,14,0,0
2020,4,11,4,0,0,0
2020,4,12,1,0,0,0
2020,4,13,1,161,0,0
2020,4,14,2,76,0,0
2020,4,15,3,75,0,0
2020,4,16,1,41,0,0
2020,4,17,1,48,0,0
2020,4,18,0,43,0,0
2020,4,19,1,31,0,0
2020,4,20,0,1,0,0
2020,4,21,0,16,0,0
2020,4,22,0,22,0,0
2020,4,23,0,14,2,0
2020,4,24,0,17,0,0
2020,4,25,0,0,0,0
2020,4,26,6,7,0,0
2020,4,27,0,33,0,0
2020,4,28,1,7,0,0
2020,4,29,0,9,1,0
2020,4,30,0,14,4,0
2020,5,1,0,10,0,0
2020,5,2,0,0,0,0
2020,5,3,1,0,0,0
2020,5,4,0,0,0,0
2020,5,5,0,0,2,0
2020,5,6,0,0,0,0
2020,5,7,0,58,1,0
2020,5,8,0,0,0,0
2020,5,9,0,8,1,0
2020,5,10,0,8,0,0
2020,5,11,0,7,1,0
2020,5,12,0,15,0,0
2020,5,13,0,18,2,0
2020,5,14,0,13,1,0
2020,5,15,0,10,1,0
2020,5,16,0,12,0,0
2020,5,17,0,14,0,0
2020,5,18,0,10,0,0
2020,5,19,0,41,0,0
2020,5,20,0,8,0,0
2020,5,21,0,17,3,0
2020,5,22,0,9,1,0
2020,5,23,0,4,0,0
2020,5,24,0,1,0,0
2020,5,25,0,1,0,0
2020,5,26,0,4,0,0
2020,5,27,0,10,0,0
2020,5,28,0,1,2,0
2020,5,29,0,8,0,0
2020,5,30,0,14,0,0
2020,5,31,0,4,0,0
2020,6,1,0,3,0,0
2020,6,2,0,4,0,0
2020,6,3,0,6,1,0
2020,6,4,0,4,0,0
2020,6,5,0,11,0,0
2020,6,6,0,6,0,0
2020,6,7,0,7,0,0
2020,6,8,0,1,0,0
2020,6,9,0,2,0,0
2020,6,10,0,7,0,0
2020,6,11,0,6,0,0
2020,6,12,0,8,0,0
2020,6,13,0,9,0,0
2020,6,14,0,1,0,0
2020,6,15,0,2,0,0
2020,6,16,0,0,0,0
2020,6,17,0,4,0,0
2020,6,18,0,2,0,0
2020,6,19,0,0,0,0
2020,6,20,0,2,0,0
2020,6,21,0,1,0,0
2020,6,22,0,1,0,0
2020,6,23,0,7,0,0
2020,6,24,0,6,0,0
2020,6,25,0,3,0,0
2020,6,26,0,4,0,0
2020,6,27,0,6,0,0
2020,6,28,0,1,0,0
2020,6,29,0,1,0,0
2020,6,30,0,5,1,0
2020,7,1,0,2,0,0
2020,7,2,0,2,0,0
2020,7,3,0,5,0,0
2020,7,4,0,2,0,0
2020,7,5,0,1,0,0
2020,7,6,0,3,0,0
2020,7,7,0,3,0,0
2020,7,8,0,4,0,0
2020,7,9,0,11,0,0
2020,7,10,0,3,0,0
2020,7,11,0,3,0,0
2020,7,12,0,1,0,0
2020,7,13,0,1,0,0
2020,7,14,0,5,0,0
2020,7,15,1,8,1,0
2020,7,16,0,106,-1,0
2020,7,17,0,131,0,0
2020,7,18,0,312,0,0
2020,7,19,0,144,0,0
2020,7,20,0,5,0,0
