year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,2,0,0,0
2020,3,12,1,0,0,0
2020,3,13,0,0,0,0
2020,3,14,0,0,0,0
2020,3,15,0,0,0,0
2020,3,16,0,0,0,0
2020,3,17,0,0,0,0
2020,3,18,0,0,1,0
2020,3,19,0,0,0,0
2020,3,20,0,0,0,0
2020,3,21,0,0,0,0
2020,3,22,0,0,0,0
2020,3,23,0,581,0,0
2020,3,24,0,3,0,0
2020,3,25,0,27,1,0
2020,3,26,0,34,0,0
2020,3,27,0,3,0,0
2020,3,28,1,12,0,0
2020,3,29,0,5,0,0
2020,3,30,0,36,0,0
2020,3,31,2,44,1,0
2020,4,1,0,0,0,0
2020,4,2,0,212,0,0
2020,4,3,2,49,0,0
2020,4,4,2,0,0,0
2020,4,5,0,0,0,0
2020,4,6,0,197,0,0
2020,4,7,0,18,0,0
2020,4,8,5,74,0,0
2020,4,9,1,94,0,0
2020,4,10,18,37,0,0
2020,4,11,5,0,0,0
2020,4,12,2,0,0,0
2020,4,13,5,180,0,0
2020,4,14,0,41,0,0
2020,4,15,1,143,0,0
2020,4,16,1,77,2,0
2020,4,17,2,144,0,0
2020,4,18,0,0,3,0
2020,4,19,2,29,0,0
2020,4,20,0,49,0,0
2020,4,21,1,132,0,0
2020,4,22,4,71,5,0
2020,4,23,1,14,0,0
2020,4,24,1,60,0,0
2020,4,25,3,0,0,0
2020,4,26,1,0,0,0
2020,4,27,1,181,0,0
2020,4,28,3,88,11,0
2020,4,29,1,0,0,0
2020,4,30,4,101,0,1
2020,5,1,1,44,0,0
2020,5,2,0,0,0,0
2020,5,3,0,0,0,0
2020,5,4,0,0,0,0
2020,5,5,0,0,0,0
2020,5,6,0,0,18,0
2020,5,7,0,12,0,0
2020,5,8,0,244,4,0
2020,5,9,0,39,0,0
2020,5,10,0,27,0,0
2020,5,11,0,14,11,0
2020,5,12,0,49,0,0
2020,5,13,0,41,3,0
2020,5,14,0,31,1,0
2020,5,15,0,24,5,0
2020,5,16,0,21,0,0
2020,5,17,0,8,0,0
2020,5,18,0,5,4,0
2020,5,19,0,20,0,0
2020,5,20,0,17,0,0
2020,5,21,1,23,0,0
2020,5,22,0,14,0,0
2020,5,23,0,15,0,0
2020,5,24,1,39,0,0
2020,5,25,0,0,0,0
2020,5,26,0,31,1,0
2020,5,27,0,14,0,0
2020,5,28,1,23,0,0
2020,5,29,0,14,1,0
2020,5,30,0,12,0,0
2020,5,31,0,4,0,0
2020,6,1,0,5,1,0
2020,6,2,0,13,0,0
2020,6,3,0,15,0,0
2020,6,4,0,12,0,0
2020,6,5,-1,27,-1,0
2020,6,6,0,10,0,0
2020,6,7,0,9,0,0
2020,6,8,0,7,1,0
2020,6,9,0,18,0,0
2020,6,10,1,7,0,0
2020,6,11,1,9,0,0
2020,6,12,0,0,0,0
2020,6,13,0,13,0,0
2020,6,14,0,5,0,0
2020,6,15,0,9,0,0
2020,6,16,1,18,0,0
2020,6,17,1,13,1,0
2020,6,18,0,13,0,0
2020,6,19,1,20,0,0
2020,6,20,0,5,0,0
2020,6,21,0,3179,0,0
2020,6,22,0,123,1,0
2020,6,23,0,57,0,0
2020,6,24,0,0,0,0
2020,6,25,0,0,0,0
2020,6,26,0,216,0,0
2020,6,27,0,0,0,0
2020,6,28,0,0,0,0
2020,6,29,1,124,2,0
2020,6,30,0,103,0,0
2020,7,1,0,124,2,0
2020,7,2,0,91,0,0
2020,7,3,5,63,0,0
2020,7,4,0,0,0,0
2020,7,5,0,0,0,0
2020,7,6,0,211,2,0
2020,7,7,0,0,0,0
2020,7,8,2,148,0,0
2020,7,9,3,270,1,0
2020,7,10,1,144,0,0
2020,7,11,0,0,0,0
2020,7,12,2,0,0,0
2020,7,13,0,331,0,0
2020,7,14,2,130,0,0
2020,7,15,1,180,1,0
2020,7,16,2,130,0,0
2020,7,17,3,235,1,0
2020,7,18,2,0,0,0
2020,7,19,0,0,0,0
2020,7,20,5,0,4,0
