year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,2,170,0,0
2020,3,12,0,23,0,0
2020,3,13,0,8,0,0
2020,3,14,0,0,0,0
2020,3,15,0,0,0,0
2020,3,16,0,20,0,0
2020,3,17,0,6,0,0
2020,3,18,1,15,1,0
2020,3,19,0,21,0,0
2020,3,20,0,0,0,0
2020,3,21,1,0,0,0
2020,3,22,0,0,1,0
2020,3,23,0,34,0,0
2020,3,24,2,2,0,0
2020,3,25,1,21,0,0
2020,3,26,3,23,0,0
2020,3,27,1,34,0,0
2020,3,28,0,0,0,0
2020,3,29,1,0,0,0
2020,3,30,0,62,0,0
2020,3,31,2,17,0,0
2020,4,1,0,0,0,0
2020,4,2,0,115,0,0
2020,4,3,0,86,1,0
2020,4,4,0,0,0,0
2020,4,5,0,0,0,0
2020,4,6,0,102,0,0
2020,4,7,1,25,0,0
2020,4,8,6,47,2,0
2020,4,9,10,40,0,0
2020,4,10,0,132,0,0
2020,4,11,1,0,0,0
2020,4,12,3,0,0,0
2020,4,13,1,79,2,0
2020,4,14,2,39,0,0
2020,4,15,1,46,0,0
2020,4,16,3,66,1,0
2020,4,17,2,95,0,0
2020,4,18,0,2,0,0
2020,4,19,2,0,0,0
2020,4,20,3,151,0,0
2020,4,21,2,56,0,0
2020,4,22,1,23,0,0
2020,4,23,0,57,0,0
2020,4,24,0,56,5,0
2020,4,25,0,0,0,0
2020,4,26,0,0,0,0
2020,4,27,2,153,0,0
2020,4,28,0,31,0,0
2020,4,29,0,0,0,0
2020,4,30,0,153,3,0
2020,5,1,0,5,0,0
2020,5,2,0,0,0,0
2020,5,3,0,0,0,0
2020,5,4,0,0,6,0
2020,5,5,0,0,3,0
2020,5,6,0,0,0,0
2020,5,7,0,272,0,0
2020,5,8,0,0,0,0
2020,5,9,0,0,0,0
2020,5,10,2,210,7,0
2020,5,11,0,38,0,0
2020,5,12,0,0,0,0
2020,5,13,1,107,6,0
2020,5,14,0,0,1,0
2020,5,15,1,153,1,0
2020,5,16,2,49,0,0
2020,5,17,0,44,0,0
2020,5,18,0,27,0,0
2020,5,19,1,37,4,0
2020,5,20,1,72,2,0
2020,5,21,2,63,0,0
2020,5,22,0,249,0,0
2020,5,23,0,78,1,0
2020,5,24,0,19,0,0
2020,5,25,1,32,0,0
2020,5,26,0,84,0,0
2020,5,27,0,68,1,0
2020,5,28,0,57,0,0
2020,5,29,0,110,1,0
2020,5,30,0,59,0,0
2020,5,31,0,28,0,0
2020,6,1,0,38,4,0
2020,6,2,1,64,0,0
2020,6,3,0,132,0,0
2020,6,4,0,333,4,0
2020,6,5,0,129,1,0
2020,6,6,0,133,2,0
2020,6,7,0,140,0,0
2020,6,8,0,46,1,0
2020,6,9,0,148,1,0
2020,6,10,0,107,0,0
2020,6,11,0,123,1,0
2020,6,12,0,111,1,0
2020,6,13,0,88,1,0
2020,6,14,0,38,0,0
2020,6,15,0,19,0,0
2020,6,16,0,3,0,0
2020,6,17,0,309,0,0
2020,6,18,0,57,0,0
2020,6,19,0,118,0,0
2020,6,20,0,88,0,0
2020,6,21,0,136,0,0
2020,6,22,0,10,0,0
2020,6,23,0,14,0,0
2020,6,24,0,152,0,0
2020,6,25,0,167,0,0
2020,6,26,0,125,0,0
2020,6,27,3,0,0,0
2020,6,28,0,255,0,0
2020,6,29,7,64,0,0
2020,6,30,0,95,0,0
2020,7,1,3,175,1,0
2020,7,2,3,168,0,0
2020,7,3,2,251,0,0
2020,7,4,2,122,0,0
2020,7,5,1,119,0,0
2020,7,6,0,117,1,0
2020,7,7,0,136,0,0
2020,7,8,1,263,5,0
2020,7,9,2,188,2,0
2020,7,10,0,214,8,0
2020,7,11,3,243,0,0
2020,7,12,0,120,0,0
2020,7,13,2,72,0,0
2020,7,14,3,344,1,0
2020,7,15,5,0,3,0
2020,7,16,4,461,1,0
2020,7,17,5,220,0,0
2020,7,18,6,226,3,0
2020,7,19,6,299,0,0
2020,7,20,9,85,0,0
