year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,73,1440,0,0
2020,3,12,2,84,0,0
2020,3,13,2,58,0,0
2020,3,14,10,71,0,0
2020,3,15,3,0,0,0
2020,3,16,0,19,0,0
2020,3,17,12,71,0,0
2020,3,18,9,105,30,2
2020,3,19,7,49,1,0
2020,3,20,11,15,0,1
2020,3,21,7,44,0,1
2020,3,22,3,1,0,0
2020,3,23,16,56,0,0
2020,3,24,18,74,0,1
2020,3,25,41,95,0,0
2020,3,26,46,87,0,0
2020,3,27,40,143,9,1
2020,3,28,64,244,0,1
2020,3,29,72,331,0,1
2020,3,30,12,41,0,1
2020,3,31,78,145,0,6
2020,4,1,67,164,0,1
2020,4,2,98,469,0,0
2020,4,3,92,551,11,2
2020,4,4,118,65,0,5
2020,4,5,141,62,1,7
2020,4,6,85,356,0,0
2020,4,7,87,271,0,1
2020,4,8,156,366,0,4
2020,4,9,183,344,0,1
2020,4,10,199,362,0,4
2020,4,11,198,503,0,0
2020,4,12,174,57,0,2
2020,4,13,102,250,0,0
2020,4,14,159,91,0,5
2020,4,15,127,160,0,6
2020,4,16,151,510,0,3
2020,4,17,206,329,0,7
2020,4,18,186,359,0,5
2020,4,19,109,304,245,3
2020,4,20,101,296,303,6
2020,4,21,123,167,0,0
2020,4,22,123,261,297,4
2020,4,23,134,492,40,6
2020,4,24,170,320,15,6
2020,4,25,119,317,18,7
2020,4,26,82,313,24,0
2020,4,27,41,298,179,6
2020,4,28,113,127,88,2
2020,4,29,47,236,10,9
2020,4,30,59,500,153,3
2020,5,1,165,307,94,6
2020,5,2,156,299,32,15
2020,5,3,93,478,17,4
2020,5,4,87,267,22,5
2020,5,5,57,144,23,0
2020,5,6,37,105,7,5
2020,5,7,23,1131,313,5
2020,5,8,39,1223,204,11
2020,5,9,36,964,16,9
2020,5,10,22,628,18,0
2020,5,11,15,1192,15,9
2020,5,12,28,1419,716,7
2020,5,13,10,1361,138,7
2020,5,14,30,1474,193,9
2020,5,15,9,1314,154,7
2020,5,16,14,831,88,11
2020,5,17,5,414,38,7
2020,5,18,10,1118,120,4
2020,5,19,5,1174,216,3
2020,5,20,5,1084,93,3
2020,5,21,11,1076,132,9
2020,5,22,3,1126,116,7
2020,5,23,2,561,40,8
2020,5,24,14,361,10,9
2020,5,25,8,954,72,8
2020,5,26,10,1104,68,4
2020,5,27,10,1105,34,4
2020,5,28,15,1110,30,3
2020,5,29,22,1206,58,3
2020,5,30,14,613,7,2
2020,5,31,5,389,2,1
2020,6,1,13,1497,29,0
2020,6,2,34,1529,47,1
2020,6,3,12,1694,37,0
2020,6,4,28,1786,25,1
2020,6,5,20,1996,39,2
2020,6,6,26,1187,8,2
2020,6,7,14,441,1,0
2020,6,8,13,1845,20,0
2020,6,9,12,1911,42,0
2020,6,10,18,1998,27,0
2020,6,11,22,1902,39,0
2020,6,12,25,2226,32,2
2020,6,13,24,1178,6,1
2020,6,14,47,504,4,0
2020,6,15,48,2001,21,0
2020,6,16,27,1912,49,2
2020,6,17,14,1946,42,1
2020,6,18,41,1952,39,0
2020,6,19,35,2188,54,3
2020,6,20,39,1161,13,0
2020,6,21,35,428,16,0
2020,6,22,29,2091,48,1
2020,6,23,28,1980,35,2
2020,6,24,55,2095,32,2
2020,6,25,48,2013,43,0
2020,6,26,54,2371,37,0
2020,6,27,57,1456,25,0
2020,6,28,60,569,26,0
2020,6,29,57,2446,49,0
2020,6,30,54,2433,52,0
2020,7,1,67,2522,27,0
2020,7,2,107,2520,66,0
2020,7,3,124,2980,42,0
2020,7,4,131,1677,35,0
2020,7,5,111,872,25,0
2020,7,6,102,3136,64,0
2020,7,7,106,2934,66,0
2020,7,8,75,3404,104,0
2020,7,9,224,3157,103,0
2020,7,10,243,3372,115,0
2020,7,11,206,1839,75,0
2020,7,12,206,720,54,0
2020,7,13,119,0,113,0
2020,7,14,143,3347,136,0
2020,7,15,165,4077,136,1
2020,7,16,286,4697,163,0
2020,7,17,293,4294,138,0
2020,7,18,290,2449,94,0
2020,7,19,188,0,54,0
2020,7,20,168,5954,255,1
