year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,0,44,0,0
2020,3,12,0,3,0,0
2020,3,13,0,2,0,0
2020,3,14,0,0,0,0
2020,3,15,0,0,0,0
2020,3,16,0,0,0,0
2020,3,17,0,2,0,0
2020,3,18,0,3,0,0
2020,3,19,0,0,0,0
2020,3,20,0,0,0,0
2020,3,21,0,0,0,0
2020,3,22,0,1,0,0
2020,3,23,0,7,0,0
2020,3,24,0,5,0,0
2020,3,25,0,2,0,0
2020,3,26,0,0,0,0
2020,3,27,0,1,0,0
2020,3,28,0,1,0,0
2020,3,29,0,1,0,0
2020,3,30,1,7,0,0
2020,3,31,2,11,0,0
2020,4,1,2,0,0,0
2020,4,2,3,47,0,0
2020,4,3,0,61,0,0
2020,4,4,2,0,0,0
2020,4,5,0,0,0,0
2020,4,6,1,183,0,0
2020,4,7,1,54,0,0
2020,4,8,2,64,0,0
2020,4,9,2,103,0,0
2020,4,10,7,37,0,0
2020,4,11,0,7,0,0
2020,4,12,7,0,0,0
2020,4,13,19,264,1,0
2020,4,14,5,46,0,0
2020,4,15,0,65,0,0
2020,4,16,11,156,1,0
2020,4,17,4,97,0,0
2020,4,18,10,0,0,0
2020,4,19,13,0,2,1
2020,4,20,22,180,4,1
2020,4,21,1,61,0,0
2020,4,22,0,118,0,0
2020,4,23,35,148,0,1
2020,4,24,13,104,1,0
2020,4,25,12,0,0,0
2020,4,26,2,0,0,0
2020,4,27,4,217,0,0
2020,4,28,9,35,0,0
2020,4,29,0,0,0,0
2020,4,30,12,398,0,4
2020,5,1,-1,-143,0,0
2020,5,2,8,0,28,2
2020,5,3,3,0,0,1
2020,5,4,0,0,0,0
2020,5,5,4,0,0,0
2020,5,6,3,0,0,0
2020,5,7,1,0,1,0
2020,5,8,-4,272,39,3
2020,5,9,0,45,0,0
2020,5,10,0,0,0,0
2020,5,11,5,140,22,1
2020,5,12,0,9,6,1
2020,5,13,1,33,17,1
2020,5,14,2,24,4,2
2020,5,15,0,20,11,0
2020,5,16,1,-20,19,0
2020,5,17,0,20,0,0
2020,5,18,2,62,9,2
2020,5,19,0,3,1,0
2020,5,20,0,25,0,0
2020,5,21,0,12,2,1
2020,5,22,0,30,3,0
2020,5,23,0,0,7,0
2020,5,24,0,0,0,0
2020,5,25,0,34,2,0
2020,5,26,0,2,2,0
2020,5,27,0,19,3,1
2020,5,28,0,11,1,0
2020,5,29,0,11,1,0
2020,5,30,0,0,0,0
2020,5,31,0,0,2,0
2020,6,1,0,46,1,0
2020,6,2,0,217,3,0
2020,6,3,0,24,3,0
2020,6,4,0,23,0,0
2020,6,5,0,28,2,0
2020,6,6,0,0,0,0
2020,6,7,0,0,1,0
2020,6,8,0,49,0,0
2020,6,9,0,6,0,0
2020,6,10,0,5,3,0
2020,6,11,0,45,0,0
2020,6,12,0,55,0,0
2020,6,13,0,0,0,0
2020,6,14,0,0,0,0
2020,6,15,0,19,0,0
2020,6,16,0,61,1,0
2020,6,17,0,13,1,0
2020,6,18,0,31,1,0
2020,6,19,0,21,0,0
2020,6,20,0,0,0,0
2020,6,21,0,0,0,0
2020,6,22,0,29,0,0
2020,6,23,0,31,0,0
2020,6,24,0,12,0,0
2020,6,25,0,31,0,0
2020,6,26,0,6,0,0
2020,6,27,0,0,0,0
2020,6,28,0,0,0,0
2020,6,29,0,18,0,0
2020,6,30,0,9,0,0
2020,7,1,0,39,0,0
2020,7,2,1,22,0,0
2020,7,3,0,25,0,0
2020,7,4,0,0,0,0
2020,7,5,0,0,0,0
2020,7,6,0,81,0,0
2020,7,7,0,42,0,0
2020,7,8,1,15,0,0
2020,7,9,1,35,0,0
2020,7,10,0,43,0,0
2020,7,11,0,0,0,0
2020,7,12,0,0,0,0
2020,7,13,0,69,0,0
2020,7,14,0,25,0,0
2020,7,15,0,174,1,0
2020,7,16,0,31,0,0
2020,7,17,0,9,0,0
2020,7,18,1,0,0,0
2020,7,19,0,0,0,0
2020,7,20,0,258,0,0
