year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,0,96,0,0
2020,3,12,0,7,0,0
2020,3,13,0,7,0,0
2020,3,14,0,0,0,0
2020,3,15,0,0,0,0
2020,3,16,0,2,0,0
2020,3,17,0,8,0,0
2020,3,18,0,3,0,0
2020,3,19,0,10,0,0
2020,3,20,0,0,0,0
2020,3,21,0,0,0,0
2020,3,22,0,0,0,0
2020,3,23,0,12,0,0
2020,3,24,0,2,0,0
2020,3,25,0,9,0,0
2020,3,26,0,9,0,0
2020,3,27,0,5,0,0
2020,3,28,0,0,0,0
2020,3,29,0,0,0,0
2020,3,30,0,28,0,0
2020,3,31,1,24,0,0
2020,4,1,0,0,0,0
2020,4,2,0,53,0,0
2020,4,3,0,94,0,0
2020,4,4,5,0,0,0
2020,4,5,4,0,0,0
2020,4,6,3,65,0,0
2020,4,7,6,93,0,0
2020,4,8,3,136,0,0
2020,4,9,5,0,0,0
2020,4,10,0,119,0,0
2020,4,11,5,0,0,0
2020,4,12,2,0,0,0
2020,4,13,1,150,0,0
2020,4,14,4,123,0,0
2020,4,15,6,63,0,0
2020,4,16,5,158,0,0
2020,4,17,8,139,0,0
2020,4,18,2,0,10,0
2020,4,19,1,0,0,0
2020,4,20,3,182,5,0
2020,4,21,0,60,0,0
2020,4,22,1,102,2,0
2020,4,23,0,92,0,0
2020,4,24,1,96,0,0
2020,4,25,0,0,15,0
2020,4,26,0,0,0,0
2020,4,27,0,105,6,0
2020,4,28,0,51,0,0
2020,4,29,2,0,0,0
2020,4,30,0,56,0,0
2020,5,1,0,87,10,0
2020,5,2,0,0,2,0
2020,5,3,0,0,3,0
2020,5,4,0,0,1,0
2020,5,5,1,0,0,0
2020,5,6,0,0,0,0
2020,5,7,0,136,0,0
2020,5,8,0,19,2,0
2020,5,9,0,31,0,0
2020,5,10,0,17,2,0
2020,5,11,0,7,0,0
2020,5,12,0,25,0,0
2020,5,13,0,33,0,0
2020,5,14,0,11,0,0
2020,5,15,0,16,0,0
2020,5,16,0,11,0,0
2020,5,17,0,8,0,0
2020,5,18,0,2,0,0
2020,5,19,0,14,0,0
2020,5,20,0,12,0,0
2020,5,21,0,10,5,0
2020,5,22,0,8,1,0
2020,5,23,0,9,0,0
2020,5,24,0,5,0,0
2020,5,25,0,2,1,0
2020,5,26,0,7,1,0
2020,5,27,0,11,0,0
2020,5,28,0,4,0,0
2020,5,29,0,6,0,0
2020,5,30,0,6,0,0
2020,5,31,0,3,0,0
2020,6,1,0,1,0,0
2020,6,2,0,5,0,0
2020,6,3,0,-253,0,0
2020,6,4,0,10,0,0
2020,6,5,0,18,0,0
2020,6,6,0,4,1,0
2020,6,7,0,8,0,0
2020,6,8,0,2,0,0
2020,6,9,0,5,0,0
2020,6,10,0,4,0,0
2020,6,11,0,7,0,0
2020,6,12,0,4,0,0
2020,6,13,0,1,0,0
2020,6,14,0,4,0,0
2020,6,15,0,0,1,0
2020,6,16,0,3,0,0
2020,6,17,0,5,0,0
2020,6,18,0,4,0,0
2020,6,19,0,5,0,0
2020,6,20,0,2,0,0
2020,6,21,0,5,0,0
2020,6,22,0,2,0,0
2020,6,23,0,0,0,0
2020,6,24,0,4,0,0
2020,6,25,0,9,0,0
2020,6,26,0,8,0,0
2020,6,27,0,0,0,0
2020,6,28,0,7,0,0
2020,6,29,0,5,0,0
2020,6,30,0,3,0,0
2020,7,1,0,3,0,0
2020,7,2,0,5,0,0
2020,7,3,0,13,0,0
2020,7,4,0,4,0,0
2020,7,5,1,7,0,0
2020,7,6,1,10,0,0
2020,7,7,0,12,0,0
2020,7,8,0,14,0,1
2020,7,9,0,9,0,0
2020,7,10,0,3,0,0
2020,7,11,0,5,0,0
2020,7,12,0,13,0,0
2020,7,13,1,3,0,0
2020,7,14,1,17,2,0
2020,7,15,1,15,0,0
2020,7,16,0,45,0,0
2020,7,17,1,53,0,0
2020,7,18,0,31,1,0
2020,7,19,0,14,0,0
2020,7,20,0,5,1,0
