year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,3,113,0,0
2020,3,12,0,9,0,0
2020,3,13,0,6,0,0
2020,3,14,0,0,0,0
2020,3,15,0,0,0,0
2020,3,16,0,10,0,0
2020,3,17,0,11,0,0
2020,3,18,0,8,0,0
2020,3,19,0,7,0,0
2020,3,20,0,0,0,0
2020,3,21,0,2,0,0
2020,3,22,1,4,0,0
2020,3,23,0,10,0,0
2020,3,24,0,12,0,0
2020,3,25,1,4,0,0
2020,3,26,1,14,0,0
2020,3,27,0,18,0,0
2020,3,28,0,0,2,0
2020,3,29,0,0,0,0
2020,3,30,0,29,0,0
2020,3,31,0,30,1,0
2020,4,1,0,0,0,0
2020,4,2,0,41,0,0
2020,4,3,1,26,0,0
2020,4,4,0,42,0,0
2020,4,5,1,13,0,0
2020,4,6,4,40,0,0
2020,4,7,1,6,0,0
2020,4,8,4,58,0,0
2020,4,9,0,15,0,0
2020,4,10,0,29,0,0
2020,4,11,2,0,0,0
2020,4,12,4,0,0,0
2020,4,13,1,100,2,0
2020,4,14,1,81,0,0
2020,4,15,3,35,0,0
2020,4,16,1,112,0,0
2020,4,17,1,92,0,0
2020,4,18,0,50,0,0
2020,4,19,0,22,6,0
2020,4,20,0,70,4,0
2020,4,21,1,11,0,0
2020,4,22,0,14,0,0
2020,4,23,0,12,0,0
2020,4,24,0,61,1,0
2020,4,25,0,0,2,0
2020,4,26,0,0,0,0
2020,4,27,1,8,0,0
2020,4,28,0,14,5,0
2020,4,29,0,26,1,0
2020,4,30,0,20,0,0
2020,5,1,2,5,0,0
2020,5,2,0,0,0,0
2020,5,3,1,0,0,0
2020,5,4,0,0,0,0
2020,5,5,2,0,0,0
2020,5,6,0,0,0,0
2020,5,7,0,165,0,0
2020,5,8,0,43,9,0
2020,5,9,0,23,0,0
2020,5,10,0,7,0,0
2020,5,11,0,0,0,0
2020,5,12,0,29,0,0
2020,5,13,0,0,0,0
2020,5,14,0,28,0,0
2020,5,15,0,13,0,0
2020,5,16,0,0,0,0
2020,5,17,0,0,0,0
2020,5,18,0,23,1,0
2020,5,19,0,7,0,0
2020,5,20,0,12,0,0
2020,5,21,0,7,0,0
2020,5,22,0,6,0,0
2020,5,23,0,3,0,0
2020,5,24,0,0,0,0
2020,5,25,0,1,1,0
2020,5,26,0,10,0,0
2020,5,27,0,2,0,0
2020,5,28,0,5,0,0
2020,5,29,0,5,0,0
2020,5,30,0,17,0,0
2020,5,31,0,5,0,0
2020,6,1,0,57,0,0
2020,6,2,0,13,1,0
2020,6,3,0,11,0,0
2020,6,4,0,12,0,0
2020,6,5,0,24,0,0
2020,6,6,0,19,0,0
2020,6,7,0,8,0,0
2020,6,8,0,13,0,0
2020,6,9,0,15,0,0
2020,6,10,0,13,0,0
2020,6,11,0,12,0,0
2020,6,12,0,16,0,0
2020,6,13,0,7,0,0
2020,6,14,0,8,0,0
2020,6,15,0,9,0,0
2020,6,16,0,27,0,0
2020,6,17,0,27,0,0
2020,6,18,0,29,0,0
2020,6,19,0,24,0,0
2020,6,20,0,6,0,0
2020,6,21,0,4,0,0
2020,6,22,0,33,1,0
2020,6,23,0,41,0,0
2020,6,24,0,31,0,0
2020,6,25,0,27,0,0
2020,6,26,0,15,0,0
2020,6,27,0,38,0,0
2020,6,28,0,3,0,0
2020,6,29,0,24,0,0
2020,6,30,0,39,0,0
2020,7,1,0,36,0,0
2020,7,2,0,30,0,0
2020,7,3,0,53,0,0
2020,7,4,0,10,0,0
2020,7,5,0,15,0,0
2020,7,6,0,35,0,0
2020,7,7,0,48,0,0
2020,7,8,0,9,0,0
2020,7,9,0,50,0,0
2020,7,10,0,24,0,0
2020,7,11,0,43,0,0
2020,7,12,0,3,0,0
2020,7,13,0,13,0,0
2020,7,14,0,64,0,0
2020,7,15,0,49,0,0
2020,7,16,1,40,0,0
2020,7,17,3,85,0,0
2020,7,18,1,220,0,0
2020,7,19,0,97,0,0
2020,7,20,0,30,0,0
