year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,2,236,0,0
2020,3,12,0,15,0,0
2020,3,13,0,16,0,0
2020,3,14,0,0,0,0
2020,3,15,0,0,0,0
2020,3,16,0,27,0,0
2020,3,17,0,21,0,0
2020,3,18,0,10,0,0
2020,3,19,0,10,0,0
2020,3,20,0,2,0,0
2020,3,21,0,1,0,0
2020,3,22,0,0,1,0
2020,3,23,0,20,0,0
2020,3,24,2,12,0,0
2020,3,25,0,13,0,0
2020,3,26,0,18,1,0
2020,3,27,0,21,0,0
2020,3,28,0,4,0,0
2020,3,29,0,2,0,0
2020,3,30,1,26,0,0
2020,3,31,1,18,0,0
2020,4,1,2,0,0,0
2020,4,2,1,107,0,0
2020,4,3,0,46,0,0
2020,4,4,2,0,0,0
2020,4,5,2,0,0,0
2020,4,6,1,124,0,0
2020,4,7,5,79,0,0
2020,4,8,3,59,0,0
2020,4,9,2,59,0,0
2020,4,10,3,67,0,0
2020,4,11,5,0,0,0
2020,4,12,3,0,0,0
2020,4,13,0,144,0,0
2020,4,14,1,48,0,0
2020,4,15,3,90,0,0
2020,4,16,4,72,7,0
2020,4,17,3,68,0,0
2020,4,18,2,0,0,0
2020,4,19,1,0,0,0
2020,4,20,0,218,0,0
2020,4,21,1,50,0,0
2020,4,22,1,110,13,0
2020,4,23,0,49,0,0
2020,4,24,0,60,0,0
2020,4,25,0,0,0,0
2020,4,26,0,0,0,0
2020,4,27,0,150,0,0
2020,4,28,1,45,1,0
2020,4,29,0,0,1,0
2020,4,30,0,175,0,0
2020,5,1,2,66,5,0
2020,5,2,1,0,0,0
2020,5,3,1,0,0,0
2020,5,4,0,0,0,0
2020,5,5,0,0,0,0
2020,5,6,0,0,0,0
2020,5,7,0,380,0,0
2020,5,8,0,68,19,0
2020,5,9,0,0,0,0
2020,5,10,0,0,0,0
2020,5,11,0,175,1,0
2020,5,12,0,46,0,0
2020,5,13,1,81,2,0
2020,5,14,0,54,0,0
2020,5,15,0,43,0,0
2020,5,16,0,0,0,0
2020,5,17,0,0,0,0
2020,5,18,0,132,0,0
2020,5,19,1,58,0,0
2020,5,20,2,88,1,0
2020,5,21,0,67,3,0
2020,5,22,0,52,1,0
2020,5,23,0,0,0,0
2020,5,24,0,0,0,0
2020,5,25,0,118,1,1
2020,5,26,0,32,0,0
2020,5,27,0,49,0,0
2020,5,28,0,41,0,0
2020,5,29,4,35,2,0
2020,5,30,0,0,0,0
2020,5,31,0,0,0,0
2020,6,1,0,161,0,0
2020,6,2,0,50,0,0
2020,6,3,1,58,1,0
2020,6,4,0,56,0,0
2020,6,5,0,57,2,0
2020,6,6,0,0,0,0
2020,6,7,0,0,0,0
2020,6,8,2,175,1,0
2020,6,9,0,53,0,0
2020,6,10,1,90,1,0
2020,6,11,0,71,0,0
2020,6,12,1,80,3,0
2020,6,13,0,0,0,0
2020,6,14,0,0,0,0
2020,6,15,2,183,1,0
2020,6,16,0,57,0,0
2020,6,17,1,82,1,0
2020,6,18,0,72,0,0
2020,6,19,0,53,0,0
2020,6,20,0,0,0,0
2020,6,21,0,0,0,0
2020,6,22,0,142,0,0
2020,6,23,0,34,1,0
2020,6,24,0,50,1,0
2020,6,25,0,46,0,0
2020,6,26,0,48,0,0
2020,6,27,0,0,0,0
2020,6,28,0,0,0,0
2020,6,29,2,111,0,0
2020,6,30,0,49,0,0
2020,7,1,1,56,1,0
2020,7,2,0,45,0,0
2020,7,3,0,59,0,0
2020,7,4,0,0,0,0
2020,7,5,0,0,0,0
2020,7,6,0,151,1,0
2020,7,7,0,46,1,0
2020,7,8,0,49,0,0
2020,7,9,0,34,0,0
2020,7,10,1,44,0,0
2020,7,11,0,0,0,0
2020,7,12,0,0,0,0
2020,7,13,0,110,0,0
2020,7,14,0,40,0,0
2020,7,15,0,52,0,0
2020,7,16,0,46,0,0
2020,7,17,1,40,0,0
2020,7,18,0,0,0,0
2020,7,19,0,0,0,0
2020,7,20,1,142,1,0
