year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,2.0,149.0,0.0,0.0
2020,3,12,2.0,153.0,0.0,0.0
2020,3,13,2.0,161.0,0.0,0.0
2020,3,14,2.0,161.0,0.0,0.0
2020,3,15,2.0,161.0,0.0,0.0
2020,3,16,2.0,166.0,0.0,0.0
2020,3,17,2.0,167.0,0.0,0.0
2020,3,18,3.0,181.0,1.0,0.0
2020,3,19,3.0,181.0,1.0,0.0
2020,3,20,3.0,181.0,1.0,0.0
2020,3,21,3.0,181.0,1.0,0.0
2020,3,22,3.0,181.0,1.0,0.0
2020,3,23,3.0,208.0,1.0,0.0
2020,3,24,3.0,215.0,1.0,0.0
2020,3,25,3.0,219.0,1.0,0.0
2020,3,26,3.0,223.0,1.0,0.0
2020,3,27,4.0,234.0,1.0,0.0
2020,3,28,4.0,234.0,2.0,0.0
2020,3,29,4.0,234.0,2.0,0.0
2020,3,30,4.0,250.0,2.0,0.0
2020,3,31,9.0,267.0,2.0,0.0
2020,4,1,9.0,267.0,2.0,0.0
2020,4,2,11.0,312.0,2.0,0.0
2020,4,3,11.0,350.0,3.0,1.0
2020,4,4,12.0,350.0,3.0,1.0
2020,4,5,12.0,350.0,3.0,1.0
2020,4,6,14.0,407.0,4.0,1.0
2020,4,7,23.0,418.0,4.0,1.0
2020,4,8,25.0,450.0,4.0,1.0
2020,4,9,26.0,485.0,4.0,1.0
2020,4,10,28.0,545.0,4.0,1.0
2020,4,11,30.0,545.0,4.0,1.0
2020,4,12,30.0,545.0,4.0,2.0
2020,4,13,37.0,631.0,4.0,2.0
2020,4,14,39.0,653.0,4.0,2.0
2020,4,15,40.0,680.0,4.0,2.0
2020,4,16,41.0,708.0,4.0,2.0
2020,4,17,41.0,708.0,4.0,2.0
2020,4,18,44.0,708.0,5.0,3.0
2020,4,19,45.0,708.0,8.0,3.0
2020,4,20,46.0,844.0,9.0,3.0
2020,4,21,47.0,893.0,9.0,3.0
2020,4,22,47.0,938.0,16.0,3.0
2020,4,23,47.0,961.0,16.0,3.0
2020,4,24,47.0,1002.0,20.0,3.0
2020,4,25,47.0,1002.0,20.0,3.0
2020,4,26,47.0,1002.0,24.0,3.0
2020,4,27,47.0,1024.0,24.0,3.0
2020,4,28,47.0,1043.0,24.0,3.0
2020,4,29,47.0,1043.0,24.0,3.0
2020,4,30,47.0,1095.0,25.0,3.0
2020,5,1,47.0,1116.0,25.0,3.0
2020,5,2,47.0,1116.0,27.0,3.0
2020,5,3,48.0,1116.0,31.0,3.0
2020,5,4,48.0,1116.0,31.0,3.0
2020,5,5,48.0,1116.0,32.0,3.0
2020,5,6,48.0,1116.0,32.0,3.0
2020,5,7,48.0,1225.0,32.0,3.0
2020,5,8,48.0,1238.0,38.0,3.0
2020,5,9,48.0,1238.0,38.0,3.0
2020,5,10,48.0,1238.0,38.0,3.0
2020,5,11,48.0,1276.0,38.0,3.0
2020,5,12,48.0,1284.0,39.0,3.0
2020,5,13,51.0,1305.0,39.0,3.0
2020,5,14,68.0,1393.0,40.0,3.0
2020,5,15,70.0,1441.0,41.0,3.0
2020,5,16,70.0,1441.0,41.0,3.0
2020,5,17,71.0,1600.0,43.0,3.0
2020,5,18,73.0,1695.0,43.0,3.0
2020,5,19,74.0,1768.0,44.0,3.0
2020,5,20,74.0,1781.0,44.0,3.0
2020,5,21,75.0,1796.0,45.0,4.0
2020,5,22,78.0,1824.0,45.0,4.0
2020,5,23,79.0,1831.0,45.0,4.0
2020,5,24,80.0,1912.0,45.0,4.0
2020,5,25,81.0,1915.0,45.0,4.0
2020,5,26,81.0,1959.0,45.0,4.0
2020,5,27,81.0,1982.0,47.0,4.0
2020,5,28,82.0,2046.0,49.0,4.0
2020,5,29,82.0,2074.0,50.0,4.0
2020,5,30,82.0,2074.0,50.0,4.0
2020,5,31,82.0,2074.0,50.0,4.0
2020,6,1,82.0,2208.0,52.0,4.0
2020,6,2,82.0,2262.0,54.0,4.0
2020,6,3,82.0,2316.0,55.0,4.0
2020,6,4,82.0,2373.0,55.0,4.0
2020,6,5,82.0,2389.0,60.0,4.0
2020,6,6,82.0,2389.0,60.0,4.0
2020,6,7,82.0,2389.0,60.0,4.0
2020,6,8,82.0,2462.0,66.0,4.0
2020,6,9,82.0,2477.0,67.0,4.0
2020,6,10,82.0,2487.0,68.0,4.0
2020,6,11,82.0,2497.0,69.0,4.0
2020,6,12,82.0,2510.0,69.0,4.0
2020,6,13,82.0,2510.0,69.0,4.0
2020,6,14,82.0,2510.0,69.0,4.0
2020,6,15,82.0,2527.0,72.0,4.0
2020,6,16,82.0,2532.0,73.0,4.0
2020,6,17,82.0,2544.0,73.0,4.0
2020,6,18,82.0,2553.0,73.0,4.0
2020,6,19,82.0,2558.0,74.0,4.0
2020,6,20,82.0,2558.0,74.0,4.0
2020,6,21,82.0,2558.0,74.0,4.0
2020,6,22,82.0,2572.0,74.0,4.0
2020,6,23,82.0,2575.0,74.0,4.0
2020,6,24,82.0,2578.0,75.0,4.0
2020,6,25,82.0,2581.0,76.0,4.0
2020,6,26,82.0,2586.0,77.0,4.0
2020,6,27,82.0,2586.0,77.0,4.0
2020,6,28,82.0,2586.0,77.0,4.0
2020,6,29,82.0,2605.0,77.0,4.0
2020,6,30,82.0,2613.0,77.0,4.0
2020,7,1,82.0,2617.0,77.0,5.0
2020,7,2,82.0,2622.0,77.0,5.0
2020,7,3,82.0,2629.0,77.0,5.0
2020,7,4,82.0,2629.0,77.0,5.0
2020,7,5,82.0,2629.0,77.0,5.0
2020,7,6,82.0,2638.0,77.0,5.0
2020,7,7,82.0,2645.0,77.0,5.0
2020,7,8,82.0,2654.0,77.0,5.0
2020,7,9,82.0,2657.0,77.0,5.0
2020,7,10,82.0,2663.0,77.0,5.0
2020,7,11,82.0,2663.0,77.0,5.0
2020,7,12,82.0,2663.0,77.0,5.0
2020,7,13,82.0,2678.0,77.0,5.0
2020,7,14,82.0,2682.0,77.0,5.0
2020,7,15,82.0,2693.0,77.0,5.0
2020,7,16,82.0,2704.0,77.0,5.0
2020,7,17,82.0,2707.0,77.0,5.0
2020,7,18,82.0,2707.0,77.0,5.0
2020,7,19,82.0,2707.0,77.0,5.0
2020,7,20,83.0,2731.0,77.0,5.0
