year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,2.0,201.0,0.0,0.0
2020,3,12,2.0,205.0,0.0,0.0
2020,3,13,2.0,227.0,0.0,0.0
2020,3,14,2.0,227.0,0.0,0.0
2020,3,15,2.0,227.0,0.0,0.0
2020,3,16,2.0,249.0,0.0,0.0
2020,3,17,2.0,270.0,0.0,0.0
2020,3,18,3.0,270.0,1.0,0.0
2020,3,19,3.0,272.0,1.0,0.0
2020,3,20,3.0,279.0,1.0,0.0
2020,3,21,3.0,279.0,1.0,0.0
2020,3,22,5.0,281.0,1.0,0.0
2020,3,23,8.0,304.0,1.0,0.0
2020,3,24,12.0,317.0,1.0,0.0
2020,3,25,13.0,325.0,1.0,0.0
2020,3,26,16.0,374.0,1.0,0.0
2020,3,27,16.0,412.0,1.0,0.0
2020,3,28,16.0,420.0,1.0,0.0
2020,3,29,21.0,428.0,1.0,0.0
2020,3,30,21.0,629.0,1.0,0.0
2020,3,31,23.0,717.0,2.0,0.0
2020,4,1,22.0,717.0,2.0,0.0
2020,4,2,22.0,806.0,2.0,0.0
2020,4,3,39.0,827.0,2.0,0.0
2020,4,4,43.0,833.0,2.0,1.0
2020,4,5,50.0,842.0,2.0,1.0
2020,4,6,51.0,966.0,2.0,1.0
2020,4,7,51.0,988.0,3.0,1.0
2020,4,8,69.0,1046.0,3.0,1.0
2020,4,9,76.0,1110.0,5.0,1.0
2020,4,10,82.0,1182.0,5.0,1.0
2020,4,11,91.0,1185.0,5.0,1.0
2020,4,12,105.0,1185.0,5.0,1.0
2020,4,13,112.0,1442.0,5.0,1.0
2020,4,14,127.0,1519.0,6.0,1.0
2020,4,15,128.0,1626.0,12.0,1.0
2020,4,16,132.0,1727.0,16.0,1.0
2020,4,17,136.0,1892.0,16.0,2.0
2020,4,18,137.0,1892.0,16.0,2.0
2020,4,19,139.0,1892.0,16.0,3.0
2020,4,20,139.0,2119.0,24.0,3.0
2020,4,21,140.0,2143.0,24.0,3.0
2020,4,22,143.0,2197.0,24.0,5.0
2020,4,23,146.0,2234.0,24.0,5.0
2020,4,24,146.0,2272.0,24.0,7.0
2020,4,25,146.0,2272.0,36.0,7.0
2020,4,26,146.0,2272.0,57.0,7.0
2020,4,27,146.0,2362.0,57.0,7.0
2020,4,28,146.0,2362.0,65.0,7.0
2020,4,29,146.0,2362.0,65.0,7.0
2020,4,30,146.0,2400.0,65.0,7.0
2020,5,1,149.0,2404.0,70.0,6.0
2020,5,2,150.0,2404.0,79.0,6.0
2020,5,3,150.0,2404.0,79.0,6.0
2020,5,4,150.0,2404.0,81.0,6.0
2020,5,5,150.0,2404.0,95.0,6.0
2020,5,6,150.0,2404.0,106.0,6.0
2020,5,7,150.0,2498.0,106.0,6.0
2020,5,8,150.0,3404.0,114.0,6.0
2020,5,9,150.0,3404.0,114.0,6.0
2020,5,10,150.0,3482.0,122.0,6.0
2020,5,11,150.0,3490.0,123.0,6.0
2020,5,12,150.0,3526.0,127.0,6.0
2020,5,13,150.0,3578.0,131.0,6.0
2020,5,14,150.0,2990.0,132.0,7.0
2020,5,15,150.0,3018.0,133.0,7.0
2020,5,16,150.0,3039.0,134.0,7.0
2020,5,17,150.0,3059.0,134.0,7.0
2020,5,18,150.0,3065.0,135.0,7.0
2020,5,19,150.0,3083.0,136.0,7.0
2020,5,20,150.0,3115.0,137.0,7.0
2020,5,21,150.0,3138.0,137.0,7.0
2020,5,22,150.0,3173.0,138.0,7.0
2020,5,23,150.0,3192.0,138.0,7.0
2020,5,24,150.0,3195.0,138.0,7.0
2020,5,25,150.0,3387.0,139.0,7.0
2020,5,26,150.0,3422.0,140.0,7.0
2020,5,27,150.0,3466.0,140.0,7.0
2020,5,28,150.0,3496.0,141.0,7.0
2020,5,29,150.0,3557.0,141.0,7.0
2020,5,30,150.0,3600.0,141.0,7.0
2020,5,31,150.0,3610.0,141.0,7.0
2020,6,1,151.0,3614.0,141.0,7.0
2020,6,2,151.0,3652.0,141.0,7.0
2020,6,3,151.0,3729.0,141.0,7.0
2020,6,4,151.0,3766.0,141.0,7.0
2020,6,5,151.0,3827.0,142.0,7.0
2020,6,6,151.0,3874.0,142.0,7.0
2020,6,7,151.0,3886.0,142.0,7.0
2020,6,8,152.0,3891.0,142.0,7.0
2020,6,9,153.0,3951.0,142.0,7.0
2020,6,10,153.0,4065.0,142.0,7.0
2020,6,11,153.0,4095.0,142.0,7.0
2020,6,12,153.0,4221.0,142.0,7.0
2020,6,13,153.0,4229.0,143.0,7.0
2020,6,14,153.0,4237.0,143.0,7.0
2020,6,15,154.0,4259.0,143.0,7.0
2020,6,16,154.0,4317.0,143.0,7.0
2020,6,17,155.0,4476.0,143.0,7.0
2020,6,18,155.0,4518.0,143.0,7.0
2020,6,19,155.0,4638.0,144.0,7.0
2020,6,20,156.0,4698.0,144.0,7.0
2020,6,21,156.0,4749.0,144.0,7.0
2020,6,22,156.0,4767.0,144.0,7.0
2020,6,23,156.0,4859.0,144.0,7.0
2020,6,24,156.0,4926.0,144.0,7.0
2020,6,25,156.0,4984.0,145.0,7.0
2020,6,26,156.0,5051.0,146.0,7.0
2020,6,27,156.0,5122.0,146.0,7.0
2020,6,28,156.0,5128.0,146.0,7.0
2020,6,29,156.0,5131.0,146.0,7.0
2020,6,30,156.0,5223.0,147.0,7.0
2020,7,1,157.0,5265.0,147.0,7.0
2020,7,2,160.0,5301.0,147.0,7.0
2020,7,3,160.0,5348.0,147.0,7.0
2020,7,4,160.0,5420.0,147.0,7.0
2020,7,5,160.0,5421.0,147.0,7.0
2020,7,6,160.0,5425.0,147.0,7.0
2020,7,7,163.0,5519.0,147.0,7.0
2020,7,8,160.0,5567.0,148.0,7.0
2020,7,9,162.0,5647.0,148.0,7.0
2020,7,10,162.0,5747.0,148.0,7.0
2020,7,11,162.0,5808.0,148.0,7.0
2020,7,12,162.0,5825.0,148.0,7.0
2020,7,13,162.0,5829.0,148.0,7.0
2020,7,14,165.0,5934.0,149.0,7.0
2020,7,15,166.0,6009.0,151.0,7.0
2020,7,16,168.0,6088.0,151.0,7.0
2020,7,17,172.0,6398.0,151.0,7.0
2020,7,18,173.0,6721.0,151.0,7.0
2020,7,19,177.0,6981.0,151.0,7.0
2020,7,20,180.0,7153.0,154.0,7.0
