year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,1.0,290.0,0.0,0.0
2020,3,12,1.0,376.0,0.0,0.0
2020,3,13,1.0,423.0,0.0,0.0
2020,3,14,1.0,423.0,0.0,0.0
2020,3,15,1.0,423.0,0.0,0.0
2020,3,16,1.0,463.0,0.0,0.0
2020,3,17,1.0,502.0,0.0,0.0
2020,3,18,1.0,521.0,1.0,0.0
2020,3,19,1.0,552.0,1.0,0.0
2020,3,20,2.0,569.0,1.0,0.0
2020,3,21,2.0,579.0,1.0,0.0
2020,3,22,3.0,609.0,1.0,0.0
2020,3,23,3.0,631.0,1.0,0.0
2020,3,24,3.0,656.0,1.0,0.0
2020,3,25,3.0,687.0,1.0,0.0
2020,3,26,4.0,722.0,1.0,0.0
2020,3,27,4.0,748.0,1.0,0.0
2020,3,28,4.0,812.0,1.0,0.0
2020,3,29,6.0,831.0,1.0,0.0
2020,3,30,6.0,901.0,1.0,0.0
2020,3,31,6.0,960.0,1.0,0.0
2020,4,1,6.0,960.0,1.0,0.0
2020,4,2,6.0,1023.0,1.0,0.0
2020,4,3,8.0,1023.0,1.0,0.0
2020,4,4,13.0,1040.0,1.0,0.0
2020,4,5,16.0,1053.0,1.0,0.0
2020,4,6,16.0,1348.0,1.0,0.0
2020,4,7,19.0,1380.0,1.0,0.0
2020,4,8,23.0,1486.0,1.0,0.0
2020,4,9,25.0,1638.0,3.0,0.0
2020,4,10,25.0,1714.0,3.0,0.0
2020,4,11,31.0,1754.0,3.0,0.0
2020,4,12,56.0,1754.0,3.0,0.0
2020,4,13,57.0,2091.0,3.0,0.0
2020,4,14,66.0,2276.0,3.0,0.0
2020,4,15,67.0,2334.0,3.0,0.0
2020,4,16,118.0,2733.0,3.0,0.0
2020,4,17,124.0,2733.0,8.0,0.0
2020,4,18,129.0,2764.0,11.0,0.0
2020,4,19,132.0,3010.0,11.0,0.0
2020,4,20,137.0,3010.0,12.0,0.0
2020,4,21,138.0,3583.0,12.0,0.0
2020,4,22,139.0,3783.0,13.0,0.0
2020,4,23,142.0,3900.0,14.0,1.0
2020,4,24,142.0,4239.0,14.0,1.0
2020,4,25,143.0,4245.0,14.0,1.0
2020,4,26,145.0,4245.0,15.0,1.0
2020,4,27,145.0,4556.0,16.0,1.0
2020,4,28,149.0,4610.0,20.0,1.0
2020,4,29,153.0,4610.0,20.0,1.0
2020,4,30,155.0,4959.0,29.0,2.0
2020,5,1,156.0,5021.0,29.0,2.0
2020,5,2,161.0,5037.0,29.0,2.0
2020,5,3,162.0,5062.0,35.0,2.0
2020,5,4,162.0,5062.0,35.0,2.0
2020,5,5,162.0,5433.0,37.0,2.0
2020,5,6,162.0,5433.0,37.0,2.0
2020,5,7,162.0,5588.0,38.0,2.0
2020,5,8,165.0,5746.0,61.0,2.0
2020,5,9,165.0,5746.0,74.0,2.0
2020,5,10,165.0,5746.0,82.0,2.0
2020,5,11,165.0,6002.0,85.0,2.0
2020,5,12,165.0,6051.0,89.0,2.0
2020,5,13,165.0,6181.0,92.0,2.0
2020,5,14,165.0,6250.0,107.0,2.0
2020,5,15,165.0,6320.0,111.0,2.0
2020,5,16,165.0,6320.0,113.0,2.0
2020,5,17,165.0,6320.0,113.0,2.0
2020,5,18,166.0,6457.0,114.0,2.0
2020,5,19,166.0,6513.0,117.0,2.0
2020,5,20,166.0,6599.0,121.0,2.0
2020,5,21,166.0,6656.0,138.0,2.0
2020,5,22,167.0,6696.0,141.0,2.0
2020,5,23,167.0,6696.0,142.0,2.0
2020,5,24,167.0,6696.0,143.0,2.0
2020,5,25,167.0,6779.0,145.0,3.0
2020,5,26,167.0,6794.0,146.0,3.0
2020,5,27,167.0,6841.0,147.0,3.0
2020,5,28,167.0,6885.0,151.0,3.0
2020,5,29,167.0,6907.0,151.0,3.0
2020,5,30,167.0,6907.0,151.0,3.0
2020,5,31,167.0,6907.0,153.0,3.0
2020,6,1,168.0,6979.0,158.0,3.0
2020,6,2,167.0,7011.0,158.0,3.0
2020,6,3,167.0,7060.0,158.0,3.0
2020,6,4,167.0,7104.0,162.0,3.0
2020,6,5,168.0,7136.0,162.0,3.0
2020,6,6,168.0,7136.0,162.0,3.0
2020,6,7,168.0,7136.0,163.0,3.0
2020,6,8,168.0,7264.0,163.0,3.0
2020,6,9,168.0,7297.0,164.0,3.0
2020,6,10,168.0,7328.0,164.0,3.0
2020,6,11,168.0,7360.0,164.0,3.0
2020,6,12,168.0,7393.0,165.0,3.0
2020,6,13,168.0,7393.0,165.0,3.0
2020,6,14,168.0,7393.0,165.0,3.0
2020,6,15,168.0,7460.0,165.0,3.0
2020,6,16,168.0,7484.0,165.0,3.0
2020,6,17,168.0,7515.0,165.0,3.0
2020,6,18,168.0,7548.0,165.0,3.0
2020,6,19,168.0,7568.0,165.0,3.0
2020,6,20,168.0,7568.0,165.0,3.0
2020,6,21,168.0,7568.0,165.0,3.0
2020,6,22,168.0,7638.0,165.0,3.0
2020,6,23,168.0,7657.0,165.0,3.0
2020,6,24,168.0,7683.0,165.0,3.0
2020,6,25,168.0,7722.0,165.0,3.0
2020,6,26,168.0,7744.0,165.0,3.0
2020,6,27,168.0,7744.0,165.0,3.0
2020,6,28,168.0,7744.0,165.0,3.0
2020,6,29,168.0,7802.0,165.0,3.0
2020,6,30,168.0,7824.0,165.0,3.0
2020,7,1,169.0,7824.0,165.0,3.0
2020,7,2,169.0,7880.0,165.0,3.0
2020,7,3,169.0,7907.0,165.0,3.0
2020,7,4,169.0,7907.0,165.0,3.0
2020,7,5,169.0,7907.0,165.0,3.0
2020,7,6,169.0,7972.0,166.0,3.0
2020,7,7,171.0,8025.0,165.0,3.0
2020,7,8,171.0,8076.0,165.0,3.0
2020,7,9,171.0,8128.0,165.0,3.0
2020,7,10,173.0,8178.0,165.0,3.0
2020,7,11,176.0,8178.0,166.0,3.0
2020,7,12,178.0,8178.0,166.0,3.0
2020,7,13,179.0,8393.0,166.0,3.0
2020,7,14,182.0,8477.0,167.0,3.0
2020,7,15,184.0,8525.0,167.0,3.0
2020,7,16,192.0,8633.0,167.0,3.0
2020,7,17,198.0,8806.0,167.0,3.0
2020,7,18,205.0,8806.0,170.0,3.0
2020,7,19,207.0,8806.0,170.0,3.0
2020,7,20,209.0,9284.0,175.0,3.0
