year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,118.0,1069.0,0.0,0.0
2020,3,12,128.0,1250.0,0.0,0.0
2020,3,13,136.0,1322.0,0.0,0.0
2020,3,14,142.0,1322.0,0.0,0.0
2020,3,15,148.0,1322.0,0.0,0.0
2020,3,16,152.0,1462.0,0.0,0.0
2020,3,17,152.0,1515.0,0.0,0.0
2020,3,18,154.0,1587.0,69.0,6.0
2020,3,19,157.0,1652.0,69.0,6.0
2020,3,20,158.0,1652.0,69.0,6.0
2020,3,21,159.0,1652.0,81.0,6.0
2020,3,22,162.0,1652.0,83.0,6.0
2020,3,23,162.0,1775.0,90.0,6.0
2020,3,24,163.0,1794.0,93.0,6.0
2020,3,25,167.0,1821.0,98.0,7.0
2020,3,26,168.0,1929.0,98.0,7.0
2020,3,27,169.0,1976.0,114.0,7.0
2020,3,28,172.0,1976.0,121.0,7.0
2020,3,29,176.0,1976.0,121.0,7.0
2020,3,30,177.0,2076.0,121.0,7.0
2020,3,31,177.0,2096.0,124.0,7.0
2020,4,1,182.0,2096.0,130.0,7.0
2020,4,2,185.0,2218.0,130.0,8.0
2020,4,3,190.0,2296.0,130.0,8.0
2020,4,4,193.0,2296.0,130.0,8.0
2020,4,5,194.0,2296.0,130.0,8.0
2020,4,6,194.0,2445.0,141.0,9.0
2020,4,7,198.0,2476.0,143.0,9.0
2020,4,8,208.0,2488.0,145.0,9.0
2020,4,9,226.0,2488.0,145.0,10.0
2020,4,10,239.0,2690.0,148.0,11.0
2020,4,11,255.0,2836.0,158.0,11.0
2020,4,12,267.0,2836.0,158.0,11.0
2020,4,13,272.0,3257.0,161.0,11.0
2020,4,14,279.0,3297.0,161.0,12.0
2020,4,15,302.0,3473.0,161.0,13.0
2020,4,16,336.0,3625.0,163.0,14.0
2020,4,17,370.0,3735.0,171.0,14.0
2020,4,18,407.0,3768.0,171.0,16.0
2020,4,19,434.0,3987.0,171.0,18.0
2020,4,20,451.0,4245.0,171.0,18.0
2020,4,21,473.0,4554.0,171.0,18.0
2020,4,22,495.0,4803.0,188.0,22.0
2020,4,23,540.0,5112.0,195.0,25.0
2020,4,24,562.0,5362.0,196.0,25.0
2020,4,25,601.0,5362.0,201.0,25.0
2020,4,26,615.0,5362.0,202.0,25.0
