year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,35.0,443.0,0.0,0.0
2020,3,12,43.0,540.0,0.0,0.0
2020,3,13,56.0,581.0,0.0,0.0
2020,3,14,60.0,581.0,0.0,0.0
2020,3,15,62.0,581.0,0.0,0.0
2020,3,16,81.0,874.0,0.0,0.0
2020,3,17,85.0,951.0,0.0,0.0
2020,3,18,90.0,1020.0,0.0,3.0
2020,3,19,91.0,1108.0,1.0,4.0
2020,3,20,100.0,1120.0,1.0,4.0
2020,3,21,106.0,1126.0,2.0,4.0
2020,3,22,110.0,1127.0,2.0,5.0
2020,3,23,112.0,1518.0,2.0,5.0
2020,3,24,115.0,1607.0,5.0,5.0
2020,3,25,116.0,1855.0,5.0,5.0
2020,3,26,118.0,2031.0,5.0,5.0
2020,3,27,122.0,2121.0,5.0,5.0
2020,3,28,125.0,2142.0,18.0,8.0
2020,3,29,132.0,2146.0,18.0,10.0
2020,3,30,136.0,2399.0,18.0,10.0
2020,3,31,147.0,2462.0,18.0,11.0
2020,4,1,161.0,2462.0,18.0,11.0
2020,4,2,167.0,2610.0,18.0,11.0
2020,4,3,172.0,2791.0,51.0,11.0
2020,4,4,182.0,2805.0,52.0,11.0
2020,4,5,195.0,2805.0,52.0,11.0
2020,4,6,201.0,3054.0,53.0,12.0
2020,4,7,216.0,3151.0,53.0,12.0
2020,4,8,216.0,3327.0,53.0,12.0
2020,4,9,273.0,3496.0,58.0,12.0
2020,4,10,316.0,3691.0,59.0,12.0
2020,4,11,358.0,3830.0,59.0,13.0
2020,4,12,375.0,3830.0,59.0,13.0
2020,4,13,384.0,4250.0,59.0,14.0
2020,4,14,403.0,4403.0,61.0,15.0
2020,4,15,423.0,4640.0,61.0,15.0
2020,4,16,453.0,4851.0,63.0,17.0
2020,4,17,480.0,5060.0,63.0,17.0
2020,4,18,502.0,5070.0,65.0,17.0
2020,4,19,513.0,5280.0,65.0,17.0
2020,4,20,524.0,5610.0,65.0,17.0
2020,4,21,546.0,5714.0,65.0,17.0
2020,4,22,563.0,5972.0,65.0,17.0
2020,4,23,581.0,6213.0,67.0,17.0
2020,4,24,605.0,6463.0,68.0,17.0
2020,4,25,619.0,6641.0,72.0,17.0
2020,4,26,627.0,6831.0,77.0,17.0
2020,4,27,629.0,6922.0,80.0,17.0
2020,4,28,636.0,7063.0,80.0,17.0
2020,4,29,642.0,7076.0,81.0,17.0
2020,4,30,645.0,7481.0,81.0,17.0
2020,5,1,650.0,7621.0,83.0,18.0
2020,5,2,654.0,7891.0,86.0,18.0
2020,5,3,667.0,8052.0,90.0,18.0
2020,5,4,667.0,8052.0,90.0,18.0
2020,5,5,673.0,8294.0,96.0,18.0
2020,5,6,676.0,8358.0,99.0,19.0
2020,5,7,679.0,8516.0,100.0,19.0
2020,5,8,681.0,8654.0,454.0,32.0
2020,5,9,688.0,8850.0,463.0,32.0
2020,5,10,688.0,9091.0,486.0,34.0
2020,5,11,693.0,9179.0,500.0,34.0
2020,5,12,694.0,9289.0,512.0,34.0
2020,5,13,694.0,9483.0,521.0,35.0
2020,5,14,697.0,9653.0,539.0,37.0
2020,5,15,698.0,9800.0,548.0,37.0
2020,5,16,698.0,9932.0,559.0,38.0
2020,5,17,699.0,10062.0,565.0,38.0
2020,5,18,700.0,10127.0,571.0,38.0
2020,5,19,699.0,10192.0,581.0,38.0
2020,5,20,699.0,10312.0,594.0,38.0
2020,5,21,699.0,10438.0,601.0,38.0
2020,5,22,699.0,10537.0,605.0,38.0
2020,5,23,699.0,10614.0,605.0,40.0
2020,5,24,699.0,10688.0,609.0,40.0
2020,5,25,699.0,10720.0,613.0,40.0
2020,5,26,699.0,10722.0,615.0,40.0
2020,5,27,699.0,10855.0,618.0,40.0
2020,5,28,699.0,10942.0,622.0,40.0
2020,5,29,699.0,11005.0,625.0,41.0
2020,5,30,699.0,11067.0,626.0,42.0
2020,5,31,699.0,11128.0,626.0,42.0
2020,6,1,699.0,11153.0,630.0,42.0
2020,6,2,699.0,11206.0,632.0,42.0
2020,6,3,699.0,11293.0,636.0,42.0
2020,6,4,699.0,11368.0,641.0,42.0
2020,6,5,699.0,11432.0,647.0,42.0
2020,6,6,699.0,11498.0,652.0,42.0
2020,6,7,699.0,11560.0,652.0,42.0
2020,6,8,699.0,11588.0,652.0,42.0
2020,6,9,699.0,11640.0,652.0,43.0
2020,6,10,699.0,11716.0,652.0,43.0
2020,6,11,699.0,11771.0,653.0,43.0
2020,6,12,699.0,11834.0,653.0,43.0
2020,6,13,699.0,11882.0,653.0,43.0
2020,6,14,699.0,11932.0,653.0,43.0
2020,6,15,699.0,11950.0,653.0,43.0
2020,6,16,699.0,11974.0,653.0,43.0
2020,6,17,699.0,12023.0,653.0,43.0
2020,6,18,699.0,13665.0,653.0,43.0
2020,6,19,699.0,13745.0,653.0,43.0
2020,6,20,700.0,13886.0,653.0,43.0
2020,6,21,700.0,13915.0,653.0,43.0
2020,6,22,702.0,13930.0,653.0,43.0
2020,6,23,702.0,14018.0,653.0,43.0
2020,6,24,703.0,14176.0,653.0,43.0
2020,6,25,704.0,14347.0,653.0,43.0
2020,6,26,704.0,14483.0,654.0,43.0
2020,6,27,705.0,14637.0,654.0,43.0
2020,6,28,705.0,14671.0,654.0,43.0
2020,6,29,705.0,14695.0,654.0,43.0
2020,6,30,705.0,14857.0,652.0,45.0
2020,7,1,706.0,14947.0,655.0,45.0
2020,7,2,708.0,15056.0,656.0,45.0
2020,7,3,709.0,15205.0,656.0,45.0
2020,7,4,709.0,15362.0,656.0,45.0
2020,7,5,710.0,15461.0,656.0,45.0
2020,7,6,712.0,15593.0,656.0,45.0
2020,7,7,716.0,15792.0,658.0,45.0
2020,7,8,717.0,16089.0,659.0,45.0
2020,7,9,720.0,16313.0,660.0,45.0
2020,7,10,722.0,16552.0,662.0,45.0
2020,7,11,726.0,16730.0,662.0,45.0
2020,7,12,731.0,16817.0,662.0,45.0
2020,7,13,738.0,16846.0,663.0,45.0
2020,7,14,739.0,17192.0,669.0,45.0
2020,7,15,748.0,17478.0,673.0,45.0
2020,7,16,760.0,17829.0,674.0,45.0
2020,7,17,777.0,18310.0,681.0,45.0
2020,7,18,801.0,18644.0,690.0,45.0
2020,7,19,813.0,18933.0,697.0,45.0
2020,7,20,834.0,19089.0,703.0,45.0
