year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,7.0,134.0,0.0,0.0
2020,3,12,7.0,144.0,0.0,0.0
2020,3,13,7.0,146.0,0.0,0.0
2020,3,14,7.0,146.0,0.0,0.0
2020,3,15,7.0,146.0,0.0,0.0
2020,3,16,7.0,156.0,0.0,0.0
2020,3,17,7.0,162.0,0.0,0.0
2020,3,18,7.0,165.0,1.0,0.0
2020,3,19,7.0,171.0,2.0,0.0
2020,3,20,8.0,175.0,2.0,0.0
2020,3,21,8.0,176.0,3.0,0.0
2020,3,22,8.0,179.0,3.0,0.0
2020,3,23,8.0,181.0,3.0,0.0
2020,3,24,8.0,192.0,3.0,0.0
2020,3,25,8.0,193.0,3.0,0.0
2020,3,26,8.0,195.0,3.0,0.0
2020,3,27,8.0,199.0,3.0,0.0
2020,3,28,9.0,205.0,5.0,0.0
2020,3,29,9.0,211.0,5.0,0.0
2020,3,30,11.0,211.0,5.0,0.0
2020,3,31,13.0,228.0,5.0,0.0
2020,4,1,15.0,228.0,5.0,0.0
2020,4,2,16.0,248.0,5.0,0.0
2020,4,3,24.0,264.0,5.0,0.0
2020,4,4,32.0,264.0,5.0,0.0
2020,4,5,43.0,264.0,5.0,0.0
2020,4,6,45.0,384.0,5.0,0.0
2020,4,7,51.0,430.0,5.0,0.0
2020,4,8,66.0,472.0,5.0,0.0
2020,4,9,72.0,494.0,5.0,0.0
2020,4,10,92.0,562.0,5.0,0.0
2020,4,11,104.0,562.0,5.0,0.0
2020,4,12,113.0,562.0,5.0,0.0
2020,4,13,121.0,718.0,5.0,0.0
2020,4,14,131.0,778.0,5.0,1.0
2020,4,15,140.0,826.0,5.0,4.0
2020,4,16,146.0,903.0,5.0,4.0
2020,4,17,160.0,977.0,5.0,4.0
2020,4,18,173.0,977.0,5.0,4.0
2020,4,19,178.0,977.0,5.0,4.0
2020,4,20,180.0,1115.0,14.0,4.0
2020,4,21,190.0,1181.0,14.0,4.0
2020,4,22,199.0,1244.0,16.0,5.0
2020,4,23,216.0,1338.0,16.0,5.0
2020,4,24,222.0,1424.0,16.0,5.0
2020,4,25,224.0,1424.0,16.0,5.0
2020,4,26,229.0,1424.0,16.0,5.0
2020,4,27,236.0,1703.0,16.0,5.0
2020,4,28,245.0,1796.0,22.0,5.0
2020,4,29,250.0,1796.0,22.0,6.0
2020,4,30,251.0,1937.0,22.0,6.0
2020,5,1,254.0,1977.0,23.0,7.0
2020,5,2,260.0,1977.0,23.0,13.0
2020,5,3,264.0,1977.0,23.0,13.0
2020,5,4,264.0,1977.0,23.0,13.0
2020,5,5,268.0,1977.0,23.0,13.0
2020,5,6,271.0,1977.0,46.0,13.0
2020,5,7,275.0,2175.0,46.0,13.0
2020,5,8,275.0,2175.0,127.0,16.0
2020,5,9,277.0,2207.0,130.0,16.0
2020,5,10,278.0,2237.0,132.0,16.0
2020,5,11,280.0,2276.0,136.0,17.0
2020,5,12,283.0,2354.0,150.0,19.0
2020,5,13,284.0,2390.0,152.0,19.0
2020,5,14,284.0,2426.0,159.0,20.0
2020,5,15,285.0,2448.0,166.0,20.0
2020,5,16,286.0,2448.0,170.0,21.0
2020,5,17,287.0,2448.0,177.0,21.0
2020,5,18,287.0,2501.0,182.0,22.0
2020,5,19,290.0,2513.0,191.0,22.0
2020,5,20,290.0,2543.0,195.0,22.0
2020,5,21,292.0,2558.0,198.0,22.0
2020,5,22,294.0,2579.0,201.0,24.0
2020,5,23,295.0,2590.0,210.0,24.0
2020,5,24,295.0,2612.0,210.0,24.0
2020,5,25,295.0,2624.0,211.0,24.0
2020,5,26,296.0,2636.0,211.0,24.0
2020,5,27,296.0,2656.0,211.0,24.0
2020,5,28,297.0,2667.0,215.0,24.0
2020,5,29,298.0,2688.0,218.0,24.0
2020,5,30,298.0,2713.0,219.0,25.0
2020,5,31,298.0,2723.0,219.0,25.0
2020,6,1,298.0,2727.0,221.0,25.0
2020,6,2,298.0,2733.0,227.0,25.0
2020,6,3,298.0,2746.0,233.0,26.0
2020,6,4,298.0,2758.0,233.0,26.0
2020,6,5,299.0,2770.0,236.0,27.0
2020,6,6,299.0,2783.0,237.0,27.0
2020,6,7,299.0,2791.0,237.0,27.0
2020,6,8,299.0,2798.0,238.0,27.0
2020,6,9,299.0,2800.0,239.0,27.0
2020,6,10,299.0,2806.0,239.0,27.0
2020,6,11,299.0,2815.0,239.0,27.0
2020,6,12,299.0,2824.0,241.0,27.0
2020,6,13,299.0,2830.0,241.0,27.0
2020,6,14,299.0,2838.0,241.0,27.0
2020,6,15,299.0,2845.0,241.0,27.0
2020,6,16,299.0,2847.0,243.0,27.0
2020,6,17,299.0,2853.0,244.0,27.0
2020,6,18,299.0,2857.0,247.0,27.0
2020,6,19,299.0,2860.0,247.0,27.0
2020,6,20,299.0,2863.0,248.0,27.0
2020,6,21,299.0,2869.0,248.0,27.0
2020,6,22,300.0,2871.0,248.0,27.0
2020,6,23,300.0,2873.0,249.0,27.0
2020,6,24,300.0,2879.0,249.0,27.0
2020,6,25,300.0,2881.0,250.0,27.0
2020,6,26,300.0,2884.0,251.0,27.0
2020,6,27,300.0,2895.0,251.0,27.0
2020,6,28,300.0,2898.0,252.0,27.0
2020,6,29,300.0,2904.0,256.0,27.0
2020,6,30,300.0,2905.0,257.0,27.0
2020,7,1,300.0,2911.0,257.0,27.0
2020,7,2,300.0,2918.0,257.0,27.0
2020,7,3,300.0,2922.0,257.0,27.0
2020,7,4,300.0,2925.0,260.0,27.0
2020,7,5,300.0,2932.0,261.0,27.0
2020,7,6,300.0,2934.0,261.0,27.0
2020,7,7,300.0,2937.0,265.0,27.0
2020,7,8,300.0,2944.0,266.0,27.0
2020,7,9,300.0,2950.0,267.0,27.0
2020,7,10,300.0,2956.0,267.0,27.0
2020,7,11,300.0,2958.0,267.0,27.0
2020,7,12,300.0,2959.0,267.0,27.0
2020,7,13,300.0,2964.0,267.0,27.0
2020,7,14,300.0,2964.0,269.0,27.0
2020,7,15,300.0,2968.0,269.0,27.0
2020,7,16,300.0,2976.0,269.0,27.0
2020,7,17,301.0,2983.0,269.0,27.0
2020,7,18,303.0,3002.0,269.0,27.0
2020,7,19,303.0,3005.0,270.0,27.0
2020,7,20,303.0,3017.0,270.0,27.0
