year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,6.0,0.0,0.0,0.0
2020,3,12,6.0,0.0,0.0,0.0
2020,3,13,6.0,0.0,0.0,0.0
2020,3,14,6.0,0.0,0.0,0.0
2020,3,15,6.0,0.0,0.0,0.0
2020,3,16,6.0,393.0,0.0,0.0
2020,3,17,6.0,393.0,0.0,0.0
2020,3,18,6.0,393.0,0.0,0.0
2020,3,19,7.0,467.0,0.0,0.0
2020,3,20,7.0,476.0,0.0,0.0
2020,3,21,7.0,487.0,1.0,0.0
2020,3,22,7.0,490.0,1.0,0.0
2020,3,23,7.0,521.0,1.0,0.0
2020,3,24,7.0,543.0,1.0,0.0
2020,3,25,7.0,567.0,2.0,0.0
2020,3,26,8.0,595.0,2.0,0.0
2020,3,27,10.0,658.0,2.0,0.0
2020,3,28,10.0,674.0,3.0,0.0
2020,3,29,10.0,693.0,3.0,0.0
2020,3,30,11.0,856.0,3.0,0.0
2020,3,31,14.0,925.0,3.0,0.0
2020,4,1,15.0,925.0,3.0,0.0
2020,4,2,15.0,1036.0,3.0,0.0
2020,4,3,15.0,1095.0,3.0,0.0
2020,4,4,16.0,1125.0,3.0,0.0
2020,4,5,20.0,1144.0,3.0,0.0
2020,4,6,20.0,1420.0,3.0,0.0
2020,4,7,21.0,1461.0,3.0,0.0
2020,4,8,23.0,1552.0,3.0,0.0
2020,4,9,23.0,1639.0,4.0,0.0
2020,4,10,23.0,1693.0,4.0,1.0
2020,4,11,23.0,1728.0,4.0,1.0
2020,4,12,28.0,1728.0,4.0,1.0
2020,4,13,28.0,1877.0,5.0,1.0
2020,4,14,29.0,1944.0,5.0,1.0
2020,4,15,31.0,2056.0,5.0,1.0
2020,4,16,31.0,2131.0,5.0,1.0
2020,4,17,35.0,2204.0,6.0,1.0
2020,4,18,35.0,2208.0,6.0,1.0
2020,4,19,39.0,2274.0,6.0,1.0
2020,4,20,40.0,2350.0,7.0,1.0
2020,4,21,41.0,2465.0,7.0,1.0
2020,4,22,41.0,2518.0,7.0,1.0
2020,4,23,43.0,2577.0,8.0,1.0
2020,4,24,43.0,2623.0,9.0,1.0
2020,4,25,43.0,2623.0,9.0,1.0
2020,4,26,45.0,2623.0,11.0,1.0
2020,4,27,45.0,2912.0,12.0,1.0
2020,4,28,45.0,3002.0,12.0,1.0
2020,4,29,47.0,3002.0,12.0,1.0
2020,4,30,47.0,3148.0,13.0,1.0
2020,5,1,47.0,3178.0,13.0,1.0
2020,5,2,47.0,3178.0,13.0,1.0
2020,5,3,47.0,3178.0,13.0,2.0
2020,5,4,47.0,3178.0,13.0,2.0
2020,5,5,47.0,3178.0,13.0,2.0
2020,5,6,47.0,3178.0,16.0,2.0
2020,5,7,47.0,3313.0,16.0,2.0
2020,5,8,48.0,3375.0,17.0,2.0
2020,5,9,48.0,3375.0,18.0,3.0
2020,5,10,48.0,3415.0,18.0,3.0
2020,5,11,48.0,3492.0,23.0,3.0
2020,5,12,48.0,3547.0,24.0,3.0
2020,5,13,48.0,3592.0,25.0,3.0
2020,5,14,48.0,3623.0,31.0,3.0
2020,5,15,48.0,3656.0,31.0,3.0
2020,5,16,48.0,3656.0,31.0,3.0
2020,5,17,48.0,3725.0,35.0,3.0
2020,5,18,48.0,3741.0,35.0,3.0
2020,5,19,48.0,3755.0,35.0,3.0
2020,5,20,48.0,3778.0,35.0,3.0
2020,5,21,48.0,3778.0,35.0,3.0
2020,5,22,48.0,3820.0,35.0,3.0
2020,5,23,48.0,3835.0,37.0,3.0
2020,5,24,48.0,3851.0,37.0,3.0
2020,5,25,48.0,3851.0,37.0,3.0
2020,5,26,48.0,3863.0,38.0,3.0
2020,5,27,48.0,3878.0,38.0,3.0
2020,5,28,48.0,3885.0,39.0,3.0
2020,5,29,48.0,3903.0,39.0,3.0
2020,5,30,48.0,3911.0,42.0,3.0
2020,5,31,48.0,3924.0,43.0,3.0
2020,6,1,48.0,3930.0,43.0,3.0
2020,6,2,48.0,3939.0,44.0,3.0
2020,6,3,48.0,3962.0,44.0,3.0
2020,6,4,48.0,3974.0,44.0,3.0
2020,6,5,48.0,3990.0,44.0,3.0
2020,6,6,48.0,4015.0,44.0,3.0
2020,6,7,48.0,4028.0,44.0,3.0
2020,6,8,48.0,4033.0,44.0,3.0
2020,6,9,48.0,4055.0,44.0,3.0
2020,6,10,48.0,4070.0,44.0,3.0
2020,6,11,48.0,4080.0,45.0,3.0
2020,6,12,48.0,4092.0,45.0,3.0
2020,6,13,48.0,4092.0,45.0,3.0
2020,6,14,48.0,4092.0,45.0,3.0
2020,6,15,48.0,4092.0,45.0,3.0
2020,6,16,48.0,4130.0,45.0,3.0
2020,6,17,48.0,4138.0,45.0,3.0
2020,6,18,48.0,4153.0,45.0,3.0
2020,6,19,48.0,4164.0,45.0,3.0
2020,6,20,48.0,4164.0,45.0,3.0
2020,6,21,48.0,4164.0,45.0,3.0
2020,6,22,48.0,4178.0,45.0,3.0
2020,6,23,49.0,4178.0,45.0,3.0
2020,6,24,49.0,4203.0,45.0,3.0
2020,6,25,49.0,4219.0,45.0,3.0
2020,6,26,49.0,4234.0,45.0,3.0
2020,6,27,49.0,4234.0,45.0,3.0
2020,6,28,49.0,4234.0,45.0,3.0
2020,6,29,49.0,4273.0,45.0,3.0
