year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,15.0,440.0,0.0,0.0
2020,3,12,17.0,544.0,0.0,0.0
2020,3,13,17.0,628.0,0.0,0.0
2020,3,14,17.0,628.0,0.0,0.0
2020,3,15,17.0,628.0,0.0,0.0
2020,3,16,17.0,741.0,0.0,0.0
2020,3,17,19.0,743.0,0.0,0.0
2020,3,18,20.0,770.0,6.0,0.0
2020,3,19,20.0,800.0,6.0,0.0
2020,3,20,21.0,806.0,6.0,0.0
2020,3,21,22.0,813.0,7.0,0.0
2020,3,22,23.0,815.0,7.0,0.0
2020,3,23,24.0,857.0,7.0,0.0
2020,3,24,26.0,930.0,7.0,0.0
2020,3,25,30.0,967.0,7.0,0.0
2020,3,26,32.0,996.0,8.0,0.0
2020,3,27,34.0,1035.0,11.0,0.0
2020,3,28,37.0,1035.0,13.0,0.0
2020,3,29,46.0,1035.0,13.0,0.0
2020,3,30,54.0,1080.0,13.0,0.0
2020,3,31,68.0,1178.0,15.0,0.0
2020,4,1,71.0,1178.0,16.0,0.0
2020,4,2,79.0,1189.0,18.0,0.0
2020,4,3,91.0,1398.0,18.0,0.0
2020,4,4,105.0,1398.0,18.0,0.0
2020,4,5,111.0,1405.0,18.0,0.0
2020,4,6,119.0,1472.0,18.0,0.0
2020,4,7,139.0,1683.0,18.0,0.0
2020,4,8,149.0,1787.0,23.0,0.0
2020,4,9,159.0,1867.0,29.0,1.0
2020,4,10,168.0,1968.0,29.0,1.0
2020,4,11,181.0,1968.0,33.0,1.0
2020,4,12,193.0,1968.0,33.0,3.0
2020,4,13,205.0,2225.0,33.0,3.0
2020,4,14,210.0,2275.0,34.0,3.0
2020,4,15,215.0,2362.0,37.0,3.0
2020,4,16,225.0,2464.0,39.0,3.0
2020,4,17,235.0,2565.0,53.0,3.0
2020,4,18,242.0,2565.0,53.0,3.0
2020,4,19,251.0,2565.0,70.0,3.0
2020,4,20,259.0,2811.0,77.0,5.0
2020,4,21,264.0,2883.0,77.0,5.0
2020,4,22,275.0,2906.0,88.0,7.0
2020,4,23,282.0,3397.0,93.0,7.0
2020,4,24,286.0,3614.0,93.0,7.0
2020,4,25,290.0,3614.0,137.0,7.0
2020,4,26,294.0,3614.0,140.0,7.0
2020,4,27,309.0,3894.0,140.0,8.0
2020,4,28,313.0,3950.0,140.0,8.0
2020,4,29,316.0,3950.0,156.0,9.0
2020,4,30,319.0,4177.0,159.0,9.0
2020,5,1,323.0,4343.0,159.0,10.0
2020,5,2,328.0,4343.0,168.0,11.0
2020,5,3,331.0,4343.0,176.0,11.0
2020,5,4,331.0,4343.0,176.0,11.0
2020,5,5,338.0,4343.0,185.0,12.0
2020,5,6,341.0,4343.0,206.0,12.0
2020,5,7,347.0,5138.0,212.0,12.0
2020,5,8,347.0,5267.0,227.0,13.0
2020,5,9,347.0,5267.0,227.0,13.0
2020,5,10,347.0,5267.0,227.0,13.0
2020,5,11,352.0,5613.0,247.0,13.0
2020,5,12,352.0,5652.0,251.0,13.0
2020,5,13,356.0,5961.0,269.0,13.0
2020,5,14,357.0,6032.0,277.0,13.0
2020,5,15,358.0,6285.0,283.0,13.0
2020,5,16,358.0,6285.0,283.0,13.0
2020,5,17,358.0,6285.0,283.0,13.0
2020,5,18,358.0,7092.0,291.0,14.0
2020,5,19,358.0,7109.0,297.0,14.0
2020,5,20,358.0,7228.0,303.0,14.0
2020,5,21,358.0,7335.0,304.0,14.0
2020,5,22,358.0,7493.0,309.0,14.0
2020,5,23,358.0,7493.0,309.0,14.0
2020,5,24,358.0,7493.0,309.0,14.0
2020,5,25,358.0,7640.0,312.0,15.0
2020,5,26,358.0,7703.0,318.0,15.0
2020,5,27,358.0,7773.0,322.0,16.0
2020,5,28,358.0,7846.0,321.0,16.0
2020,5,29,358.0,7933.0,323.0,17.0
2020,5,30,358.0,7933.0,323.0,17.0
2020,5,31,358.0,7933.0,323.0,17.0
2020,6,1,358.0,8085.0,325.0,17.0
2020,6,2,358.0,8135.0,325.0,17.0
2020,6,3,358.0,8257.0,331.0,17.0
2020,6,4,358.0,8354.0,331.0,17.0
2020,6,5,358.0,8435.0,332.0,18.0
2020,6,6,358.0,8435.0,332.0,18.0
2020,6,7,358.0,8435.0,332.0,18.0
2020,6,8,359.0,8608.0,332.0,18.0
2020,6,9,359.0,8644.0,334.0,18.0
2020,6,10,360.0,8793.0,337.0,18.0
2020,6,11,360.0,8864.0,337.0,18.0
