year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,1.0,94.0,0.0,0.0
2020,3,12,1.0,100.0,0.0,0.0
2020,3,13,1.0,109.0,0.0,0.0
2020,3,14,1.0,109.0,0.0,0.0
2020,3,15,1.0,109.0,0.0,0.0
2020,3,16,1.0,129.0,0.0,0.0
2020,3,17,1.0,129.0,0.0,0.0
2020,3,18,1.0,138.0,1.0,0.0
2020,3,19,1.0,144.0,1.0,0.0
2020,3,20,1.0,148.0,1.0,0.0
2020,3,21,1.0,150.0,1.0,0.0
2020,3,22,1.0,150.0,1.0,0.0
2020,3,23,1.0,161.0,1.0,0.0
2020,3,24,1.0,162.0,1.0,0.0
2020,3,25,1.0,175.0,1.0,0.0
2020,3,26,2.0,180.0,1.0,0.0
2020,3,27,2.0,187.0,1.0,0.0
2020,3,28,2.0,187.0,1.0,0.0
2020,3,29,2.0,188.0,1.0,0.0
2020,3,30,6.0,208.0,1.0,0.0
2020,3,31,7.0,208.0,1.0,0.0
2020,4,1,7.0,208.0,1.0,0.0
2020,4,2,12.0,244.0,1.0,0.0
2020,4,3,13.0,348.0,1.0,0.0
2020,4,4,20.0,348.0,1.0,0.0
2020,4,5,23.0,348.0,1.0,0.0
2020,4,6,26.0,514.0,1.0,0.0
2020,4,7,27.0,558.0,1.0,0.0
2020,4,8,34.0,558.0,1.0,0.0
2020,4,9,36.0,558.0,1.0,0.0
2020,4,10,37.0,660.0,1.0,0.0
2020,4,11,46.0,660.0,1.0,0.0
2020,4,12,52.0,660.0,2.0,0.0
2020,4,13,54.0,816.0,5.0,0.0
2020,4,14,64.0,852.0,5.0,0.0
2020,4,15,65.0,992.0,6.0,0.0
2020,4,16,75.0,1109.0,8.0,0.0
2020,4,17,79.0,1203.0,8.0,0.0
2020,4,18,83.0,1203.0,8.0,0.0
2020,4,19,83.0,1203.0,8.0,0.0
2020,4,20,84.0,1369.0,8.0,0.0
2020,4,21,84.0,1387.0,8.0,0.0
2020,4,22,84.0,1438.0,14.0,0.0
2020,4,23,84.0,1491.0,23.0,0.0
2020,4,24,84.0,1568.0,29.0,0.0
2020,4,25,85.0,1568.0,31.0,0.0
2020,4,26,85.0,1568.0,31.0,0.0
2020,4,27,86.0,1714.0,32.0,0.0
2020,4,28,87.0,1744.0,32.0,0.0
2020,4,29,88.0,1744.0,32.0,0.0
2020,4,30,88.0,1885.0,32.0,0.0
2020,5,1,88.0,1910.0,50.0,0.0
2020,5,2,88.0,1910.0,61.0,0.0
2020,5,3,88.0,1910.0,61.0,0.0
2020,5,4,88.0,1910.0,61.0,0.0
2020,5,5,88.0,1910.0,65.0,0.0
2020,5,6,88.0,1910.0,69.0,0.0
2020,5,7,88.0,2166.0,72.0,0.0
2020,5,8,88.0,2183.0,75.0,0.0
2020,5,9,88.0,2183.0,79.0,1.0
2020,5,10,88.0,2183.0,80.0,1.0
2020,5,11,88.0,2297.0,80.0,1.0
2020,5,12,88.0,2322.0,80.0,1.0
2020,5,13,88.0,2371.0,81.0,1.0
2020,5,14,88.0,2428.0,82.0,1.0
2020,5,15,88.0,2475.0,82.0,1.0
2020,5,16,88.0,2511.0,84.0,1.0
2020,5,17,88.0,2511.0,85.0,1.0
2020,5,18,88.0,2575.0,85.0,1.0
2020,5,19,88.0,2588.0,85.0,1.0
2020,5,20,88.0,2616.0,86.0,1.0
2020,5,21,88.0,2642.0,86.0,1.0
2020,5,22,88.0,2684.0,86.0,1.0
2020,5,23,88.0,2819.0,86.0,1.0
2020,5,24,88.0,2835.0,86.0,1.0
2020,5,25,88.0,2843.0,86.0,1.0
2020,5,26,88.0,2850.0,86.0,1.0
2020,5,27,88.0,2868.0,87.0,1.0
2020,5,28,88.0,2884.0,87.0,1.0
2020,5,29,88.0,2900.0,87.0,1.0
2020,5,30,88.0,2923.0,87.0,1.0
2020,5,31,88.0,2944.0,87.0,1.0
2020,6,1,88.0,2950.0,87.0,1.0
2020,6,2,88.0,2952.0,87.0,1.0
2020,6,3,88.0,2979.0,87.0,1.0
2020,6,4,88.0,3012.0,87.0,1.0
2020,6,5,88.0,3034.0,87.0,1.0
2020,6,6,88.0,3064.0,87.0,1.0
2020,6,7,88.0,3086.0,87.0,1.0
2020,6,8,88.0,3108.0,87.0,1.0
2020,6,9,88.0,3119.0,87.0,1.0
2020,6,10,88.0,3136.0,87.0,1.0
2020,6,11,88.0,3168.0,87.0,1.0
2020,6,12,88.0,3253.0,87.0,1.0
2020,6,13,88.0,3253.0,87.0,1.0
2020,6,14,88.0,3291.0,87.0,1.0
2020,6,15,88.0,3314.0,87.0,1.0
2020,6,16,88.0,3333.0,87.0,1.0
2020,6,17,88.0,3356.0,87.0,1.0
2020,6,18,88.0,3372.0,87.0,1.0
2020,6,19,89.0,3398.0,87.0,1.0
2020,6,20,89.0,3422.0,87.0,1.0
2020,6,21,89.0,3474.0,87.0,1.0
2020,6,22,89.0,3486.0,87.0,1.0
2020,6,23,90.0,3509.0,87.0,1.0
2020,6,24,90.0,3534.0,87.0,1.0
2020,6,25,91.0,3572.0,87.0,1.0
2020,6,26,91.0,3623.0,87.0,1.0
2020,6,27,92.0,3652.0,87.0,1.0
2020,6,28,92.0,3682.0,88.0,1.0
2020,6,29,94.0,3698.0,88.0,1.0
2020,6,30,94.0,3751.0,88.0,1.0
2020,7,1,94.0,3826.0,88.0,1.0
2020,7,2,95.0,3868.0,90.0,1.0
2020,7,3,95.0,3925.0,90.0,1.0
2020,7,4,97.0,3951.0,90.0,1.0
2020,7,5,98.0,3995.0,90.0,1.0
2020,7,6,98.0,4018.0,90.0,1.0
2020,7,7,98.0,4089.0,90.0,1.0
2020,7,8,98.0,4251.0,91.0,1.0
2020,7,9,99.0,4286.0,91.0,1.0
2020,7,10,100.0,4410.0,92.0,1.0
2020,7,11,100.0,4446.0,92.0,1.0
2020,7,12,104.0,4544.0,94.0,1.0
2020,7,13,106.0,4609.0,94.0,1.0
2020,7,14,108.0,4652.0,95.0,1.0
2020,7,15,110.0,4748.0,100.0,1.0
2020,7,16,112.0,4798.0,100.0,1.0
2020,7,17,126.0,4914.0,100.0,1.0
2020,7,18,129.0,5001.0,100.0,1.0
2020,7,19,132.0,5103.0,100.0,1.0
2020,7,20,132.0,5132.0,104.0,1.0
