year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,3.0,231.0,0.0,0.0
2020,3,12,3.0,245.0,0.0,0.0
2020,3,13,3.0,255.0,0.0,0.0
2020,3,14,4.0,255.0,0.0,0.0
2020,3,15,4.0,255.0,0.0,0.0
2020,3,16,4.0,280.0,0.0,0.0
2020,3,17,4.0,284.0,0.0,0.0
2020,3,18,4.0,295.0,0.0,0.0
2020,3,19,4.0,306.0,0.0,0.0
2020,3,20,4.0,306.0,1.0,0.0
2020,3,21,4.0,306.0,1.0,0.0
2020,3,22,4.0,306.0,1.0,0.0
2020,3,23,4.0,336.0,1.0,0.0
2020,3,24,5.0,339.0,2.0,0.0
2020,3,25,5.0,339.0,2.0,0.0
2020,3,26,5.0,371.0,2.0,0.0
2020,3,27,6.0,396.0,2.0,0.0
2020,3,28,6.0,397.0,3.0,0.0
2020,3,29,8.0,397.0,3.0,0.0
2020,3,30,8.0,475.0,3.0,0.0
2020,3,31,8.0,506.0,3.0,0.0
2020,4,1,9.0,506.0,3.0,0.0
2020,4,2,9.0,596.0,3.0,0.0
2020,4,3,10.0,667.0,3.0,0.0
2020,4,4,11.0,669.0,3.0,0.0
2020,4,5,12.0,670.0,3.0,0.0
2020,4,6,14.0,736.0,3.0,0.0
2020,4,7,14.0,762.0,3.0,0.0
2020,4,8,19.0,783.0,3.0,0.0
2020,4,9,21.0,841.0,3.0,0.0
2020,4,10,28.0,892.0,3.0,0.0
2020,4,11,28.0,899.0,3.0,0.0
2020,4,12,29.0,899.0,3.0,0.0
2020,4,13,34.0,1068.0,4.0,0.0
2020,4,14,35.0,1106.0,4.0,0.0
2020,4,15,36.0,1159.0,4.0,0.0
2020,4,16,45.0,1219.0,4.0,0.0
2020,4,17,47.0,1271.0,4.0,0.0
2020,4,18,47.0,1273.0,4.0,0.0
2020,4,19,52.0,1273.0,4.0,0.0
2020,4,20,52.0,1401.0,6.0,0.0
2020,4,21,54.0,1417.0,6.0,0.0
2020,4,22,56.0,1468.0,6.0,0.0
2020,4,23,59.0,1514.0,8.0,0.0
2020,4,24,66.0,1548.0,8.0,0.0
2020,4,25,66.0,1552.0,8.0,0.0
2020,4,26,66.0,1553.0,17.0,0.0
2020,4,27,66.0,1680.0,17.0,0.0
2020,4,28,66.0,1703.0,17.0,0.0
2020,4,29,66.0,1703.0,17.0,0.0
2020,4,30,66.0,1798.0,17.0,0.0
2020,5,1,66.0,1818.0,17.0,0.0
2020,5,2,69.0,1818.0,23.0,0.0
2020,5,3,70.0,1818.0,23.0,0.0
2020,5,4,70.0,1818.0,28.0,0.0
2020,5,5,72.0,1818.0,28.0,0.0
2020,5,6,73.0,1818.0,32.0,0.0
2020,5,7,73.0,2027.0,34.0,0.0
2020,5,8,74.0,2054.0,37.0,0.0
2020,5,9,74.0,2054.0,37.0,0.0
2020,5,10,74.0,2054.0,37.0,0.0
2020,5,11,75.0,2199.0,48.0,0.0
2020,5,12,75.0,2216.0,50.0,0.0
2020,5,13,76.0,2247.0,51.0,0.0
2020,5,14,76.0,2285.0,51.0,0.0
2020,5,15,76.0,2324.0,52.0,0.0
2020,5,16,76.0,2324.0,52.0,0.0
2020,5,17,76.0,2324.0,52.0,0.0
2020,5,18,76.0,2433.0,54.0,0.0
2020,5,19,76.0,2450.0,55.0,0.0
2020,5,20,76.0,2492.0,55.0,0.0
2020,5,21,76.0,2524.0,59.0,0.0
2020,5,22,76.0,2552.0,60.0,0.0
2020,5,23,76.0,2552.0,60.0,0.0
2020,5,24,76.0,2589.0,60.0,0.0
2020,5,25,76.0,2605.0,64.0,0.0
2020,5,26,76.0,2610.0,65.0,0.0
2020,5,27,76.0,2630.0,65.0,0.0
2020,5,28,76.0,2662.0,66.0,0.0
2020,5,29,76.0,2674.0,67.0,0.0
2020,5,30,76.0,2701.0,69.0,0.0
2020,5,31,76.0,2714.0,69.0,0.0
2020,6,1,76.0,2727.0,69.0,0.0
2020,6,2,76.0,2733.0,71.0,0.0
2020,6,3,76.0,2766.0,71.0,0.0
2020,6,4,76.0,2801.0,71.0,0.0
2020,6,5,76.0,2818.0,71.0,0.0
2020,6,6,76.0,2839.0,71.0,0.0
2020,6,7,76.0,2865.0,71.0,0.0
2020,6,8,76.0,2889.0,71.0,0.0
2020,6,9,76.0,2901.0,71.0,0.0
2020,6,10,76.0,2930.0,72.0,0.0
2020,6,11,76.0,2957.0,72.0,0.0
2020,6,12,76.0,2983.0,72.0,0.0
2020,6,13,76.0,2995.0,73.0,0.0
2020,6,14,76.0,3015.0,73.0,0.0
2020,6,15,76.0,3021.0,75.0,0.0
2020,6,16,76.0,3026.0,75.0,0.0
2020,6,17,76.0,3045.0,75.0,0.0
2020,6,18,76.0,3063.0,75.0,0.0
2020,6,19,77.0,3088.0,75.0,0.0
2020,6,20,77.0,3105.0,75.0,0.0
2020,6,21,77.0,3127.0,75.0,0.0
2020,6,22,77.0,3139.0,75.0,0.0
2020,6,23,77.0,3141.0,75.0,0.0
2020,6,24,77.0,3166.0,75.0,0.0
2020,6,25,77.0,3188.0,75.0,0.0
2020,6,26,77.0,3210.0,76.0,0.0
2020,6,27,77.0,3227.0,76.0,0.0
2020,6,28,77.0,3255.0,76.0,0.0
2020,6,29,77.0,3264.0,76.0,0.0
2020,6,30,77.0,3270.0,76.0,0.0
2020,7,1,77.0,3292.0,76.0,0.0
2020,7,2,77.0,3312.0,76.0,0.0
2020,7,3,77.0,3334.0,76.0,0.0
2020,7,4,77.0,3351.0,76.0,0.0
2020,7,5,77.0,3367.0,76.0,0.0
2020,7,6,77.0,3380.0,76.0,0.0
2020,7,7,77.0,3382.0,76.0,0.0
2020,7,8,77.0,3411.0,76.0,0.0
2020,7,9,77.0,3434.0,76.0,0.0
2020,7,10,77.0,3454.0,76.0,0.0
2020,7,11,77.0,3472.0,76.0,0.0
2020,7,12,78.0,3485.0,76.0,0.0
2020,7,13,79.0,4564.0,76.0,0.0
2020,7,14,79.0,4640.0,76.0,0.0
2020,7,15,80.0,4878.0,76.0,0.0
2020,7,16,81.0,4972.0,76.0,0.0
2020,7,17,83.0,5055.0,76.0,0.0
2020,7,18,84.0,5055.0,76.0,0.0
2020,7,19,84.0,5055.0,76.0,0.0
2020,7,20,84.0,5206.0,77.0,0.0
