year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,8.0,102.0,0.0,0.0
2020,3,12,8.0,113.0,0.0,0.0
2020,3,13,8.0,131.0,0.0,0.0
2020,3,14,8.0,131.0,0.0,0.0
2020,3,15,8.0,131.0,0.0,0.0
2020,3,16,8.0,143.0,0.0,0.0
2020,3,17,8.0,153.0,0.0,0.0
2020,3,18,8.0,163.0,2.0,0.0
2020,3,19,8.0,176.0,2.0,0.0
2020,3,20,8.0,177.0,2.0,0.0
2020,3,21,8.0,184.0,2.0,0.0
2020,3,22,9.0,187.0,2.0,0.0
2020,3,23,9.0,205.0,3.0,0.0
2020,3,24,9.0,214.0,3.0,0.0
2020,3,25,9.0,225.0,3.0,0.0
2020,3,26,9.0,231.0,3.0,0.0
2020,3,27,9.0,253.0,3.0,0.0
2020,3,28,11.0,263.0,8.0,0.0
2020,3,29,11.0,263.0,8.0,0.0
2020,3,30,11.0,292.0,8.0,0.0
2020,3,31,11.0,314.0,8.0,0.0
2020,4,1,15.0,314.0,8.0,0.0
2020,4,2,19.0,355.0,8.0,0.0
2020,4,3,21.0,359.0,8.0,0.0
2020,4,4,24.0,364.0,8.0,0.0
2020,4,5,25.0,368.0,8.0,0.0
2020,4,6,26.0,374.0,8.0,0.0
2020,4,7,28.0,452.0,8.0,0.0
2020,4,8,30.0,482.0,8.0,0.0
2020,4,9,34.0,509.0,8.0,0.0
2020,4,10,37.0,523.0,8.0,0.0
2020,4,11,39.0,539.0,8.0,0.0
2020,4,12,41.0,539.0,8.0,0.0
2020,4,13,44.0,618.0,8.0,0.0
2020,4,14,47.0,641.0,8.0,0.0
2020,4,15,53.0,676.0,9.0,1.0
2020,4,16,54.0,733.0,9.0,1.0
2020,4,17,56.0,777.0,12.0,1.0
2020,4,18,60.0,777.0,12.0,1.0
2020,4,19,62.0,777.0,14.0,1.0
2020,4,20,64.0,919.0,14.0,1.0
2020,4,21,73.0,1020.0,14.0,1.0
2020,4,22,75.0,1071.0,14.0,1.0
2020,4,23,76.0,1140.0,14.0,1.0
2020,4,24,76.0,1173.0,14.0,1.0
2020,4,25,76.0,1173.0,14.0,1.0
2020,4,26,76.0,1173.0,14.0,1.0
2020,4,27,78.0,1329.0,14.0,1.0
2020,4,28,80.0,1397.0,14.0,1.0
2020,4,29,82.0,1397.0,14.0,1.0
2020,4,30,82.0,1508.0,14.0,1.0
2020,5,1,85.0,1605.0,14.0,1.0
2020,5,2,86.0,1605.0,38.0,1.0
2020,5,3,87.0,1605.0,38.0,1.0
2020,5,4,87.0,1605.0,38.0,2.0
2020,5,5,88.0,1605.0,38.0,2.0
2020,5,6,88.0,1605.0,38.0,2.0
2020,5,7,89.0,1907.0,52.0,2.0
2020,5,8,89.0,2035.0,62.0,2.0
2020,5,9,90.0,2035.0,66.0,2.0
2020,5,10,90.0,2035.0,67.0,2.0
2020,5,11,90.0,2035.0,67.0,2.0
2020,5,12,90.0,2035.0,68.0,2.0
2020,5,13,90.0,2383.0,70.0,2.0
2020,5,14,90.0,2383.0,74.0,2.0
2020,5,15,90.0,2383.0,76.0,2.0
2020,5,16,90.0,2383.0,77.0,2.0
2020,5,17,90.0,2383.0,79.0,2.0
2020,5,18,90.0,2383.0,79.0,2.0
2020,5,19,90.0,2383.0,81.0,2.0
2020,5,20,91.0,2754.0,81.0,2.0
2020,5,21,91.0,2754.0,82.0,2.0
2020,5,22,91.0,2754.0,82.0,2.0
2020,5,23,91.0,2754.0,82.0,2.0
2020,5,24,91.0,2754.0,82.0,2.0
2020,5,25,91.0,2754.0,82.0,2.0
2020,5,26,91.0,2754.0,84.0,2.0
2020,5,27,92.0,2545.0,84.0,2.0
2020,5,28,92.0,2545.0,85.0,2.0
2020,5,29,92.0,2545.0,86.0,2.0
2020,5,30,92.0,2545.0,88.0,2.0
2020,5,31,92.0,2545.0,88.0,2.0
2020,6,1,92.0,2545.0,88.0,2.0
2020,6,2,92.0,2545.0,88.0,2.0
2020,6,3,92.0,2898.0,89.0,2.0
2020,6,4,92.0,2898.0,89.0,2.0
2020,6,5,92.0,2898.0,89.0,2.0
2020,6,6,92.0,2898.0,89.0,2.0
2020,6,7,92.0,2898.0,89.0,2.0
2020,6,8,92.0,2898.0,89.0,2.0
2020,6,9,92.0,2898.0,89.0,2.0
2020,6,10,92.0,3240.0,89.0,2.0
2020,6,11,92.0,3240.0,89.0,2.0
2020,6,12,92.0,3240.0,89.0,2.0
2020,6,13,92.0,3240.0,90.0,2.0
2020,6,14,92.0,3240.0,90.0,2.0
2020,6,15,92.0,3240.0,90.0,2.0
2020,6,16,92.0,3240.0,90.0,2.0
2020,6,17,92.0,3491.0,90.0,2.0
2020,6,18,92.0,3491.0,90.0,2.0
2020,6,19,92.0,3491.0,90.0,2.0
2020,6,20,92.0,3491.0,90.0,2.0
2020,6,21,92.0,3491.0,90.0,2.0
2020,6,22,92.0,3491.0,90.0,2.0
2020,6,23,92.0,3491.0,90.0,2.0
2020,6,24,92.0,3760.0,90.0,2.0
2020,6,25,92.0,3760.0,90.0,2.0
2020,6,26,92.0,3760.0,90.0,2.0
2020,6,27,92.0,3760.0,90.0,2.0
2020,6,28,92.0,3760.0,90.0,2.0
2020,6,29,92.0,3760.0,90.0,2.0
2020,6,30,92.0,3760.0,90.0,2.0
2020,7,1,92.0,3943.0,90.0,2.0
2020,7,2,92.0,3943.0,90.0,2.0
2020,7,3,92.0,3943.0,90.0,2.0
2020,7,4,93.0,3943.0,90.0,2.0
2020,7,5,95.0,3943.0,90.0,2.0
2020,7,6,96.0,3943.0,90.0,2.0
2020,7,7,98.0,3943.0,90.0,2.0
2020,7,8,100.0,4383.0,90.0,2.0
2020,7,9,102.0,4383.0,90.0,2.0
2020,7,10,107.0,4383.0,90.0,2.0
2020,7,11,114.0,4383.0,90.0,2.0
2020,7,12,119.0,4383.0,90.0,2.0
2020,7,13,123.0,4383.0,91.0,2.0
2020,7,14,126.0,4383.0,91.0,2.0
