year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,3.0,190.0,0.0,0.0
2020,3,12,3.0,196.0,0.0,0.0
2020,3,13,3.0,198.0,0.0,0.0
2020,3,14,3.0,198.0,0.0,0.0
2020,3,15,3.0,198.0,0.0,0.0
2020,3,16,3.0,210.0,0.0,0.0
2020,3,17,3.0,217.0,0.0,0.0
2020,3,18,3.0,230.0,2.0,0.0
2020,3,19,3.0,238.0,2.0,0.0
2020,3,20,3.0,238.0,2.0,0.0
2020,3,21,3.0,238.0,2.0,0.0
2020,3,22,3.0,238.0,2.0,0.0
2020,3,23,3.0,263.0,2.0,0.0
2020,3,24,4.0,271.0,2.0,0.0
2020,3,25,4.0,271.0,2.0,0.0
2020,3,26,4.0,285.0,2.0,0.0
2020,3,27,6.0,303.0,2.0,0.0
2020,3,28,6.0,303.0,2.0,0.0
2020,3,29,8.0,303.0,2.0,0.0
2020,3,30,9.0,332.0,2.0,0.0
2020,3,31,9.0,356.0,2.0,0.0
2020,4,1,9.0,356.0,2.0,0.0
2020,4,2,9.0,399.0,2.0,0.0
2020,4,3,9.0,430.0,2.0,0.0
2020,4,4,9.0,430.0,2.0,0.0
2020,4,5,9.0,430.0,2.0,0.0
2020,4,6,15.0,480.0,2.0,0.0
2020,4,7,27.0,521.0,2.0,0.0
2020,4,8,32.0,588.0,3.0,0.0
2020,4,9,42.0,619.0,3.0,0.0
2020,4,10,49.0,680.0,3.0,0.0
2020,4,11,49.0,680.0,3.0,0.0
2020,4,12,66.0,680.0,3.0,0.0
2020,4,13,72.0,816.0,3.0,0.0
2020,4,14,76.0,856.0,3.0,0.0
2020,4,15,86.0,931.0,3.0,0.0
2020,4,16,86.0,1025.0,6.0,1.0
2020,4,17,101.0,1030.0,6.0,1.0
2020,4,18,101.0,1030.0,6.0,1.0
2020,4,19,110.0,1213.0,6.0,1.0
2020,4,20,121.0,1292.0,11.0,3.0
2020,4,21,125.0,1420.0,11.0,3.0
2020,4,22,130.0,1583.0,11.0,3.0
2020,4,23,132.0,1589.0,11.0,3.0
2020,4,24,133.0,1715.0,11.0,4.0
2020,4,25,133.0,1715.0,11.0,4.0
2020,4,26,133.0,1715.0,11.0,4.0
2020,4,27,137.0,1896.0,23.0,4.0
2020,4,28,141.0,1918.0,24.0,4.0
2020,4,29,141.0,1918.0,24.0,4.0
2020,4,30,142.0,2113.0,24.0,4.0
2020,5,1,142.0,2155.0,24.0,4.0
2020,5,2,142.0,2211.0,24.0,4.0
2020,5,3,142.0,2211.0,24.0,4.0
2020,5,4,142.0,2211.0,24.0,4.0
2020,5,5,142.0,2211.0,24.0,4.0
2020,5,6,142.0,2312.0,24.0,4.0
2020,5,7,142.0,2366.0,24.0,4.0
2020,5,8,142.0,2403.0,82.0,5.0
