year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,1.0,88.0,0.0,0.0
2020,3,12,1.0,91.0,0.0,0.0
2020,3,13,1.0,99.0,0.0,0.0
2020,3,14,1.0,99.0,0.0,0.0
2020,3,15,2.0,99.0,0.0,0.0
2020,3,16,3.0,107.0,0.0,0.0
2020,3,17,4.0,124.0,0.0,0.0
2020,3,18,4.0,140.0,0.0,0.0
2020,3,19,4.0,144.0,0.0,0.0
2020,3,20,4.0,144.0,0.0,0.0
2020,3,21,4.0,144.0,0.0,0.0
2020,3,22,4.0,144.0,0.0,0.0
2020,3,23,5.0,168.0,1.0,0.0
2020,3,24,5.0,173.0,1.0,0.0
2020,3,25,5.0,176.0,1.0,0.0
2020,3,26,6.0,176.0,1.0,0.0
2020,3,27,6.0,196.0,1.0,0.0
2020,3,28,6.0,197.0,1.0,0.0
2020,3,29,6.0,197.0,1.0,0.0
2020,3,30,6.0,217.0,1.0,0.0
2020,3,31,7.0,232.0,2.0,0.0
2020,4,1,8.0,232.0,3.0,0.0
2020,4,2,8.0,259.0,3.0,0.0
2020,4,3,14.0,293.0,3.0,0.0
2020,4,4,17.0,293.0,3.0,0.0
2020,4,5,18.0,293.0,3.0,0.0
2020,4,6,18.0,334.0,3.0,0.0
2020,4,7,18.0,379.0,3.0,0.0
2020,4,8,24.0,409.0,3.0,0.0
2020,4,9,26.0,453.0,3.0,0.0
2020,4,10,34.0,487.0,3.0,0.0
2020,4,11,38.0,487.0,3.0,0.0
2020,4,12,38.0,487.0,3.0,0.0
2020,4,13,40.0,552.0,5.0,0.0
2020,4,14,51.0,599.0,5.0,0.0
2020,4,15,52.0,636.0,5.0,0.0
2020,4,16,57.0,715.0,8.0,1.0
2020,4,17,68.0,760.0,10.0,1.0
2020,4,18,70.0,760.0,10.0,1.0
2020,4,19,71.0,760.0,10.0,1.0
2020,4,20,72.0,776.0,13.0,1.0
2020,4,21,76.0,937.0,13.0,1.0
2020,4,22,88.0,971.0,13.0,1.0
2020,4,23,92.0,1067.0,13.0,1.0
2020,4,24,93.0,1141.0,13.0,1.0
2020,4,25,94.0,1141.0,22.0,1.0
2020,4,26,94.0,1141.0,22.0,1.0
2020,4,27,94.0,1209.0,22.0,1.0
2020,4,28,94.0,1246.0,22.0,1.0
2020,4,29,96.0,1246.0,35.0,1.0
2020,4,30,96.0,1289.0,35.0,1.0
2020,5,1,96.0,1314.0,35.0,1.0
2020,5,2,96.0,1314.0,35.0,1.0
2020,5,3,96.0,1314.0,35.0,1.0
2020,5,4,96.0,1314.0,35.0,1.0
2020,5,5,98.0,1314.0,36.0,1.0
2020,5,6,98.0,1314.0,36.0,1.0
2020,5,7,98.0,1378.0,52.0,1.0
2020,5,8,97.0,1419.0,60.0,1.0
2020,5,9,97.0,1444.0,65.0,1.0
2020,5,10,97.0,1456.0,66.0,1.0
2020,5,11,97.0,1462.0,67.0,1.0
2020,5,12,97.0,1490.0,72.0,1.0
2020,5,13,97.0,1490.0,76.0,1.0
2020,5,14,97.0,1529.0,77.0,1.0
2020,5,15,98.0,1556.0,77.0,1.0
2020,5,16,99.0,1582.0,78.0,1.0
2020,5,17,99.0,1596.0,78.0,1.0
2020,5,18,99.0,1599.0,79.0,1.0
2020,5,19,99.0,1623.0,81.0,1.0
2020,5,20,99.0,1649.0,80.0,1.0
2020,5,21,99.0,1668.0,83.0,1.0
2020,5,22,99.0,1686.0,83.0,1.0
2020,5,23,100.0,1714.0,83.0,1.0
2020,5,24,100.0,1718.0,87.0,1.0
2020,5,25,100.0,1721.0,89.0,1.0
2020,5,26,100.0,1743.0,89.0,1.0
2020,5,27,100.0,1776.0,89.0,1.0
2020,5,28,100.0,1804.0,89.0,1.0
2020,5,29,100.0,1822.0,91.0,1.0
2020,5,30,100.0,1852.0,91.0,1.0
2020,5,31,100.0,1856.0,91.0,1.0
2020,6,1,100.0,1859.0,91.0,1.0
2020,6,2,100.0,1874.0,91.0,1.0
2020,6,3,100.0,1896.0,92.0,1.0
2020,6,4,100.0,1911.0,94.0,1.0
2020,6,5,100.0,1931.0,94.0,1.0
2020,6,6,100.0,1957.0,97.0,1.0
2020,6,7,100.0,1967.0,97.0,1.0
2020,6,8,100.0,1970.0,97.0,1.0
2020,6,9,100.0,1978.0,97.0,1.0
2020,6,10,100.0,2003.0,97.0,1.0
2020,6,11,100.0,2024.0,97.0,1.0
2020,6,12,100.0,2039.0,97.0,1.0
2020,6,13,100.0,2077.0,98.0,1.0
2020,6,14,100.0,2089.0,98.0,1.0
2020,6,15,100.0,2091.0,98.0,1.0
2020,6,16,100.0,2099.0,98.0,1.0
2020,6,17,100.0,2133.0,98.0,1.0
2020,6,18,101.0,2148.0,98.0,1.0
2020,6,19,101.0,2172.0,98.0,1.0
2020,6,20,101.0,2212.0,98.0,1.0
2020,6,21,101.0,2214.0,98.0,1.0
2020,6,22,101.0,2239.0,98.0,1.0
2020,6,23,101.0,2244.0,98.0,1.0
2020,6,24,101.0,2270.0,98.0,1.0
2020,6,25,101.0,2285.0,98.0,1.0
2020,6,26,101.0,2310.0,99.0,1.0
2020,6,27,101.0,2340.0,99.0,1.0
2020,6,28,101.0,2344.0,99.0,1.0
2020,6,29,101.0,2345.0,99.0,1.0
2020,6,30,101.0,2353.0,99.0,1.0
2020,7,1,103.0,2379.0,99.0,1.0
2020,7,2,103.0,2409.0,99.0,1.0
2020,7,3,103.0,2471.0,99.0,1.0
2020,7,4,103.0,2524.0,99.0,1.0
2020,7,5,103.0,2527.0,99.0,1.0
2020,7,6,103.0,2527.0,99.0,1.0
2020,7,7,103.0,2566.0,99.0,1.0
2020,7,8,104.0,2593.0,99.0,1.0
2020,7,9,104.0,2626.0,99.0,1.0
2020,7,10,104.0,2677.0,99.0,1.0
2020,7,11,104.0,2735.0,100.0,1.0
2020,7,12,106.0,2737.0,100.0,1.0
2020,7,13,106.0,2742.0,100.0,1.0
2020,7,14,106.0,2847.0,100.0,1.0
2020,7,15,107.0,3026.0,101.0,1.0
2020,7,16,108.0,3131.0,101.0,1.0
2020,7,17,109.0,3177.0,103.0,1.0
2020,7,18,109.0,3285.0,103.0,1.0
2020,7,19,110.0,3296.0,103.0,1.0
2020,7,20,111.0,3310.0,103.0,1.0
