year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,0.0,64.0,0.0,0.0
2020,3,12,0.0,76.0,0.0,0.0
2020,3,13,0.0,80.0,0.0,0.0
2020,3,14,0.0,80.0,0.0,0.0
2020,3,15,0.0,80.0,0.0,0.0
2020,3,16,0.0,82.0,0.0,0.0
2020,3,17,0.0,84.0,0.0,0.0
2020,3,18,0.0,86.0,0.0,0.0
2020,3,19,0.0,91.0,0.0,0.0
2020,3,20,0.0,91.0,0.0,0.0
2020,3,21,0.0,92.0,0.0,0.0
2020,3,22,0.0,95.0,0.0,0.0
2020,3,23,0.0,101.0,0.0,0.0
2020,3,24,0.0,105.0,0.0,0.0
2020,3,25,0.0,106.0,0.0,0.0
2020,3,26,0.0,109.0,0.0,0.0
2020,3,27,0.0,117.0,0.0,0.0
2020,3,28,0.0,121.0,0.0,0.0
2020,3,29,0.0,128.0,0.0,0.0
2020,3,30,0.0,130.0,0.0,0.0
2020,3,31,0.0,136.0,0.0,0.0
2020,4,1,0.0,136.0,0.0,0.0
2020,4,2,0.0,152.0,0.0,0.0
2020,4,3,0.0,158.0,0.0,0.0
2020,4,4,0.0,161.0,0.0,0.0
2020,4,5,0.0,163.0,0.0,0.0
2020,4,6,0.0,166.0,0.0,0.0
2020,4,7,0.0,170.0,0.0,0.0
2020,4,8,0.0,185.0,0.0,0.0
2020,4,9,1.0,191.0,0.0,0.0
2020,4,10,2.0,205.0,0.0,0.0
2020,4,11,6.0,205.0,0.0,0.0
2020,4,12,7.0,205.0,0.0,0.0
2020,4,13,8.0,366.0,0.0,0.0
2020,4,14,10.0,442.0,0.0,0.0
2020,4,15,13.0,517.0,0.0,0.0
2020,4,16,14.0,558.0,0.0,0.0
2020,4,17,15.0,606.0,0.0,0.0
2020,4,18,15.0,649.0,0.0,0.0
2020,4,19,16.0,680.0,0.0,0.0
2020,4,20,16.0,681.0,0.0,0.0
2020,4,21,16.0,697.0,0.0,0.0
2020,4,22,16.0,719.0,0.0,0.0
2020,4,23,16.0,733.0,2.0,0.0
2020,4,24,16.0,750.0,2.0,0.0
2020,4,25,16.0,750.0,2.0,0.0
2020,4,26,22.0,757.0,2.0,0.0
2020,4,27,22.0,790.0,2.0,0.0
2020,4,28,23.0,797.0,2.0,0.0
2020,4,29,23.0,806.0,3.0,0.0
2020,4,30,23.0,820.0,7.0,0.0
2020,5,1,23.0,830.0,7.0,0.0
2020,5,2,23.0,830.0,7.0,0.0
2020,5,3,24.0,830.0,7.0,0.0
2020,5,4,24.0,830.0,7.0,0.0
2020,5,5,24.0,830.0,9.0,0.0
2020,5,6,24.0,830.0,9.0,0.0
2020,5,7,24.0,888.0,10.0,0.0
2020,5,8,24.0,888.0,10.0,0.0
2020,5,9,24.0,896.0,11.0,0.0
2020,5,10,24.0,904.0,11.0,0.0
2020,5,11,24.0,911.0,12.0,0.0
2020,5,12,24.0,926.0,12.0,0.0
2020,5,13,24.0,944.0,14.0,0.0
2020,5,14,24.0,957.0,15.0,0.0
2020,5,15,24.0,967.0,16.0,0.0
2020,5,16,24.0,979.0,16.0,0.0
2020,5,17,24.0,993.0,16.0,0.0
2020,5,18,24.0,1003.0,16.0,0.0
2020,5,19,24.0,1044.0,16.0,0.0
2020,5,20,24.0,1052.0,16.0,0.0
2020,5,21,24.0,1069.0,19.0,0.0
2020,5,22,24.0,1078.0,20.0,0.0
2020,5,23,24.0,1082.0,20.0,0.0
2020,5,24,24.0,1083.0,20.0,0.0
2020,5,25,24.0,1084.0,20.0,0.0
2020,5,26,24.0,1088.0,20.0,0.0
2020,5,27,24.0,1098.0,20.0,0.0
2020,5,28,24.0,1099.0,22.0,0.0
2020,5,29,24.0,1107.0,22.0,0.0
2020,5,30,24.0,1121.0,22.0,0.0
2020,5,31,24.0,1125.0,22.0,0.0
2020,6,1,24.0,1128.0,22.0,0.0
2020,6,2,24.0,1132.0,22.0,0.0
2020,6,3,24.0,1138.0,23.0,0.0
2020,6,4,24.0,1142.0,23.0,0.0
2020,6,5,24.0,1153.0,23.0,0.0
2020,6,6,24.0,1159.0,23.0,0.0
2020,6,7,24.0,1166.0,23.0,0.0
2020,6,8,24.0,1167.0,23.0,0.0
2020,6,9,24.0,1169.0,23.0,0.0
2020,6,10,24.0,1176.0,23.0,0.0
2020,6,11,24.0,1182.0,23.0,0.0
2020,6,12,24.0,1190.0,23.0,0.0
2020,6,13,24.0,1199.0,23.0,0.0
2020,6,14,24.0,1200.0,23.0,0.0
2020,6,15,24.0,1202.0,23.0,0.0
2020,6,16,24.0,1202.0,23.0,0.0
2020,6,17,24.0,1206.0,23.0,0.0
2020,6,18,24.0,1208.0,23.0,0.0
2020,6,19,24.0,1208.0,23.0,0.0
2020,6,20,24.0,1210.0,23.0,0.0
2020,6,21,24.0,1211.0,23.0,0.0
2020,6,22,24.0,1212.0,23.0,0.0
2020,6,23,24.0,1219.0,23.0,0.0
2020,6,24,24.0,1225.0,23.0,0.0
2020,6,25,24.0,1228.0,23.0,0.0
2020,6,26,24.0,1232.0,23.0,0.0
2020,6,27,24.0,1238.0,23.0,0.0
2020,6,28,24.0,1239.0,23.0,0.0
2020,6,29,24.0,1240.0,23.0,0.0
2020,6,30,24.0,1245.0,24.0,0.0
2020,7,1,24.0,1247.0,24.0,0.0
2020,7,2,24.0,1249.0,24.0,0.0
2020,7,3,24.0,1254.0,24.0,0.0
2020,7,4,24.0,1256.0,24.0,0.0
2020,7,5,24.0,1257.0,24.0,0.0
2020,7,6,24.0,1260.0,24.0,0.0
2020,7,7,24.0,1263.0,24.0,0.0
2020,7,8,24.0,1267.0,24.0,0.0
2020,7,9,24.0,1278.0,24.0,0.0
2020,7,10,24.0,1281.0,24.0,0.0
2020,7,11,24.0,1284.0,24.0,0.0
2020,7,12,24.0,1285.0,24.0,0.0
