year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,2.0,0.0,0.0,0.0
2020,3,12,3.0,0.0,0.0,0.0
2020,3,13,3.0,0.0,0.0,0.0
2020,3,14,3.0,0.0,0.0,0.0
2020,3,15,3.0,0.0,0.0,0.0
2020,3,16,3.0,0.0,0.0,0.0
2020,3,17,3.0,0.0,0.0,0.0
2020,3,18,3.0,0.0,1.0,0.0
2020,3,19,3.0,0.0,1.0,0.0
2020,3,20,3.0,0.0,1.0,0.0
2020,3,21,3.0,0.0,1.0,0.0
2020,3,22,3.0,0.0,1.0,0.0
2020,3,23,3.0,581.0,1.0,0.0
2020,3,24,3.0,584.0,1.0,0.0
2020,3,25,3.0,611.0,2.0,0.0
2020,3,26,3.0,645.0,2.0,0.0
2020,3,27,3.0,648.0,2.0,0.0
2020,3,28,4.0,660.0,2.0,0.0
2020,3,29,4.0,665.0,2.0,0.0
2020,3,30,4.0,701.0,2.0,0.0
2020,3,31,6.0,745.0,3.0,0.0
2020,4,1,6.0,745.0,3.0,0.0
2020,4,2,6.0,957.0,3.0,0.0
2020,4,3,8.0,1006.0,3.0,0.0
2020,4,4,10.0,1006.0,3.0,0.0
2020,4,5,10.0,1006.0,3.0,0.0
2020,4,6,10.0,1203.0,3.0,0.0
2020,4,7,10.0,1221.0,3.0,0.0
2020,4,8,15.0,1295.0,3.0,0.0
2020,4,9,16.0,1389.0,3.0,0.0
2020,4,10,34.0,1426.0,3.0,0.0
2020,4,11,39.0,1426.0,3.0,0.0
2020,4,12,41.0,1426.0,3.0,0.0
2020,4,13,46.0,1606.0,3.0,0.0
2020,4,14,46.0,1647.0,3.0,0.0
2020,4,15,47.0,1790.0,3.0,0.0
2020,4,16,48.0,1867.0,5.0,0.0
2020,4,17,50.0,2011.0,5.0,0.0
2020,4,18,50.0,2011.0,8.0,0.0
2020,4,19,52.0,2040.0,8.0,0.0
2020,4,20,52.0,2089.0,8.0,0.0
2020,4,21,53.0,2221.0,8.0,0.0
2020,4,22,57.0,2292.0,13.0,0.0
2020,4,23,58.0,2306.0,13.0,0.0
2020,4,24,59.0,2366.0,13.0,0.0
2020,4,25,62.0,2366.0,13.0,0.0
2020,4,26,63.0,2366.0,13.0,0.0
2020,4,27,64.0,2547.0,13.0,0.0
2020,4,28,67.0,2635.0,24.0,0.0
2020,4,29,68.0,2635.0,24.0,0.0
2020,4,30,72.0,2736.0,24.0,1.0
2020,5,1,73.0,2780.0,24.0,1.0
2020,5,2,73.0,2780.0,24.0,1.0
2020,5,3,73.0,2780.0,24.0,1.0
2020,5,4,73.0,2780.0,24.0,1.0
2020,5,5,73.0,2780.0,24.0,1.0
2020,5,6,73.0,2780.0,42.0,1.0
2020,5,7,73.0,2792.0,42.0,1.0
2020,5,8,73.0,3036.0,46.0,1.0
2020,5,9,73.0,3075.0,46.0,1.0
2020,5,10,73.0,3102.0,46.0,1.0
2020,5,11,73.0,3116.0,57.0,1.0
2020,5,12,73.0,3165.0,57.0,1.0
2020,5,13,73.0,3206.0,60.0,1.0
2020,5,14,73.0,3237.0,61.0,1.0
2020,5,15,73.0,3261.0,66.0,1.0
2020,5,16,73.0,3282.0,66.0,1.0
2020,5,17,73.0,3290.0,66.0,1.0
2020,5,18,73.0,3295.0,70.0,1.0
2020,5,19,73.0,3315.0,70.0,1.0
2020,5,20,73.0,3332.0,70.0,1.0
2020,5,21,74.0,3355.0,70.0,1.0
2020,5,22,74.0,3369.0,70.0,1.0
2020,5,23,74.0,3384.0,70.0,1.0
2020,5,24,75.0,3423.0,70.0,1.0
2020,5,25,75.0,3423.0,70.0,1.0
2020,5,26,75.0,3454.0,71.0,1.0
2020,5,27,75.0,3468.0,71.0,1.0
2020,5,28,76.0,3491.0,71.0,1.0
2020,5,29,76.0,3505.0,72.0,1.0
2020,5,30,76.0,3517.0,72.0,1.0
2020,5,31,76.0,3521.0,72.0,1.0
2020,6,1,76.0,3526.0,73.0,1.0
2020,6,2,76.0,3539.0,73.0,1.0
2020,6,3,76.0,3554.0,73.0,1.0
2020,6,4,76.0,3566.0,73.0,1.0
2020,6,5,75.0,3593.0,72.0,1.0
2020,6,6,75.0,3603.0,72.0,1.0
2020,6,7,75.0,3612.0,72.0,1.0
2020,6,8,75.0,3619.0,73.0,1.0
2020,6,9,75.0,3637.0,73.0,1.0
2020,6,10,76.0,3644.0,73.0,1.0
2020,6,11,77.0,3653.0,73.0,1.0
2020,6,12,77.0,3653.0,73.0,1.0
2020,6,13,77.0,3666.0,73.0,1.0
2020,6,14,77.0,3671.0,73.0,1.0
2020,6,15,77.0,3680.0,73.0,1.0
2020,6,16,78.0,3698.0,73.0,1.0
2020,6,17,79.0,3711.0,74.0,1.0
2020,6,18,79.0,3724.0,74.0,1.0
2020,6,19,80.0,3744.0,74.0,1.0
2020,6,20,80.0,3749.0,74.0,1.0
2020,6,21,80.0,6928.0,74.0,1.0
2020,6,22,80.0,7051.0,75.0,1.0
