year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,2.0,170.0,0.0,0.0
2020,3,12,2.0,193.0,0.0,0.0
2020,3,13,2.0,201.0,0.0,0.0
2020,3,14,2.0,201.0,0.0,0.0
2020,3,15,2.0,201.0,0.0,0.0
2020,3,16,2.0,221.0,0.0,0.0
2020,3,17,2.0,227.0,0.0,0.0
2020,3,18,3.0,242.0,1.0,0.0
2020,3,19,3.0,263.0,1.0,0.0
2020,3,20,3.0,263.0,1.0,0.0
2020,3,21,4.0,263.0,1.0,0.0
2020,3,22,4.0,263.0,2.0,0.0
2020,3,23,4.0,297.0,2.0,0.0
2020,3,24,6.0,299.0,2.0,0.0
2020,3,25,7.0,320.0,2.0,0.0
2020,3,26,10.0,343.0,2.0,0.0
2020,3,27,11.0,377.0,2.0,0.0
2020,3,28,11.0,377.0,2.0,0.0
2020,3,29,12.0,377.0,2.0,0.0
2020,3,30,12.0,439.0,2.0,0.0
2020,3,31,14.0,456.0,2.0,0.0
2020,4,1,14.0,456.0,2.0,0.0
2020,4,2,14.0,571.0,2.0,0.0
2020,4,3,14.0,657.0,3.0,0.0
2020,4,4,14.0,657.0,3.0,0.0
2020,4,5,14.0,657.0,3.0,0.0
2020,4,6,14.0,759.0,3.0,0.0
2020,4,7,15.0,784.0,3.0,0.0
2020,4,8,21.0,831.0,5.0,0.0
2020,4,9,31.0,871.0,5.0,0.0
2020,4,10,31.0,1003.0,5.0,0.0
2020,4,11,32.0,1003.0,5.0,0.0
2020,4,12,35.0,1003.0,5.0,0.0
2020,4,13,36.0,1082.0,7.0,0.0
2020,4,14,38.0,1121.0,7.0,0.0
2020,4,15,39.0,1167.0,7.0,0.0
2020,4,16,42.0,1233.0,8.0,0.0
2020,4,17,44.0,1328.0,8.0,0.0
2020,4,18,44.0,1330.0,8.0,0.0
2020,4,19,46.0,1330.0,8.0,0.0
2020,4,20,49.0,1481.0,8.0,0.0
2020,4,21,51.0,1537.0,8.0,0.0
2020,4,22,52.0,1560.0,8.0,0.0
2020,4,23,52.0,1617.0,8.0,0.0
2020,4,24,52.0,1673.0,13.0,0.0
2020,4,25,52.0,1673.0,13.0,0.0
2020,4,26,52.0,1673.0,13.0,0.0
2020,4,27,54.0,1826.0,13.0,0.0
2020,4,28,54.0,1857.0,13.0,0.0
2020,4,29,54.0,1857.0,13.0,0.0
2020,4,30,54.0,2010.0,16.0,0.0
2020,5,1,54.0,2015.0,16.0,0.0
2020,5,2,54.0,2015.0,16.0,0.0
2020,5,3,54.0,2015.0,16.0,0.0
2020,5,4,54.0,2015.0,22.0,0.0
2020,5,5,54.0,2015.0,25.0,0.0
2020,5,6,54.0,2015.0,25.0,0.0
2020,5,7,54.0,2287.0,25.0,0.0
2020,5,8,54.0,2287.0,25.0,0.0
2020,5,9,54.0,2287.0,25.0,0.0
2020,5,10,56.0,2497.0,32.0,0.0
2020,5,11,56.0,2535.0,32.0,0.0
2020,5,12,56.0,2535.0,32.0,0.0
2020,5,13,57.0,2642.0,38.0,0.0
2020,5,14,57.0,2642.0,39.0,0.0
2020,5,15,58.0,2795.0,40.0,0.0
2020,5,16,60.0,2844.0,40.0,0.0
2020,5,17,60.0,2888.0,40.0,0.0
2020,5,18,60.0,2915.0,40.0,0.0
2020,5,19,61.0,2952.0,44.0,0.0
2020,5,20,62.0,3024.0,46.0,0.0
2020,5,21,64.0,3087.0,46.0,0.0
2020,5,22,64.0,3336.0,46.0,0.0
2020,5,23,64.0,3414.0,47.0,0.0
2020,5,24,64.0,3433.0,47.0,0.0
2020,5,25,65.0,3465.0,47.0,0.0
2020,5,26,65.0,3549.0,47.0,0.0
2020,5,27,65.0,3617.0,48.0,0.0
2020,5,28,65.0,3674.0,48.0,0.0
2020,5,29,65.0,3784.0,49.0,0.0
2020,5,30,65.0,3843.0,49.0,0.0
2020,5,31,65.0,3871.0,49.0,0.0
2020,6,1,65.0,3909.0,53.0,0.0
2020,6,2,66.0,3973.0,53.0,0.0
2020,6,3,66.0,4105.0,53.0,0.0
2020,6,4,66.0,4438.0,57.0,0.0
2020,6,5,66.0,4567.0,58.0,0.0
2020,6,6,66.0,4700.0,60.0,0.0
2020,6,7,66.0,4840.0,60.0,0.0
2020,6,8,66.0,4886.0,61.0,0.0
2020,6,9,66.0,5034.0,62.0,0.0
2020,6,10,66.0,5141.0,62.0,0.0
2020,6,11,66.0,5264.0,63.0,0.0
2020,6,12,66.0,5375.0,64.0,0.0
2020,6,13,66.0,5463.0,65.0,0.0
2020,6,14,66.0,5501.0,65.0,0.0
2020,6,15,66.0,5520.0,65.0,0.0
