year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,1.0,62.0,0.0,0.0
2020,3,12,1.0,67.0,0.0,0.0
2020,3,13,1.0,70.0,0.0,0.0
2020,3,14,1.0,70.0,0.0,0.0
2020,3,15,1.0,70.0,0.0,0.0
2020,3,16,1.0,73.0,0.0,0.0
2020,3,17,1.0,79.0,0.0,0.0
2020,3,18,1.0,79.0,0.0,0.0
2020,3,19,1.0,83.0,0.0,0.0
2020,3,20,1.0,83.0,0.0,0.0
2020,3,21,1.0,83.0,0.0,0.0
2020,3,22,1.0,83.0,0.0,0.0
2020,3,23,1.0,93.0,0.0,0.0
2020,3,24,1.0,96.0,0.0,0.0
2020,3,25,1.0,99.0,0.0,0.0
2020,3,26,1.0,104.0,0.0,0.0
2020,3,27,1.0,110.0,0.0,0.0
2020,3,28,1.0,110.0,1.0,0.0
2020,3,29,1.0,110.0,1.0,0.0
2020,3,30,1.0,123.0,1.0,0.0
2020,3,31,3.0,144.0,1.0,0.0
2020,4,1,3.0,144.0,1.0,0.0
2020,4,2,3.0,156.0,1.0,0.0
2020,4,3,3.0,164.0,1.0,0.0
2020,4,4,3.0,164.0,1.0,0.0
2020,4,5,3.0,164.0,1.0,0.0
2020,4,6,3.0,174.0,1.0,0.0
2020,4,7,3.0,193.0,1.0,0.0
2020,4,8,3.0,206.0,1.0,0.0
2020,4,9,3.0,217.0,1.0,0.0
2020,4,10,3.0,228.0,1.0,0.0
2020,4,11,3.0,228.0,3.0,0.0
2020,4,12,3.0,228.0,3.0,0.0
2020,4,13,3.0,236.0,3.0,0.0
2020,4,14,3.0,248.0,3.0,0.0
2020,4,15,3.0,259.0,3.0,0.0
2020,4,16,3.0,277.0,3.0,0.0
2020,4,17,3.0,298.0,3.0,0.0
2020,4,18,3.0,298.0,3.0,0.0
2020,4,19,3.0,336.0,3.0,0.0
2020,4,20,3.0,336.0,3.0,0.0
2020,4,21,5.0,341.0,3.0,0.0
2020,4,22,5.0,353.0,3.0,0.0
2020,4,23,5.0,368.0,3.0,0.0
2020,4,24,5.0,386.0,3.0,0.0
2020,4,25,5.0,386.0,3.0,0.0
2020,4,26,5.0,386.0,3.0,0.0
2020,4,27,5.0,423.0,3.0,0.0
2020,4,28,5.0,440.0,3.0,0.0
2020,4,29,5.0,440.0,3.0,0.0
2020,4,30,5.0,459.0,3.0,0.0
2020,5,1,5.0,469.0,3.0,0.0
2020,5,2,5.0,469.0,3.0,1.0
2020,5,3,5.0,469.0,3.0,1.0
