year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,73.0,1440.0,0.0,0.0
2020,3,12,75.0,1524.0,0.0,0.0
2020,3,13,77.0,1582.0,0.0,0.0
2020,3,14,87.0,1653.0,0.0,0.0
2020,3,15,90.0,1653.0,0.0,0.0
2020,3,16,90.0,1672.0,0.0,0.0
2020,3,17,102.0,1743.0,0.0,0.0
2020,3,18,111.0,1848.0,30.0,2.0
2020,3,19,118.0,1897.0,31.0,2.0
2020,3,20,129.0,1912.0,31.0,3.0
2020,3,21,136.0,1956.0,31.0,4.0
2020,3,22,139.0,1957.0,31.0,4.0
2020,3,23,155.0,2013.0,31.0,4.0
2020,3,24,173.0,2087.0,31.0,5.0
2020,3,25,214.0,2182.0,31.0,5.0
2020,3,26,260.0,2269.0,31.0,5.0
2020,3,27,300.0,2412.0,40.0,6.0
2020,3,28,364.0,2656.0,40.0,7.0
2020,3,29,436.0,2987.0,40.0,8.0
2020,3,30,448.0,3028.0,40.0,9.0
2020,3,31,526.0,3173.0,40.0,15.0
2020,4,1,593.0,3337.0,40.0,16.0
2020,4,2,691.0,3806.0,40.0,16.0
2020,4,3,783.0,4357.0,51.0,18.0
2020,4,4,901.0,4422.0,51.0,23.0
2020,4,5,1042.0,4484.0,52.0,30.0
2020,4,6,1127.0,4840.0,52.0,30.0
2020,4,7,1214.0,5111.0,52.0,31.0
2020,4,8,1370.0,5477.0,52.0,35.0
2020,4,9,1553.0,5821.0,52.0,36.0
2020,4,10,1752.0,6183.0,52.0,40.0
2020,4,11,1950.0,6686.0,52.0,40.0
2020,4,12,2124.0,6743.0,52.0,42.0
2020,4,13,2226.0,6993.0,52.0,42.0
2020,4,14,2385.0,7084.0,52.0,47.0
2020,4,15,2512.0,7244.0,52.0,53.0
2020,4,16,2663.0,7754.0,52.0,56.0
2020,4,17,2869.0,8083.0,52.0,63.0
2020,4,18,3055.0,8442.0,52.0,68.0
2020,4,19,3164.0,8746.0,297.0,71.0
2020,4,20,3265.0,9042.0,600.0,77.0
2020,4,21,3388.0,9209.0,600.0,77.0
2020,4,22,3511.0,9470.0,897.0,81.0
2020,4,23,3645.0,9962.0,937.0,87.0
2020,4,24,3815.0,10282.0,952.0,93.0
2020,4,25,3934.0,10599.0,970.0,100.0
2020,4,26,4016.0,10912.0,994.0,100.0
2020,4,27,4057.0,11210.0,1173.0,106.0
2020,4,28,4170.0,11337.0,1261.0,108.0
2020,4,29,4217.0,11573.0,1271.0,117.0
2020,4,30,4276.0,12073.0,1424.0,120.0
2020,5,1,4441.0,12380.0,1518.0,126.0
2020,5,2,4597.0,12679.0,1550.0,141.0
2020,5,3,4690.0,13157.0,1567.0,145.0
2020,5,4,4777.0,13424.0,1589.0,150.0
2020,5,5,4834.0,13568.0,1612.0,150.0
2020,5,6,4871.0,13673.0,1619.0,155.0
2020,5,7,4894.0,14804.0,1932.0,160.0
2020,5,8,4933.0,16027.0,2136.0,171.0
2020,5,9,4969.0,16991.0,2152.0,180.0
2020,5,10,4991.0,17619.0,2170.0,180.0
2020,5,11,5006.0,18811.0,2185.0,189.0
2020,5,12,5034.0,20230.0,2901.0,196.0
2020,5,13,5044.0,21591.0,3039.0,203.0
2020,5,14,5074.0,23065.0,3232.0,212.0
2020,5,15,5083.0,24379.0,3386.0,219.0
2020,5,16,5097.0,25210.0,3474.0,230.0
2020,5,17,5102.0,25624.0,3512.0,237.0
2020,5,18,5112.0,26742.0,3632.0,241.0
2020,5,19,5117.0,27916.0,3848.0,244.0
2020,5,20,5122.0,29000.0,3941.0,247.0
2020,5,21,5133.0,30076.0,4073.0,256.0
2020,5,22,5136.0,31202.0,4189.0,263.0
2020,5,23,5138.0,31763.0,4229.0,271.0
2020,5,24,5152.0,32124.0,4239.0,280.0
2020,5,25,5160.0,33078.0,4311.0,288.0
2020,5,26,5170.0,34182.0,4379.0,292.0
2020,5,27,5180.0,35287.0,4413.0,296.0
2020,5,28,5195.0,36397.0,4443.0,299.0
2020,5,29,5217.0,37603.0,4501.0,302.0
