year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,104,274,0,0
2020,3,12,111,1009,0,0
2020,3,13,114,1103,0,0
2020,3,14,121,1103,0,0
2020,3,15,121,1103,0,0
2020,3,16,123,1103,0,0
2020,3,17,125,1103,0,0
2020,3,18,130,1103,3,14
2020,3,19,134,1103,3,14
2020,3,20,139,1103,3,16
2020,3,21,141,1103,8,16
2020,3,22,143,1103,8,16
2020,3,23,145,1782,8,17
2020,3,24,148,1895,9,17
2020,3,25,154,1987,36,18
2020,3,26,157,2204,36,18
2020,3,27,160,2276,42,18
2020,3,28,164,2276,42,19
2020,3,29,167,2276,42,19
2020,3,30,170,2460,42,19
2020,3,31,176,2854,47,19
2020,4,1,181,2854,47,19
2020,4,2,186,2917,47,19
2020,4,3,198,2917,48,19
2020,4,4,216,2917,48,19
2020,4,5,227,2917,48,20
2020,4,6,237,3236,52,21
2020,4,7,258,3295,52,21
2020,4,8,278,3467,52,21
2020,4,9,299,3467,53,21
2020,4,10,313,3990,63,22
2020,4,11,317,3990,63,22
2020,4,12,319,3990,63,22
2020,4,13,328,4201,63,23
2020,4,14,338,4250,63,24
2020,4,15,350,4784,66,24
2020,4,16,364,5008,66,24
2020,4,17,374,5008,66,24
2020,4,18,391,5008,66,24
2020,4,19,401,5175,66,25
2020,4,20,406,5535,66,27
2020,4,21,422,5535,66,27
2020,4,22,441,6033,66,29
2020,4,23,453,6033,66,29
2020,4,24,474,6272,66,30
2020,4,25,475,6488,66,30
2020,4,26,476,6488,66,30
2020,4,27,477,6890,66,30
2020,4,28,482,7027,66,31
2020,4,29,486,7036,67,31
2020,4,30,488,7327,75,32
2020,5,1,491,7403,75,32
2020,5,2,491,7403,75,33
2020,5,3,492,7463,75,34
2020,5,4,492,7463,75,34
2020,5,5,498,7811,75,34
2020,5,6,498,7846,99,34
2020,5,7,498,7866,324,34
2020,5,8,491,7958,328,34
2020,5,9,491,8027,339,34
2020,5,10,494,8133,350,34
2020,5,11,494,8437,352,34
2020,5,12,495,8492,369,34
2020,5,13,496,8492,377,34
2020,5,14,501,8773,388,34
2020,5,15,503,8773,390,34
2020,5,16,503,8896,400,34
2020,5,17,504,8963,404,34
2020,5,18,506,9176,413,34
2020,5,19,506,9176,423,34
2020,5,20,506,9368,428,34
2020,5,21,506,9451,431,34
2020,5,22,506,9525,437,34
2020,5,23,506,9525,442,34
2020,5,24,506,9525,442,34
2020,5,25,507,9726,442,34
2020,5,26,507,9762,444,34
2020,5,27,507,9819,450,34
2020,5,28,507,9920,453,34
2020,5,29,507,9970,453,34
2020,5,30,507,9970,455,34
2020,5,31,507,9970,456,34
2020,6,1,508,10142,457,34
2020,6,2,508,10211,457,34
2020,6,3,509,10284,458,34
2020,6,4,509,10284,460,34
2020,6,5,509,10467,462,34
2020,6,6,509,10467,463,34
2020,6,7,509,10467,463,34
2020,6,8,511,10701,463,34
2020,6,9,511,10844,465,34
2020,6,10,511,10961,465,34
2020,6,11,513,11072,465,34
2020,6,12,513,11171,466,34
2020,6,13,513,11171,467,34
2020,6,14,513,11171,467,34
2020,6,15,516,11375,467,34
2020,6,16,516,11375,468,34
2020,6,17,518,11523,470,34
2020,6,18,521,11523,470,34
2020,6,19,521,11750,471,34
2020,6,20,521,11750,470,34
2020,6,21,521,11750,470,34
2020,6,22,523,11940,470,34
2020,6,23,523,12180,471,34
2020,6,24,523,12180,474,34
2020,6,25,523,12363,474,34
2020,6,26,523,12445,475,34
2020,6,27,523,12445,476,34
2020,6,28,523,12445,477,34
2020,6,29,523,12620,477,34
2020,6,30,524,12620,478,34
2020,7,1,525,12859,478,34
2020,7,2,525,12859,478,34
2020,7,3,525,13199,478,34
2020,7,4,525,13199,478,34
2020,7,5,525,13199,480,34
2020,7,6,525,13413,480,34
2020,7,7,526,13558,480,34
2020,7,8,526,13693,480,34
2020,7,9,528,13813,481,34
2020,7,10,528,13813,481,34
2020,7,11,528,13977,482,34
2020,7,12,528,13977,483,34
2020,7,13,530,14450,483,34
2020,7,14,532,14487,483,34
2020,7,15,536,14633,483,34
2020,7,16,538,14633,485,34
2020,7,17,569,14781,486,34
2020,7,18,588,15158,486,34
2020,7,19,613,15158,489,34
2020,7,20,640,16041,489,34
