year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,2,40,0,0
2020,3,12,2,92,0,0
2020,3,13,2,94,0,0
2020,3,14,2,94,0,0
2020,3,15,2,94,0,0
2020,3,16,2,103,0,0
2020,3,17,2,108,0,0
2020,3,18,2,109,1,0
2020,3,19,2,114,1,0
2020,3,20,2,114,1,0
2020,3,21,2,114,1,0
2020,3,22,2,114,1,0
2020,3,23,2,121,1,0
2020,3,24,2,200,1,0
2020,3,25,2,204,1,0
2020,3,26,2,207,1,0
2020,3,27,4,211,1,0
2020,3,28,4,211,2,0
2020,3,29,4,211,2,0
2020,3,30,4,240,2,0
2020,3,31,6,261,2,0
2020,4,1,6,261,2,0
2020,4,2,7,321,2,0
2020,4,3,9,349,2,0
2020,4,4,10,349,2,0
2020,4,5,11,349,2,0
2020,4,6,11,419,2,0
2020,4,7,11,443,2,0
2020,4,8,11,463,2,0
2020,4,9,11,484,2,0
2020,4,10,12,491,5,0
2020,4,11,13,491,5,0
2020,4,12,15,491,5,0
2020,4,13,15,555,5,0
2020,4,14,16,603,5,0
2020,4,15,16,666,5,0
2020,4,16,16,688,5,0
2020,4,17,16,706,5,0
2020,4,18,16,706,5,0
2020,4,19,16,706,5,0
2020,4,20,16,736,5,0
2020,4,21,16,753,5,0
2020,4,22,16,767,5,0
2020,4,23,16,776,7,0
2020,4,24,16,786,7,0
2020,4,25,16,786,7,0
2020,4,26,16,786,7,0
2020,4,27,16,818,7,0
2020,4,28,16,827,7,0
2020,4,29,16,827,7,0
2020,4,30,16,850,7,0
2020,5,1,16,852,13,0
2020,5,2,16,852,13,0
2020,5,3,16,852,13,0
2020,5,4,16,852,13,0
2020,5,5,16,852,13,0
2020,5,6,16,852,13,0
2020,5,7,16,880,13,0
2020,5,8,16,861,0,0
2020,5,9,16,861,0,0
2020,5,10,16,861,0,0
2020,5,11,16,887,14,0
2020,5,12,16,898,15,0
2020,5,13,16,898,15,0
2020,5,14,16,899,15,0
2020,5,15,16,905,15,0
2020,5,16,16,905,15,0
2020,5,17,16,905,15,0
2020,5,18,16,910,15,0
2020,5,19,16,913,15,0
2020,5,20,16,914,16,0
2020,5,21,16,915,16,0
2020,5,22,16,920,16,0
2020,5,23,16,920,16,0
2020,5,24,16,920,16,0
2020,5,25,16,927,16,0
2020,5,26,16,928,16,0
2020,5,27,16,929,16,0
2020,5,28,16,931,16,0
2020,5,29,16,933,16,0
2020,5,30,16,933,16,0
2020,5,31,16,933,16,0
2020,6,1,16,933,16,0
2020,6,2,16,935,16,0
2020,6,3,16,940,16,0
2020,6,4,16,940,16,0
2020,6,5,16,942,16,0
2020,6,6,16,942,16,0
2020,6,7,16,942,16,0
2020,6,8,16,951,16,0
2020,6,9,16,952,16,0
2020,6,10,16,957,16,0
2020,6,11,16,961,16,0
2020,6,12,16,962,16,0
2020,6,13,16,962,16,0
2020,6,14,16,962,16,0
2020,6,15,16,967,16,0
2020,6,16,16,968,16,0
2020,6,17,16,969,16,0
2020,6,18,16,975,16,0
2020,6,19,16,979,16,0
2020,6,20,16,979,16,0
2020,6,21,16,979,16,0
2020,6,22,16,981,16,0
2020,6,23,16,984,16,0
2020,6,24,16,985,16,0
2020,6,25,16,986,16,0
2020,6,26,16,990,16,0
2020,6,27,16,990,16,0
2020,6,28,16,990,16,0
2020,6,29,16,992,16,0
2020,6,30,16,994,16,0
2020,7,1,16,997,16,0
2020,7,2,16,998,16,0
2020,7,3,16,999,16,0
2020,7,4,16,999,16,0
2020,7,5,16,999,16,0
2020,7,6,16,1001,16,0
2020,7,7,16,1007,16,0
2020,7,8,16,1007,16,0
2020,7,9,16,1012,16,0
2020,7,10,16,1012,16,0
2020,7,11,16,1012,16,0
2020,7,12,16,1012,16,0
2020,7,13,16,1018,16,0
2020,7,14,16,1018,16,0
2020,7,15,16,1023,16,0
2020,7,16,16,1032,16,0
2020,7,17,16,1032,16,0
2020,7,18,16,1032,16,0
2020,7,19,16,1032,16,0
2020,7,20,16,1041,16,0
