year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,0,58,0,0
2020,3,12,0,66,0,0
2020,3,13,0,70,0,0
2020,3,14,0,70,0,0
2020,3,15,0,70,0,0
2020,3,16,0,72,0,0
2020,3,17,0,74,0,0
2020,3,18,0,75,0,0
2020,3,19,0,79,0,0
2020,3,20,0,85,0,0
2020,3,21,0,88,0,0
2020,3,22,0,90,0,0
2020,3,23,2,90,0,0
2020,3,24,2,90,0,0
2020,3,25,6,102,0,0
2020,3,26,6,116,0,0
2020,3,27,6,123,0,0
2020,3,28,6,124,0,0
2020,3,29,7,132,0,0
2020,3,30,7,132,0,0
2020,3,31,8,137,0,0
2020,4,1,8,137,0,0
2020,4,2,9,160,0,0
2020,4,3,11,180,0,0
2020,4,4,11,188,0,0
2020,4,5,11,199,0,0
2020,4,6,11,233,0,0
2020,4,7,11,249,0,0
2020,4,8,12,260,0,0
2020,4,9,14,278,0,0
2020,4,10,14,313,3,0
2020,4,11,22,313,3,0
2020,4,12,22,313,3,0
2020,4,13,22,391,4,0
2020,4,14,22,410,5,0
2020,4,15,22,433,5,0
2020,4,16,22,447,5,0
2020,4,17,22,468,5,0
2020,4,18,22,483,6,0
2020,4,19,22,494,6,0
2020,4,20,22,494,9,0
2020,4,21,22,494,9,0
2020,4,22,22,501,10,0
2020,4,23,22,506,14,0
2020,4,24,22,517,14,0
2020,4,25,22,526,14,0
2020,4,26,22,540,14,0
2020,4,27,23,580,14,0
2020,4,28,26,598,14,0
2020,4,29,26,613,14,0
2020,4,30,26,639,14,0
2020,5,1,26,643,14,0
2020,5,2,26,643,14,0
2020,5,3,26,643,14,0
2020,5,4,26,643,14,0
2020,5,5,26,643,15,0
2020,5,6,26,643,15,0
2020,5,7,26,714,15,0
2020,5,8,27,728,17,0
2020,5,9,27,749,17,0
2020,5,10,27,749,17,0
2020,5,11,27,760,21,0
2020,5,12,27,767,21,0
2020,5,13,27,776,21,0
2020,5,14,27,784,21,0
2020,5,15,27,797,21,0
2020,5,16,27,800,21,0
2020,5,17,27,800,21,0
2020,5,18,27,802,21,1
2020,5,19,27,804,21,1
2020,5,20,27,808,21,1
2020,5,21,27,812,21,1
2020,5,22,27,810,24,1
2020,5,23,27,813,24,1
2020,5,24,27,813,24,1
2020,5,25,27,824,24,1
2020,5,26,27,834,24,1
2020,5,27,27,839,24,1
2020,5,28,27,843,25,1
2020,5,29,27,845,25,1
2020,5,30,27,850,25,1
2020,5,31,27,850,25,1
2020,6,1,27,853,26,1
2020,6,2,27,857,26,1
2020,6,3,27,867,26,1
2020,6,4,27,875,26,1
2020,6,5,27,878,26,1
2020,6,6,27,882,26,1
2020,6,7,27,882,26,1
2020,6,8,27,888,26,1
2020,6,9,27,889,26,1
2020,6,10,27,892,26,1
2020,6,11,27,899,26,1
2020,6,12,27,907,26,1
2020,6,13,27,910,26,1
2020,6,14,27,910,26,1
2020,6,15,27,917,26,1
2020,6,16,27,922,26,1
2020,6,17,27,928,26,1
2020,6,18,27,933,26,1
2020,6,19,27,937,26,1
2020,6,20,27,941,26,1
2020,6,21,27,941,26,1
2020,6,22,27,941,26,1
2020,6,23,27,946,26,1
2020,6,24,27,950,26,1
2020,6,25,27,959,26,1
2020,6,26,27,965,26,1
2020,6,27,27,971,26,1
2020,6,28,27,971,26,1
2020,6,29,27,974,26,1
2020,6,30,27,981,26,1
2020,7,1,27,991,26,1
2020,7,2,27,999,26,1
2020,7,3,27,1002,26,1
2020,7,4,27,1002,26,1
2020,7,5,27,1002,26,1
2020,7,6,27,1015,26,1
2020,7,7,27,1020,26,1
2020,7,8,27,1027,26,1
2020,7,9,27,1038,26,1
2020,7,10,28,1055,26,1
2020,7,11,29,1065,26,1
2020,7,12,29,1065,26,1
2020,7,13,29,1086,25,1
2020,7,14,29,1104,25,1
2020,7,15,29,1140,25,1
2020,7,16,30,1178,25,1
2020,7,17,30,1201,25,1
2020,7,18,30,1201,25,1
2020,7,19,30,1201,25,1
2020,7,20,30,1287,25,1
