year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,25,0,0,0
2020,3,12,27,0,0,0
2020,3,13,29,0,0,0
2020,3,14,31,0,0,0
2020,3,15,31,0,0,0
2020,3,16,31,0,0,0
2020,3,17,31,0,0,0
2020,3,18,33,0,9,0
2020,3,19,36,0,9,0
2020,3,20,41,0,12,0
2020,3,21,42,0,14,0
2020,3,22,44,0,15,0
2020,3,23,47,31,15,0
2020,3,24,48,39,15,0
2020,3,25,53,100,17,0
2020,3,26,56,108,18,0
2020,3,27,62,169,18,0
2020,3,28,126,207,19,1
2020,3,29,160,237,19,1
2020,3,30,160,362,19,1
2020,3,31,164,527,19,1
2020,4,1,175,527,23,1
2020,4,2,181,712,26,1
2020,4,3,192,788,31,1
2020,4,4,219,828,31,1
2020,4,5,238,876,32,1
2020,4,6,253,1297,32,1
2020,4,7,284,1297,32,1
2020,4,8,317,1500,32,1
2020,4,9,342,1500,35,1
2020,4,10,375,1691,37,2
2020,4,11,411,1743,38,4
2020,4,12,455,1743,39,4
2020,4,13,474,2329,39,4
2020,4,14,490,2447,45,5
2020,4,15,525,2688,45,5
2020,4,16,539,3006,51,6
2020,4,17,609,3286,54,6
2020,4,18,643,3308,67,7
2020,4,19,661,3411,71,8
2020,4,20,683,3803,77,8
2020,4,21,704,4061,77,8
2020,4,22,725,4284,80,11
2020,4,23,749,4646,82,16
2020,4,24,768,4879,95,18
2020,4,25,778,5028,97,19
2020,4,26,786,5163,97,19
2020,4,27,793,5512,98,23
2020,4,28,801,5636,101,23
2020,4,29,806,5753,102,23
2020,4,30,810,6141,103,24
2020,5,1,816,6374,105,25
2020,5,2,823,6374,105,25
2020,5,3,828,6374,105,26
2020,5,4,828,6374,111,26
2020,5,5,835,6374,136,27
2020,5,6,837,6374,179,28
2020,5,7,842,7308,253,33
2020,5,8,876,11882,423,38
2020,5,9,879,12290,448,39
2020,5,10,880,12290,467,40
2020,5,11,883,12793,503,40
2020,5,12,885,12793,542,40
2020,5,13,888,16804,570,40
2020,5,14,888,11966,604,40
2020,5,15,890,12272,627,42
2020,5,16,898,12529,649,42
2020,5,17,898,12773,650,42
2020,5,18,900,12955,662,42
2020,5,19,900,13050,713,42
2020,5,20,901,13155,737,42
2020,5,21,904,13345,746,44
2020,5,22,904,13586,752,44
2020,5,23,904,13742,762,44
2020,5,24,904,13872,765,44
2020,5,25,904,13978,774,44
2020,5,26,904,14057,780,44
2020,5,27,905,14122,787,44
2020,5,28,906,14284,797,45
2020,5,29,906,14428,804,45
2020,5,30,907,14547,805,45
2020,5,31,909,14688,807,45
2020,6,1,909,14814,815,45
2020,6,2,906,14881,824,45
2020,6,3,907,14929,825,45
2020,6,4,907,15076,838,45
2020,6,5,904,15225,839,45
2020,6,6,904,15358,839,45
2020,6,7,907,15494,839,45
2020,6,8,907,15658,841,45
2020,6,9,910,15743,843,45
2020,6,10,912,15813,843,45
2020,6,11,915,15991,846,45
2020,6,12,918,16146,846,45
2020,6,13,919,16310,846,45
2020,6,14,919,16476,846,45
2020,6,15,919,16716,846,45
2020,6,16,919,16716,850,45
2020,6,17,920,16770,853,45
2020,6,18,922,16898,853,45
2020,6,19,922,17021,855,45
2020,6,20,924,17122,855,45
2020,6,21,924,17230,856,45
2020,6,22,926,17317,861,45
2020,6,23,929,17374,863,45
2020,6,24,933,17416,865,45
2020,6,25,937,17597,867,45
2020,6,26,941,17723,867,45
2020,6,27,946,17898,868,45
2020,6,28,949,18047,868,45
2020,6,29,949,18047,868,45
2020,6,30,960,18287,871,45
2020,7,1,967,18355,873,45
2020,7,2,978,18548,874,45
2020,7,3,987,18715,888,45
2020,7,4,1003,18877,891,45
2020,7,5,1010,19089,893,45
2020,7,6,1019,19276,895,45
2020,7,7,1030,19367,899,46
2020,7,8,1040,19479,899,46
2020,7,9,1062,19698,906,46
2020,7,10,1074,20087,910,46
2020,7,11,1088,20335,914,46
2020,7,12,1119,20693,921,46
2020,7,13,1137,20924,930,46
2020,7,14,1162,21193,947,46
2020,7,15,1191,21490,959,46
2020,7,16,1223,21977,967,46
2020,7,17,1223,21977,967,46
2020,7,18,1276,23084,995,46
2020,7,19,1300,23565,1004,46
2020,7,20,1318,23893,1014,46
