year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,2,149,0,0
2020,3,12,2,153,0,0
2020,3,13,2,161,0,0
2020,3,14,2,161,0,0
2020,3,15,2,161,0,0
2020,3,16,2,166,0,0
2020,3,17,2,167,0,0
2020,3,18,3,181,1,0
2020,3,19,3,181,1,0
2020,3,20,3,181,1,0
2020,3,21,3,181,1,0
2020,3,22,3,181,1,0
2020,3,23,3,208,1,0
2020,3,24,3,215,1,0
2020,3,25,3,219,1,0
2020,3,26,3,223,1,0
2020,3,27,4,234,1,0
2020,3,28,4,234,2,0
2020,3,29,4,234,2,0
2020,3,30,4,250,2,0
2020,3,31,9,267,2,0
2020,4,1,9,267,2,0
2020,4,2,11,312,2,0
2020,4,3,11,350,3,1
2020,4,4,12,350,3,1
2020,4,5,12,350,3,1
2020,4,6,14,407,4,1
2020,4,7,23,418,4,1
2020,4,8,25,450,4,1
2020,4,9,26,485,4,1
2020,4,10,28,545,4,1
2020,4,11,30,545,4,1
2020,4,12,30,545,4,2
2020,4,13,37,631,4,2
2020,4,14,39,653,4,2
2020,4,15,40,680,4,2
2020,4,16,41,708,4,2
2020,4,17,41,708,4,2
2020,4,18,44,708,5,3
2020,4,19,45,708,8,3
2020,4,20,46,844,9,3
2020,4,21,47,893,9,3
2020,4,22,47,938,16,3
2020,4,23,47,961,16,3
2020,4,24,47,1002,20,3
2020,4,25,47,1002,20,3
2020,4,26,47,1002,24,3
2020,4,27,47,1024,24,3
2020,4,28,47,1043,24,3
2020,4,29,47,1043,24,3
2020,4,30,47,1095,25,3
2020,5,1,47,1116,25,3
2020,5,2,47,1116,27,3
2020,5,3,48,1116,31,3
2020,5,4,48,1116,31,3
2020,5,5,48,1116,32,3
2020,5,6,48,1116,32,3
2020,5,7,48,1225,32,3
2020,5,8,48,1238,38,3
2020,5,9,48,1238,38,3
2020,5,10,48,1238,38,3
2020,5,11,48,1276,38,3
2020,5,12,48,1284,39,3
2020,5,13,51,1305,39,3
2020,5,14,68,1393,40,3
2020,5,15,70,1441,41,3
2020,5,16,70,1441,41,3
2020,5,17,71,1600,43,3
2020,5,18,73,1695,43,3
2020,5,19,74,1768,44,3
2020,5,20,74,1781,44,3
2020,5,21,75,1796,45,4
2020,5,22,78,1824,45,4
2020,5,23,79,1831,45,4
2020,5,24,80,1912,45,4
2020,5,25,81,1915,45,4
2020,5,26,81,1959,45,4
2020,5,27,81,1982,47,4
2020,5,28,82,2046,49,4
2020,5,29,82,2074,50,4
2020,5,30,82,2074,50,4
2020,5,31,82,2074,50,4
2020,6,1,82,2208,52,4
2020,6,2,82,2262,54,4
2020,6,3,82,2316,55,4
2020,6,4,82,2373,55,4
2020,6,5,82,2389,60,4
2020,6,6,82,2389,60,4
2020,6,7,82,2389,60,4
2020,6,8,82,2462,66,4
2020,6,9,82,2477,67,4
2020,6,10,82,2487,68,4
2020,6,11,82,2497,69,4
2020,6,12,82,2510,69,4
2020,6,13,82,2510,69,4
2020,6,14,82,2510,69,4
2020,6,15,82,2527,72,4
2020,6,16,82,2532,73,4
2020,6,17,82,2544,73,4
2020,6,18,82,2553,73,4
2020,6,19,82,2558,74,4
2020,6,20,82,2558,74,4
2020,6,21,82,2558,74,4
2020,6,22,82,2572,74,4
2020,6,23,82,2575,74,4
2020,6,24,82,2578,75,4
2020,6,25,82,2581,76,4
2020,6,26,82,2586,77,4
2020,6,27,82,2586,77,4
2020,6,28,82,2586,77,4
2020,6,29,82,2605,77,4
2020,6,30,82,2613,77,4
2020,7,1,82,2617,77,5
2020,7,2,82,2622,77,5
2020,7,3,82,2629,77,5
2020,7,4,82,2629,77,5
2020,7,5,82,2629,77,5
2020,7,6,82,2638,77,5
2020,7,7,82,2645,77,5
2020,7,8,82,2654,77,5
2020,7,9,82,2657,77,5
2020,7,10,82,2663,77,5
2020,7,11,82,2663,77,5
2020,7,12,82,2663,77,5
2020,7,13,82,2678,77,5
2020,7,14,82,2682,77,5
2020,7,15,82,2693,77,5
2020,7,16,82,2704,77,5
2020,7,17,82,2707,77,5
2020,7,18,82,2707,77,5
2020,7,19,82,2707,77,5
2020,7,20,83,2731,77,5
