year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,0,71,0,0
2020,3,12,0,73,0,0
2020,3,13,0,74,0,0
2020,3,14,0,74,0,0
2020,3,15,0,74,0,0
2020,3,16,0,79,0,0
2020,3,17,0,84,0,0
2020,3,18,1,92,0,0
2020,3,19,1,92,0,0
2020,3,20,1,97,0,0
2020,3,21,1,97,0,0
2020,3,22,1,98,0,0
2020,3,23,1,102,0,0
2020,3,24,1,114,0,0
2020,3,25,2,116,0,0
2020,3,26,6,119,0,0
2020,3,27,9,136,0,0
2020,3,28,12,144,0,0
2020,3,29,13,154,0,0
2020,3,30,15,160,0,0
2020,3,31,16,179,0,0
2020,4,1,22,179,0,0
2020,4,2,31,233,0,1
2020,4,3,40,272,0,1
2020,4,4,44,275,0,1
2020,4,5,51,310,0,2
2020,4,6,57,335,1,2
2020,4,7,57,378,1,2
2020,4,8,67,407,1,2
2020,4,9,72,455,3,2
2020,4,10,76,511,6,2
2020,4,11,86,515,6,2
2020,4,12,88,515,6,2
2020,4,13,92,710,7,2
2020,4,14,92,765,8,2
2020,4,15,100,865,8,2
2020,4,16,103,918,8,2
2020,4,17,104,955,8,2
2020,4,18,106,955,8,4
2020,4,19,112,955,23,4
2020,4,20,113,1054,26,4
2020,4,21,118,1099,26,4
2020,4,22,119,1233,26,4
2020,4,23,119,1278,26,5
2020,4,24,120,1313,33,5
2020,4,25,120,1313,33,5
2020,4,26,121,1313,33,5
2020,4,27,121,1462,63,6
2020,4,28,122,1588,63,6
2020,4,29,122,1588,64,7
2020,4,30,122,1696,69,8
2020,5,1,122,1771,69,8
2020,5,2,122,1771,75,8
2020,5,3,122,1771,75,8
2020,5,4,122,1771,78,8
2020,5,5,122,1771,78,8
2020,5,6,122,1771,84,8
2020,5,7,122,1964,84,8
2020,5,8,122,1991,89,8
2020,5,9,122,2026,93,8
2020,5,10,122,2082,94,8
2020,5,11,122,2097,95,8
2020,5,12,122,2139,96,8
2020,5,13,122,2178,98,8
2020,5,14,122,2207,98,8
2020,5,15,122,2297,99,8
2020,5,16,122,2297,102,8
2020,5,17,122,2297,102,8
2020,5,18,122,2322,104,8
2020,5,19,122,2347,104,8
2020,5,20,122,2373,105,8
2020,5,21,122,2402,105,8
2020,5,22,122,2430,107,8
2020,5,23,122,2458,108,8
2020,5,24,122,2474,109,8
2020,5,25,122,2476,109,8
2020,5,26,122,2510,109,8
2020,5,27,122,2545,109,8
2020,5,28,122,2565,109,8
2020,5,29,122,2596,109,8
2020,5,30,122,2619,109,8
2020,5,31,122,2631,110,8
2020,6,1,122,2638,112,8
2020,6,2,122,2675,112,8
2020,6,3,122,2717,112,8
2020,6,4,122,2756,112,8
2020,6,5,122,2786,112,8
2020,6,6,122,2821,113,8
2020,6,7,122,2839,113,8
2020,6,8,122,2839,113,8
2020,6,9,122,2875,113,8
2020,6,10,122,2919,113,8
2020,6,11,122,2953,113,8
2020,6,12,122,2980,113,8
2020,6,13,122,3018,113,8
2020,6,14,122,3028,113,8
2020,6,15,122,3028,114,8
2020,6,16,122,3062,114,8
2020,6,17,122,3105,114,8
2020,6,18,122,3132,114,8
2020,6,19,122,3159,114,8
2020,6,20,122,3202,114,8
2020,6,21,122,3211,114,8
2020,6,22,122,3212,114,8
2020,6,23,122,3244,114,8
2020,6,24,122,3280,114,8
2020,6,25,122,3306,114,8
2020,6,26,122,3339,114,8
2020,6,27,122,3366,114,8
2020,6,28,122,3372,114,8
2020,6,29,122,3372,114,8
2020,6,30,122,3397,114,8
2020,7,1,122,3445,114,8
2020,7,2,122,3461,114,8
2020,7,3,122,3481,114,8
2020,7,4,122,3510,114,8
2020,7,5,122,3526,114,8
2020,7,6,122,3528,114,8
2020,7,7,122,3558,114,8
2020,7,8,122,3587,114,8
2020,7,9,122,3615,114,8
2020,7,10,122,3638,114,8
2020,7,11,122,3673,114,8
2020,7,12,123,3683,114,8
2020,7,13,124,3686,114,8
2020,7,14,124,3726,114,8
2020,7,15,125,3779,114,8
2020,7,16,125,3811,114,8
2020,7,17,126,3844,114,8
2020,7,18,126,3897,114,8
2020,7,19,126,4005,114,8
2020,7,20,126,4005,114,8
