year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,3,492,0,0
2020,3,12,3,509,0,0
2020,3,13,3,522,0,0
2020,3,14,3,522,0,0
2020,3,15,3,522,0,0
2020,3,16,3,578,0,0
2020,3,17,4,583,0,0
2020,3,18,4,610,1,0
2020,3,19,5,626,2,0
2020,3,20,5,626,2,0
2020,3,21,5,637,2,0
2020,3,22,5,642,2,0
2020,3,23,6,689,2,0
2020,3,24,9,703,2,0
2020,3,25,9,747,2,0
2020,3,26,11,777,2,0
2020,3,27,12,843,2,0
2020,3,28,21,844,2,0
2020,3,29,22,853,2,0
2020,3,30,23,1033,2,0
2020,3,31,43,1069,2,0
2020,4,1,52,1069,5,0
2020,4,2,62,1198,5,0
2020,4,3,66,1584,5,0
2020,4,4,67,1594,5,0
2020,4,5,109,1595,6,0
2020,4,6,113,2415,6,0
2020,4,7,136,2718,7,0
2020,4,8,161,3106,7,0
2020,4,9,187,3873,7,0
2020,4,10,224,4109,7,0
2020,4,11,332,4137,7,0
2020,4,12,362,4137,7,0
2020,4,13,373,5051,7,0
2020,4,14,403,5195,32,0
2020,4,15,433,5667,45,6
2020,4,16,459,6110,52,6
2020,4,17,476,6414,66,9
2020,4,18,500,6442,66,10
2020,4,19,516,6447,66,10
2020,4,20,524,7263,87,13
2020,4,21,539,7311,87,13
2020,4,22,560,7467,88,13
2020,4,23,572,7690,92,13
2020,4,24,584,7963,136,15
2020,4,25,595,7983,138,15
2020,4,26,606,8000,148,15
2020,4,27,615,8611,161,16
2020,4,28,619,8721,170,16
2020,4,29,639,8736,170,17
2020,4,30,642,9254,170,17
2020,5,1,645,9400,170,17
2020,5,2,648,9400,171,17
2020,5,3,648,9400,173,22
2020,5,4,648,9400,173,22
2020,5,5,650,9400,284,22
2020,5,6,651,9400,284,22
2020,5,7,652,10020,284,22
2020,5,8,651,10246,443,24
2020,5,9,653,10429,451,24
2020,5,10,654,10535,468,24
2020,5,11,654,10535,468,24
2020,5,12,655,11413,477,24
2020,5,13,656,11967,494,24
2020,5,14,657,12119,510,25
2020,5,15,657,12301,522,25
2020,5,16,657,12485,538,25
2020,5,17,657,11443,543,25
2020,5,18,658,11497,550,25
2020,5,19,658,11519,553,25
2020,5,20,658,11578,570,25
2020,5,21,658,11650,573,25
2020,5,22,658,11715,586,25
2020,5,23,658,11764,592,25
2020,5,24,662,11819,593,25
2020,5,25,666,11849,596,25
2020,5,26,672,11886,596,25
2020,5,27,674,12010,607,25
2020,5,28,682,12107,614,25
2020,5,29,703,12276,616,26
2020,5,30,729,12444,619,26
2020,5,31,746,12634,620,26
2020,6,1,758,12810,625,26
2020,6,2,774,12967,626,27
2020,6,3,780,13239,628,27
2020,6,4,786,13523,632,27
2020,6,5,792,13785,633,27
2020,6,6,797,13960,641,27
2020,6,7,799,14242,641,27
2020,6,8,802,14317,642,27
2020,6,9,805,14385,645,27
2020,6,10,808,14552,650,27
2020,6,11,810,14641,671,28
2020,6,12,812,14691,682,28
2020,6,13,821,14831,706,28
2020,6,14,822,14926,737,28
2020,6,15,825,14991,742,28
2020,6,16,826,15045,752,28
2020,6,17,827,15144,759,28
2020,6,18,830,15245,763,28
2020,6,19,833,15320,776,28
2020,6,20,838,15427,781,28
2020,6,21,838,15522,784,28
2020,6,22,838,15565,784,28
2020,6,23,838,15619,783,33
2020,6,24,841,15746,786,33
2020,6,25,842,15796,788,33
2020,6,26,844,15995,789,33
2020,6,27,844,15995,795,33
2020,6,28,845,16166,798,33
2020,6,29,845,16383,799,33
2020,6,30,846,16455,800,33
2020,7,1,850,16607,801,33
2020,7,2,854,16689,802,33
2020,7,3,858,16777,803,33
2020,7,4,862,16875,806,33
2020,7,5,868,16998,807,33
2020,7,6,877,16998,807,33
2020,7,7,878,17041,814,33
2020,7,8,885,17222,814,33
2020,7,9,898,17409,816,33
2020,7,10,902,17729,816,33
2020,7,11,908,17868,817,33
2020,7,12,917,17868,818,33
2020,7,13,922,18029,822,33
2020,7,14,924,18126,827,33
2020,7,15,928,18352,833,33
2020,7,16,937,18558,837,33
2020,7,17,953,18778,848,33
2020,7,18,972,18945,854,33
2020,7,19,996,19119,863,33
2020,7,20,1028,19350,864,33
