year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,1,93,0,0
2020,3,12,1,100,0,0
2020,3,13,1,107,0,0
2020,3,14,2,107,0,0
2020,3,15,2,107,0,0
2020,3,16,2,116,0,0
2020,3,17,2,117,0,0
2020,3,18,2,127,0,0
2020,3,19,2,132,0,0
2020,3,20,2,132,0,0
2020,3,21,2,132,0,0
2020,3,22,2,132,0,0
2020,3,23,2,157,0,0
2020,3,24,2,164,0,0
2020,3,25,2,167,0,0
2020,3,26,2,177,0,0
2020,3,27,2,182,0,0
2020,3,28,2,182,0,0
2020,3,29,2,182,0,0
2020,3,30,2,203,0,0
2020,3,31,4,204,0,0
2020,4,1,6,204,1,0
2020,4,2,8,238,1,0
2020,4,3,9,264,1,0
2020,4,4,14,264,1,0
2020,4,5,16,264,1,0
2020,4,6,16,328,1,0
2020,4,7,24,346,1,0
2020,4,8,29,412,1,0
2020,4,9,33,482,2,0
2020,4,10,36,541,3,0
2020,4,11,37,541,3,0
2020,4,12,38,541,3,0
2020,4,13,38,701,3,0
2020,4,14,39,706,3,0
2020,4,15,40,786,3,0
2020,4,16,49,924,3,0
2020,4,17,52,924,3,0
2020,4,18,60,924,3,0
2020,4,19,62,1075,3,0
2020,4,20,64,1131,14,0
2020,4,21,64,1230,14,0
2020,4,22,65,1238,15,0
2020,4,23,65,1316,17,0
2020,4,24,66,1420,19,0
2020,4,25,68,1491,19,0
2020,4,26,69,1585,19,0
2020,4,27,69,1634,19,0
2020,4,28,70,1664,19,0
2020,4,29,72,1664,19,0
2020,4,30,73,1812,19,0
2020,5,1,74,1844,19,0
2020,5,2,75,1844,19,0
2020,5,3,78,1844,19,0
2020,5,4,78,1844,19,0
2020,5,5,79,2071,34,0
2020,5,6,79,2094,34,0
2020,5,7,79,2150,34,0
2020,5,8,81,2237,43,0
2020,5,9,81,2343,45,0
2020,5,10,81,2395,45,0
2020,5,11,81,2454,50,0
2020,5,12,81,2562,52,0
2020,5,13,81,2708,57,0
2020,5,14,81,2802,58,0
2020,5,15,81,2827,61,0
2020,5,16,81,3047,63,0
2020,5,17,81,2827,66,0
2020,5,18,81,3170,66,0
2020,5,19,81,3338,66,0
2020,5,20,81,3455,68,0
2020,5,21,81,3593,69,0
2020,5,22,81,3682,69,0
2020,5,23,81,3808,70,0
2020,5,24,81,3840,71,0
2020,5,25,81,3883,71,0
2020,5,26,81,4027,72,0
2020,5,27,81,4109,74,0
2020,5,28,81,4186,74,0
2020,5,29,81,4280,74,0
2020,5,30,81,4431,75,0
2020,5,31,81,4452,75,0
2020,6,1,81,4489,75,0
2020,6,2,81,4588,75,0
2020,6,3,81,4661,75,0
2020,6,4,81,4765,76,0
2020,6,5,81,4871,76,0
2020,6,6,81,4984,78,0
2020,6,7,81,5004,78,0
2020,6,8,81,5033,78,0
2020,6,9,81,5159,78,0
2020,6,10,81,5232,78,0
2020,6,11,81,5353,78,0
2020,6,12,81,5454,79,0
2020,6,13,81,5554,79,0
2020,6,14,81,5563,79,0
2020,6,15,81,5599,79,0
2020,6,16,81,5699,79,0
2020,6,17,81,5783,79,0
2020,6,18,82,5874,79,0
2020,6,19,82,5961,80,0
2020,6,20,82,6076,80,0
2020,6,21,82,6091,80,0
2020,6,22,82,6153,80,0
2020,6,23,82,6249,80,0
2020,6,24,82,6328,80,0
2020,6,25,82,6415,80,0
2020,6,26,82,6507,80,0
2020,6,27,82,6593,80,0
2020,6,28,82,6613,80,0
2020,6,29,82,6649,80,0
2020,6,30,82,6793,81,0
2020,7,1,82,6896,81,0
2020,7,2,82,6990,81,0
2020,7,3,82,7105,81,0
2020,7,4,82,7204,81,0
2020,7,5,82,7227,81,0
2020,7,6,82,7275,81,0
2020,7,7,82,7370,81,0
2020,7,8,82,7477,82,0
2020,7,9,82,7598,82,0
2020,7,10,83,7698,82,0
2020,7,11,83,7774,82,0
2020,7,12,83,7798,82,0
2020,7,13,83,7891,82,0
2020,7,14,84,8027,82,0
2020,7,15,84,8119,82,0
2020,7,16,84,8232,82,0
2020,7,17,84,8368,82,0
2020,7,18,84,8456,82,0
2020,7,19,84,8488,82,0
2020,7,20,84,8535,82,0
