year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,2,201,0,0
2020,3,12,2,205,0,0
2020,3,13,2,227,0,0
2020,3,14,2,227,0,0
2020,3,15,2,227,0,0
2020,3,16,2,249,0,0
2020,3,17,2,270,0,0
2020,3,18,3,270,1,0
2020,3,19,3,272,1,0
2020,3,20,3,279,1,0
2020,3,21,3,279,1,0
2020,3,22,5,281,1,0
2020,3,23,8,304,1,0
2020,3,24,12,317,1,0
2020,3,25,13,325,1,0
2020,3,26,16,374,1,0
2020,3,27,16,412,1,0
2020,3,28,16,420,1,0
2020,3,29,21,428,1,0
2020,3,30,21,629,1,0
2020,3,31,23,717,2,0
2020,4,1,22,717,2,0
2020,4,2,22,806,2,0
2020,4,3,39,827,2,0
2020,4,4,43,833,2,1
2020,4,5,50,842,2,1
2020,4,6,51,966,2,1
2020,4,7,51,988,3,1
2020,4,8,69,1046,3,1
2020,4,9,76,1110,5,1
2020,4,10,82,1182,5,1
2020,4,11,91,1185,5,1
2020,4,12,105,1185,5,1
2020,4,13,112,1442,5,1
2020,4,14,127,1519,6,1
2020,4,15,128,1626,12,1
2020,4,16,132,1727,16,1
2020,4,17,136,1892,16,2
2020,4,18,137,1892,16,2
2020,4,19,139,1892,16,3
2020,4,20,139,2119,24,3
2020,4,21,140,2143,24,3
2020,4,22,143,2197,24,5
2020,4,23,146,2234,24,5
2020,4,24,146,2272,24,7
2020,4,25,146,2272,36,7
2020,4,26,146,2272,57,7
2020,4,27,146,2362,57,7
2020,4,28,146,2362,65,7
2020,4,29,146,2362,65,7
2020,4,30,146,2400,65,7
2020,5,1,149,2404,70,6
2020,5,2,150,2404,79,6
2020,5,3,150,2404,79,6
2020,5,4,150,2404,81,6
2020,5,5,150,2404,95,6
2020,5,6,150,2404,106,6
2020,5,7,150,2498,106,6
2020,5,8,150,3404,114,6
2020,5,9,150,3404,114,6
2020,5,10,150,3482,122,6
2020,5,11,150,3490,123,6
2020,5,12,150,3526,127,6
2020,5,13,150,3578,131,6
2020,5,14,150,2990,132,7
2020,5,15,150,3018,133,7
2020,5,16,150,3039,134,7
2020,5,17,150,3059,134,7
2020,5,18,150,3065,135,7
2020,5,19,150,3083,136,7
2020,5,20,150,3115,137,7
2020,5,21,150,3138,137,7
2020,5,22,150,3173,138,7
2020,5,23,150,3192,138,7
2020,5,24,150,3195,138,7
2020,5,25,150,3387,139,7
2020,5,26,150,3422,140,7
2020,5,27,150,3466,140,7
2020,5,28,150,3496,141,7
2020,5,29,150,3557,141,7
2020,5,30,150,3600,141,7
2020,5,31,150,3610,141,7
2020,6,1,151,3614,141,7
2020,6,2,151,3652,141,7
2020,6,3,151,3729,141,7
2020,6,4,151,3766,141,7
2020,6,5,151,3827,142,7
2020,6,6,151,3874,142,7
2020,6,7,151,3886,142,7
2020,6,8,152,3891,142,7
2020,6,9,153,3951,142,7
2020,6,10,153,4065,142,7
2020,6,11,153,4095,142,7
2020,6,12,153,4221,142,7
2020,6,13,153,4229,143,7
2020,6,14,153,4237,143,7
2020,6,15,154,4259,143,7
2020,6,16,154,4317,143,7
2020,6,17,155,4476,143,7
2020,6,18,155,4518,143,7
2020,6,19,155,4638,144,7
2020,6,20,156,4698,144,7
2020,6,21,156,4749,144,7
2020,6,22,156,4767,144,7
2020,6,23,156,4859,144,7
2020,6,24,156,4926,144,7
2020,6,25,156,4984,145,7
2020,6,26,156,5051,146,7
2020,6,27,156,5122,146,7
2020,6,28,156,5128,146,7
2020,6,29,156,5131,146,7
2020,6,30,156,5223,147,7
2020,7,1,157,5265,147,7
2020,7,2,160,5301,147,7
2020,7,3,160,5348,147,7
2020,7,4,160,5420,147,7
2020,7,5,160,5421,147,7
2020,7,6,160,5425,147,7
2020,7,7,163,5519,147,7
2020,7,8,160,5567,148,7
2020,7,9,162,5647,148,7
2020,7,10,162,5747,148,7
2020,7,11,162,5808,148,7
2020,7,12,162,5825,148,7
2020,7,13,162,5829,148,7
2020,7,14,165,5934,149,7
2020,7,15,166,6009,151,7
2020,7,16,168,6088,151,7
2020,7,17,172,6398,151,7
2020,7,18,173,6721,151,7
2020,7,19,177,6981,151,7
2020,7,20,180,7153,154,7
