year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,1,81,0,0
2020,3,12,1,103,0,0
2020,3,13,3,115,0,0
2020,3,14,5,115,0,0
2020,3,15,5,115,0,0
2020,3,16,6,115,0,0
2020,3,17,10,115,0,0
2020,3,18,10,161,0,0
2020,3,19,10,173,0,0
2020,3,20,11,173,0,0
2020,3,21,11,174,0,0
2020,3,22,11,174,0,1
2020,3,23,11,202,0,1
2020,3,24,13,209,0,1
2020,3,25,13,231,0,1
2020,3,26,14,240,0,1
2020,3,27,14,240,0,1
2020,3,28,15,240,0,1
2020,3,29,18,243,0,1
2020,3,30,18,253,0,1
2020,3,31,19,289,0,1
2020,4,1,20,289,0,1
2020,4,2,20,542,0,1
2020,4,3,24,860,0,1
2020,4,4,25,866,1,1
2020,4,5,26,866,1,1
2020,4,6,26,1361,1,1
2020,4,7,29,1380,1,1
2020,4,8,29,1423,2,1
2020,4,9,33,1466,4,1
2020,4,10,35,1490,5,1
2020,4,11,79,1495,5,2
2020,4,12,90,1495,5,2
2020,4,13,91,1717,5,2
2020,4,14,97,1787,5,2
2020,4,15,107,1866,5,4
2020,4,16,109,1924,5,4
2020,4,17,114,1959,5,4
2020,4,18,120,1970,5,4
2020,4,19,122,1973,14,5
2020,4,20,124,2103,14,5
2020,4,21,131,2163,14,5
2020,4,22,131,2290,14,9
2020,4,23,138,2380,14,9
2020,4,24,140,2434,14,9
2020,4,25,140,2440,14,9
2020,4,26,141,2448,15,9
2020,4,27,146,2589,15,9
2020,4,28,146,2596,15,11
2020,4,29,146,2596,15,15
2020,4,30,146,2596,15,15
2020,5,1,146,2596,15,15
2020,5,2,146,2596,15,15
2020,5,3,146,2596,36,16
2020,5,4,146,2596,36,16
2020,5,5,146,2596,36,16
2020,5,6,147,2596,47,16
2020,5,7,147,2911,47,18
2020,5,8,147,2930,55,18
2020,5,9,147,3038,64,18
2020,5,10,147,3056,66,18
2020,5,11,147,3064,68,18
2020,5,12,147,3119,71,18
2020,5,13,147,3152,76,18
2020,5,14,147,3188,82,18
2020,5,15,147,3237,82,18
2020,5,16,147,3268,93,18
2020,5,17,147,3284,94,18
2020,5,18,147,3308,96,18
2020,5,19,148,3349,101,18
2020,5,20,148,3368,104,19
2020,5,21,148,3396,104,19
2020,5,22,149,3396,105,19
2020,5,23,149,3438,106,19
2020,5,24,149,3449,108,19
2020,5,25,149,3462,112,19
2020,5,26,149,3513,115,19
2020,5,27,149,3538,116,19
2020,5,28,149,3575,116,19
2020,5,29,149,3609,117,19
2020,5,30,149,3632,118,19
2020,5,31,149,3655,118,19
2020,6,1,149,3662,121,19
2020,6,2,149,3713,122,19
2020,6,3,149,3746,122,19
2020,6,4,149,3796,122,19
2020,6,5,151,3845,122,19
2020,6,6,151,3904,123,19
2020,6,7,151,3942,123,19
2020,6,8,151,3973,125,19
2020,6,9,151,4076,126,19
2020,6,10,151,4158,126,19
2020,6,11,151,4232,126,19
2020,6,12,151,4285,126,19
2020,6,13,151,4336,127,19
2020,6,14,151,4349,127,19
2020,6,15,151,4353,128,19
2020,6,16,151,4420,129,19
2020,6,17,151,4472,130,19
2020,6,18,151,4514,130,19
2020,6,19,151,4546,130,19
2020,6,20,151,4594,130,19
2020,6,21,151,4617,130,19
2020,6,22,151,4628,130,19
2020,6,23,151,4628,130,19
2020,6,24,152,4718,130,19
2020,6,25,152,4764,130,19
2020,6,26,152,4821,131,19
2020,6,27,152,4897,131,19
2020,6,28,152,4921,131,19
2020,6,29,152,4934,131,19
2020,6,30,153,5045,131,19
2020,7,1,153,5112,131,19
2020,7,2,153,5155,131,19
2020,7,3,154,5246,131,19
2020,7,4,154,5261,133,19
2020,7,5,155,5288,133,19
2020,7,6,155,5299,133,19
2020,7,7,155,5375,133,19
2020,7,8,155,5558,133,19
2020,7,9,155,5602,133,19
2020,7,10,155,5690,133,19
2020,7,11,155,5734,133,19
2020,7,12,155,5748,134,19
2020,7,13,156,5802,134,19
2020,7,14,156,5884,134,19
2020,7,15,161,6320,136,19
2020,7,16,164,6443,136,19
2020,7,17,166,6443,136,19
2020,7,18,167,6701,136,19
2020,7,19,167,6836,136,19
2020,7,20,167,6932,136,19
