year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,1,290,0,0
2020,3,12,1,376,0,0
2020,3,13,1,423,0,0
2020,3,14,1,423,0,0
2020,3,15,1,423,0,0
2020,3,16,1,463,0,0
2020,3,17,1,502,0,0
2020,3,18,1,521,1,0
2020,3,19,1,552,1,0
2020,3,20,2,569,1,0
2020,3,21,2,579,1,0
2020,3,22,3,609,1,0
2020,3,23,3,631,1,0
2020,3,24,3,656,1,0
2020,3,25,3,687,1,0
2020,3,26,4,722,1,0
2020,3,27,4,748,1,0
2020,3,28,4,812,1,0
2020,3,29,6,831,1,0
2020,3,30,6,901,1,0
2020,3,31,6,960,1,0
2020,4,1,6,960,1,0
2020,4,2,6,1023,1,0
2020,4,3,8,1023,1,0
2020,4,4,13,1040,1,0
2020,4,5,16,1053,1,0
2020,4,6,16,1348,1,0
2020,4,7,19,1380,1,0
2020,4,8,23,1486,1,0
2020,4,9,25,1638,3,0
2020,4,10,25,1714,3,0
2020,4,11,31,1754,3,0
2020,4,12,56,1754,3,0
2020,4,13,57,2091,3,0
2020,4,14,66,2276,3,0
2020,4,15,67,2334,3,0
2020,4,16,118,2733,3,0
2020,4,17,124,2733,8,0
2020,4,18,129,2764,11,0
2020,4,19,132,3010,11,0
2020,4,20,137,3010,12,0
2020,4,21,138,3583,12,0
2020,4,22,139,3783,13,0
2020,4,23,142,3900,14,1
2020,4,24,142,4239,14,1
2020,4,25,143,4245,14,1
2020,4,26,145,4245,15,1
2020,4,27,145,4556,16,1
2020,4,28,149,4610,20,1
2020,4,29,153,4610,20,1
2020,4,30,155,4959,29,2
2020,5,1,156,5021,29,2
2020,5,2,161,5037,29,2
2020,5,3,162,5062,35,2
2020,5,4,162,5062,35,2
2020,5,5,162,5433,37,2
2020,5,6,162,5433,37,2
2020,5,7,162,5588,38,2
2020,5,8,165,5746,61,2
2020,5,9,165,5746,74,2
2020,5,10,165,5746,82,2
2020,5,11,165,6002,85,2
2020,5,12,165,6051,89,2
2020,5,13,165,6181,92,2
2020,5,14,165,6250,107,2
2020,5,15,165,6320,111,2
2020,5,16,165,6320,113,2
2020,5,17,165,6320,113,2
2020,5,18,166,6457,114,2
2020,5,19,166,6513,117,2
2020,5,20,166,6599,121,2
2020,5,21,166,6656,138,2
2020,5,22,167,6696,141,2
2020,5,23,167,6696,142,2
2020,5,24,167,6696,143,2
2020,5,25,167,6779,145,3
2020,5,26,167,6794,146,3
2020,5,27,167,6841,147,3
2020,5,28,167,6885,151,3
2020,5,29,167,6907,151,3
2020,5,30,167,6907,151,3
2020,5,31,167,6907,153,3
2020,6,1,168,6979,158,3
2020,6,2,167,7011,158,3
2020,6,3,167,7060,158,3
2020,6,4,167,7104,162,3
2020,6,5,168,7136,162,3
2020,6,6,168,7136,162,3
2020,6,7,168,7136,163,3
2020,6,8,168,7264,163,3
2020,6,9,168,7297,164,3
2020,6,10,168,7328,164,3
2020,6,11,168,7360,164,3
2020,6,12,168,7393,165,3
2020,6,13,168,7393,165,3
2020,6,14,168,7393,165,3
2020,6,15,168,7460,165,3
2020,6,16,168,7484,165,3
2020,6,17,168,7515,165,3
2020,6,18,168,7548,165,3
2020,6,19,168,7568,165,3
2020,6,20,168,7568,165,3
2020,6,21,168,7568,165,3
2020,6,22,168,7638,165,3
2020,6,23,168,7657,165,3
2020,6,24,168,7683,165,3
2020,6,25,168,7722,165,3
2020,6,26,168,7744,165,3
2020,6,27,168,7744,165,3
2020,6,28,168,7744,165,3
2020,6,29,168,7802,165,3
2020,6,30,168,7824,165,3
2020,7,1,169,7824,165,3
2020,7,2,169,7880,165,3
2020,7,3,169,7907,165,3
2020,7,4,169,7907,165,3
2020,7,5,169,7907,165,3
2020,7,6,169,7972,166,3
2020,7,7,171,8025,165,3
2020,7,8,171,8076,165,3
2020,7,9,171,8128,165,3
2020,7,10,173,8178,165,3
2020,7,11,176,8178,166,3
2020,7,12,178,8178,166,3
2020,7,13,179,8393,166,3
2020,7,14,182,8477,167,3
2020,7,15,184,8525,167,3
2020,7,16,192,8633,167,3
2020,7,17,198,8806,167,3
2020,7,18,205,8806,170,3
2020,7,19,207,8806,170,3
2020,7,20,209,9284,175,3
